year,wr,sectores_economicos,economic_sectors,2016_2,2016_3,2016_4,2016_year,2017_1,2017_2,2017_3,2017_4,2017_year,2018_1,2018_2,2018_3,2018_4,2018_year,2019_1,2019_2
2019,26,agropecuario,agriculture and livestock,1.7,2.5,4.3,2.7,-0.1,0.6,6.9,4.5,2.8,7.3,10.8,6.6,5.6,7.8,5.2,2.1
2019,26,pesca,fishing,-59.6,68.3,27.6,-10.1,37.9,128.8,-42.8,-51.5,4.7,6.1,29.2,4.9,154.6,39.7,-20.5,-30.1
2019,26,mineria e hidrocarburos,mining and fuel,23.6,16.0,10.8,16.3,4.3,2.0,4.5,2.9,3.4,0.2,-0.8,-3.0,-2.2,-1.5,-0.5,-2.3
2019,26,manufactura,manufacturing,-8.0,2.1,3.0,-1.4,2.3,4.5,-1.7,-5.3,-0.2,0.5,10.9,1.7,11.4,6.2,-0.9,-6.8
2019,26,electricidad y agua,electricity and water,7.2,6.6,5.3,7.3,1.1,1.6,1.7,0.2,1.1,2.3,5.0,3.9,6.4,4.4,6.0,3.9
2019,26,construccion,construction,1.1,-3.9,-9.6,-3.2,-5.5,-3.1,5.9,9.0,2.1,4.5,7.0,1.1,8.1,5.3,2.2,7.5
2019,26,comercio,commerce,2.3,1.4,0.9,1.8,0.1,0.9,1.4,1.7,1.0,2.7,3.2,2.2,2.5,2.6,2.4,2.7
2019,26,otros servicios,other services,4.3,4.3,3.1,3.8,3.0,2.7,3.2,3.8,3.4,4.3,5.3,3.9,4.1,4.4,3.7,3.5
2019,26,pbi global,gdp,3.9,4.8,3.1,4.0,2.2,2.5,2.7,2.3,2.5,3.2,5.5,2.4,4.7,4.0,2.4,1.2
2019,26,sectores primarios,primary sectors,6.4,13.8,9.9,10.0,4.7,6.2,2.4,-0.8,3.1,1.9,6.1,-0.5,5.1,3.2,-1.2,-4.2
2019,26,sectores no primarios,nonprimary sectors,3.1,2.5,1.3,2.4,1.5,1.3,2.8,3.2,2.4,3.5,5.4,3.3,4.6,4.2,3.3,2.9
