year,wr,sectores_economicos,economic_sectors,2017_1,2017_2,2017_3,2017_4,2017_year,2018_1,2018_2,2018_3,2018_4,2018_year,2019_1,2019_2
2019,29,agropecuario,agriculture and livestock,-0.1,0.6,6.9,4.5,2.8,7.3,10.8,6.6,5.6,7.8,5.2,2.1
2019,29,pesca,fishing,37.9,128.8,-42.8,-51.5,4.7,6.1,29.2,4.9,154.6,39.7,-20.5,-30.1
2019,29,mineria e hidrocarburos,mining and fuel,4.3,2.0,4.5,2.9,3.4,0.2,-0.8,-3.0,-2.2,-1.5,-0.5,-2.3
2019,29,manufactura,manufacturing,2.3,4.5,-1.7,-5.3,-0.2,0.5,10.9,1.7,11.4,6.2,-0.9,-6.8
2019,29,electricidad y agua,electricity and water,1.1,1.6,1.7,0.2,1.1,2.3,5.0,3.9,6.4,4.4,5.9,4.0
2019,29,construccion,construction,-5.5,-3.1,5.9,9.0,2.1,4.5,7.0,1.1,8.1,5.3,2.2,7.5
2019,29,comercio,commerce,0.1,0.9,1.4,1.7,1.0,2.7,3.2,2.2,2.5,2.6,2.4,2.7
2019,29,otros servicios,other services,3.1,2.9,3.3,3.8,3.3,4.3,5.3,4.0,4.2,4.4,3.7,3.5
2019,29,pbi global,gdp,2.3,2.6,2.7,2.3,2.5,3.2,5.5,2.5,4.7,4.0,2.4,1.2
2019,29,sectores primarios,primary sectors,4.7,6.2,2.4,-0.8,3.1,1.9,6.1,-0.5,5.1,3.2,-1.2,-4.2
2019,29,sectores no primarios,nonprimary sectors,1.6,1.5,2.8,3.2,2.3,3.5,5.4,3.4,4.6,4.2,3.3,2.9
