sectores_economicos;economic_sectors;2006_abr;2006_may;2006_jun;2006_jul;2006_ago;2006_set;2006_oct;2006_nov;2006_dic;2006_year;2007_ene;2007_feb;2007_mar;2007_abr;2007_ene_abr
agropecuario;agriculture and livestock;10.9;4.1;2.7;10;14.9;9;9.6;9.4;4.1;7.2;5.7;6.4;2.4;-1.9;2.5
agricola;agriculture;12.5;1.9;-0.1;11.6;21.7;12.9;15.5;16.2;4.7;7.7;8.2;7.8;1.5;-4.1;1.8
pecuario;livestock;7.7;9;8;7.8;8.2;5.7;4.5;3.4;3.5;6.6;3.3;4.8;3.6;2.7;3.6
pesca;fishing;-19.8;-19.2;4.9;-3.5;28.5;46.9;18.9;-35.3;30.6;2.7;10.2;9.4;-17.1;0.6;-0.7
mineria e hidrocarburos;mining and fuel;8.1;9.6;5.3;2.5;-1.1;-3.2;-8.7;-6.9;-7.3;1;-4.5;-2.8;2.3;-1.1;-1.5
mineria;metals;9.3;10.8;4.8;1.8;-2.4;-4.9;-9.6;-7.8;-9.1;0.5;-6;-3.7;1.1;-1.7;-2.5
hidrocarburos;fuel;-0.7;2.6;5.9;6.9;9.7;13.9;2.7;13.2;11.6;5.7;10.4;5.2;16.6;5.1;9.2
manufactura;manufacturing;-0.8;3.1;6.6;5.8;10.2;8.3;9.6;3.6;11.9;6.6;11.5;7.3;6.5;9.9;8.8
procesadores recursos primarios;based on raw materials;-7.4;-5.2;6.9;-3.3;7.7;7.8;6.4;-17.1;15.3;2.1;4.9;-3.7;-13.6;-0.7;-3.5
industria no primaria;non primary industries;0.8;5.5;6.5;8;10.7;8.4;10.2;9.8;11.2;7.7;13;9.6;10.8;12.3;11.4
construcción;construction;4.8;19.2;16;11.6;21.3;14.5;18.2;14.8;8.1;14.7;11;5.3;10.6;13;9.9
comercio;commerce;8.7;7.6;11;14.6;14.6;12.6;17.1;13.1;13;12.1;14.2;11.9;5.9;6.1;9.2
electricidad y agua;electricity and water;3.5;4.7;6.6;8;7.2;7.6;7.6;7.7;8;6.9;8.4;7.8;8.5;7.9;8.2
otros servicios;other services;4.6;9.1;7.4;9.3;10.7;6.7;10.9;8.7;9.3;8.2;9.9;8.5;7;10.3;8.9
valor agregado bruto;gross value added;5.2;7.4;7.5;9.1;11.3;7.9;10.2;7.2;8.6;8.2;9.4;7.3;6.1;7.3;7.6
impuestos a los productos y derechos de importación;taxes on products and import duties;-2;7;8;12.8;1.6;8.3;5.2;4.8;11.7;6.3;6.6;8.5;3.9;6.8;6.3
pbi;gdp;4.5;7.4;7.6;9.4;10.2;7.9;9.7;6.9;8.9;8;9.2;7.7;5.8;7.3;7.5
sectores primarios;primary sectors;5.9;3;4.2;4.8;7.7;4.4;1.5;-4.6;2.1;4;1.8;1.4;-1.1;-1.4;0.1
sectores no primarios;non primary sectors;4.9;8.7;8.5;10.2;12.2;8.7;12.4;10.3;10.1;9.3;11.4;9.2;7.9;9.8;9.5
pbi desestacionalizado;seasonally adjusted gdp;-0.7;0.3;0.9;0.9;1.8;-0.3;0.3;0.9;2.1;;-1.3;0;1.8;-1.1;
demanda interna;domestic demand;2.9;9.8;10.3;10.3;13.2;9.4;14;9;14.7;10.6;14;10.5;6.8;11.7;10.7
demanda interna desestacionalizada;seasonally adjusted domestic demand;-1.3;2.2;0.6;0.3;2.7;-0.6;1.7;0;5.1;;-2.1;-1;0.7;1.1;
