target_period,agriculture_2024_5,fishing_2024_5,mining_2024_5,manufacturing_2024_5,electricity_2024_5,construction_2024_5,commerce_2024_5,services_2024_5,gdp_2024_5
2021q1,0.8,51.6,0.0,16.2,2.8,42.5,1.4,0.1,4.3
2021q2,1.3,26.1,39.0,61.6,25.3,232.5,85.9,31.7,42.2
2021q3,11.3,-28.7,6.6,9.3,6.3,23.9,10.1,12.9,11.6
2021q4,6.6,-3.1,-3.1,2.7,3.0,-5.1,3.9,6.2,3.4
2021,4.6,9.9,8.1,18.6,8.5,34.9,17.8,11.5,13.4
2022q1,4.7,-22.7,1.3,1.6,3.4,-0.4,5.9,5.2,3.8
2022q2,4.8,-7.8,-1.1,3.4,2.6,3.4,2.6,4.5,3.3
2022q3,5.4,17.4,-4.2,1.2,4.3,3.6,2.4,2.8,2.0
2022q4,3.1,-17.7,6.0,-2.2,5.2,5.1,2.5,1.2,1.8
2022,4.5,-11.4,0.5,1.0,3.9,3.1,3.3,3.3,2.7
2023q1,1.3,15.9,2.5,-0.5,4.6,-11.5,2.2,-0.6,-0.4
2023q2,-5.6,-61.0,16.4,-11.7,5.8,-7.2,3.1,0.1,-0.5
2023q3,-3.6,-8.3,8.7,-8.3,3.0,-9.3,2.6,-0.7,-0.9
2023q4,-0.3,-3.6,4.7,-5.2,1.4,-4.5,1.6,-0.3,-0.4
2023,-2.4,-19.7,8.0,-6.5,3.7,-7.9,2.4,-0.4,-0.6
2024q1,-0.7,-29.5,7.6,-6.3,3.9,5.1,2.4,1.6,1.4
