year,wr,sectores_economicos,economic_sectors,2010_1,2010_2,2010_3,2010_4,2010_year,2011_1,2011_2,2011_3,2011_4,2011_year,2012_1,2012_2,2012_3
2013,04,agropecuario,agriculture and livestock,3.8,4.4,2.4,6.6,4.3,3.0,2.9,7.2,2.3,3.8,2.6,7.0,3.1
2013,04,agricola,agriculture,3.9,4.2,2.1,6.6,4.1,0.3,1.9,10.1,0.9,3.1,1.1,8.2,0.4
2013,04,pecuario,livestock,3.7,4.9,2.8,6.4,4.4,6.6,6.8,3.6,4.0,5.2,4.5,4.6,6.5
2013,04,pesca,fishing,-8.2,-9.7,-27.0,-25.3,-16.4,12.3,20.8,65.9,36.6,29.7,-9.7,-11.7,0.7
2013,04,mineria e hidrocarburos,mining and fuel,1.1,1.7,-2.3,-1.0,-0.1,-0.3,-2.3,0.9,0.9,-0.2,3.5,4.1,3.3
2013,04,mineria metalica,metals,-1.0,-2.3,-8.2,-7.4,-4.8,-5.6,-7.7,-1.1,0.2,-3.6,3.4,4.8,3.0
2013,04,hidrocarburos,fuel,11.0,22.3,37.4,44.8,29.5,34.6,31.5,10.4,3.7,18.1,3.7,1.2,4.4
2013,04,manufactura,manufacturing,7.5,16.8,17.4,13.0,13.6,12.3,6.0,3.8,1.0,5.6,-0.7,0.2,3.5
2013,04,de procesamiento de recursos primarios,based on raw materials,-5.6,-1.9,2.4,-3.7,-2.3,11.6,12.0,14.7,11.3,12.3,-3.2,-11.2,-3.2
2013,04,no primaria,nonprimary,10.1,21.4,20.1,16.2,16.9,12.4,4.8,2.1,-0.7,4.4,-0.3,2.5,4.7
2013,04,electricidad y agua,electricity and water,6.5,8.6,8.4,7.3,7.7,7.3,7.4,7.7,7.2,7.4,6.3,5.0,5.1
2013,04,construccion,construction,16.8,21.5,16.6,15.5,17.4,8.1,0.4,1.8,3.8,3.4,12.5,16.6,19.2
2013,04,comercio,commerce,8.1,11.0,9.6,9.9,9.7,10.3,8.8,8.6,7.6,8.8,7.9,6.4,6.2
2013,04,otros servicios,other services,4.9,8.8,9.3,8.9,8.0,9.3,9.0,8.0,7.1,8.3,7.6,7.2,6.7
2013,04,pbi,gdp,6.2,10.0,9.6,9.2,8.8,8.8,6.9,6.7,5.5,6.9,6.0,6.3,6.5
2013,04,pbi de los sectores primarios,primary sectors gross domestic product,0.9,2.2,0.0,1.1,1.1,3.5,3.3,7.1,4.0,4.4,1.6,2.6,2.0
2013,04,pbi de los sectores no primarios,non primary sectors gross domestic product,7.2,11.9,11.4,10.6,10.3,9.8,7.6,6.6,5.7,7.4,6.8,7.1,7.3
