sectores_económicos;economic_sectors;1999_1;1999_2;1999_3;1999_4;1999_year;2000_1;2000_2;2000_3;2000_4;2000_year;2001_1
agropecuario;agriculture and livestock;12.1;15.6;14.9;2.7;11.7;4.6;7.4;6.8;5.5;6.2;-1.1
agrícola;agriculture;11;16.6;24;1.9;13.9;5.3;8.7;5.8;5.2;6.7;-4.2
pecuario;livestock;15;14.4;3.9;4.5;9.2;3.9;4.6;9.1;6.4;6;2.7
pesca;fishing;36.1;48.9;-13.7;41.6;29.2;27.5;16.1;21.9;-13.9;9.1;-6.6
minería e hidrocarburos;mining and fuel;15.6;17;9.7;9.9;12.9;4.2;1.8;2;1.7;2.4;-3.6
minería metálica;metals;19.2;21.5;13.9;13.9;17;5.9;2.8;2.7;2.4;3.4;-3.4
hidrocarburos;fuels;-1;-4.7;-10.7;-10.6;-6.9;-10.1;-6.3;-4.6;-5.1;-6.5;-4.8
manufactura;manufacturing;-5.5;-1.2;-4.8;9.4;-0.5;13.1;9.5;7.1;-1.6;6.7;-3.4
procesadores de recursos primarios;based on raw materials;32.6;31.5;-1.9;25.1;21.1;15.2;12.6;17.2;-6.3;8.6;-5
industria no primaria;non primary industries;-13.1;-8.7;-5.5;4.9;-5.8;12.4;8.5;4.4;-0.1;6.1;-3.2
construcción;construction;-12.8;-11.8;-16.5;-0.7;-10.5;5.6;-2.1;-2.9;-15.8;-4.3;-15.8
comercio;commerce;-5.9;-2.8;-1.6;3.3;-1.9;7.7;7.2;4.6;0.7;5.1;0.2
otros servicios;other services;0.6;-0.1;-1.8;3.5;0.5;2.8;4.5;2;-1.8;1.8;-1.4
pbi;gdp;-0.4;1.2;-1.5;4.6;0.9;5.4;5.6;3.3;-1.7;3.1;-2.4
sectores primarios;primary sectors;17.2;19.1;9.2;10.8;14.2;7.1;7.1;7.4;0.8;5.6;-2.9
sectores no primarios;non-primary sectors;-3.5;-2.6;-3.5;3.3;-1.6;5.1;5.2;2.4;-2.2;2.6;-2.3
desestacionalizado;seasonally adjusted;1.1;0.4;0.2;2.4;0;2.4;0.3;-2.6;-2.6;;2.5
