sectores_economicos;economic_sectors;2007_1;2007_2;2007_3;2007_4;2007_year;2008_1;2008_2;2008_3;2008_4;2008_year;2009_1
agropecuario;agriculture and livestock;8.4;2.3;-1.4;5;3.3;3.9;8;9.4;7.1;7.2;3.9
agrícola;agriculture;6;1.1;-4.5;7.2;2;4.6;8.4;10.4;5.1;7.4;2.1
pecuario;livestock;10.7;5.1;2.8;2.9;5.3;2.9;7.2;8.2;9.5;7;6.1
pesca;fishing;14.5;9.4;-5.3;5.6;6.9;6.6;4.4;15;2.5;6.2;-19.8
minería e hidrocarburos;mining and fuel;-1;-1.4;5.2;7.8;2.7;6.2;10;7.5;6.6;7.6;3.7
minería metálica;metals;-2.7;-2.9;5.5;6.7;1.7;6.7;10.6;7.2;4.8;7.3;0.9
hidrocarburos;fuels;10.6;5.8;0.6;9.7;6.5;2;4.9;9.9;22.8;10.3;30.4
manufactura;manufacturing;9.7;11.2;10.3;11.9;10.8;10.6;11.1;10;3.4;8.7;-5.1
procesadores de recursos primarios;based on raw materials;0.9;4.6;-2.9;-0.5;0.7;12.5;5.4;3.4;9.4;7.6;1.6
industria no primaria;non primary industries;11.2;14.5;13;13.3;13;10.2;12.3;11.1;2.3;8.9;-6.4
electricidad y agua;electricity and water;8.1;9.7;8.1;7.9;8.5;9.3;8.4;8.8;4.6;7.7;1.2
construcción;construction;9;20.1;17.8;19.1;16.6;19.2;21.2;16;10.7;16.5;5.1
comercio;commerce;11.6;6.5;11.5;9.6;9.7;12;15.7;15.2;8.9;13;0.4
otros servicios;other services;8.4;9;9.1;9.2;8.9;10.4;10.9;10;6.3;9.3;3.9
pbi;gdp;8.5;8.1;8.9;9.8;8.9;10.3;11.8;10.9;6.5;9.8;1.8
sectores primarios;primary sectors;3.8;1.8;0.6;5;2.7;6.3;8;7.8;7.2;7.4;2.6
sectores no primarios;non-primary sectors;9.6;9.8;10.7;10.8;10.2;11.2;12.7;11.5;6.4;10.3;1.6
