SECTORES ECONÓMICOS;2010;;;;;;2011;;;;;;;;; ECONOMIC SECTORS
;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Ene.-Ago.;
;;;;;;;;;;;;;;;;
Agropecuario ;-0.9202398;3.4413226;4.9464528;6.7582899;7.8540831;4.2868276;4.6191898;5.3075947;-0.0159148;2.8836935;0.9756719;3.6566568;8.1292776;5.8298756;3.6765003;Agriculture and Livestock
  Agrícola;-2.4581909;3.4761338;5.5471893;5.5198577;9.0030147;4.1761129;1.1661473;3.0217276;-4.0172411;2.3565488;-0.8058763;1.6679053;9.7317180;7.8471795;2.2453021;  Agriculture
  Pecuario;0.8639679;3.4058468;4.3023472;8.2245265;6.5532995;4.4375367;8.7598170;7.9849624;5.9166233;4.0722459;5.0314123;7.4486530;5.7823056;3.5698012;6.0393071;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-32.2004452;-34.1874565;-15.5912893;-33.8691864;-21.4847709;-16.4443196;18.0000000;10.7000000;9.2533139;106.5559495;0.5024527;-15.7797083;75.7800000;82.6000000;26.8064229;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-5.5467191;-1.9193751;-0.6643010;-3.5679813;1.2895793;-0.1486224;0.0068473;-3.5353043;2.4351940;-3.9058412;2.7538630;-6.1720048;-0.9051229;3.1901559;-0.7811720;Mining and fuel
  Minería metálica;-12.9652671;-8.0925193;-7.0246010;-10.7562205;-4.9812422;-4.9088459;-6.1462900;-9.6308275;-1.1321717;-10.5811143;-3.0189429;-10.2474129;-4.2017732;2.3008704;-5.3882341;  Metals
  Hidrocarburos;43.2722830;37.8261033;43.6344875;45.8446003;44.8906176;29.4593062;42.0300442;37.5211745;24.7490510;39.4066293;39.1208718;18.0761810;15.9296176;7.2130150;26.4348819;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;18.7971344;16.1331218;14.7206540;14.7250322;9.5490755;13.6166671;14.9386262;11.0910000;10.3620000;9.3370000;5.4809304;2.2068181;3.8980000;5.0875529;7.6489977;Manufacturing
  De recursos primarios;-5.6023164;-1.6266205;8.8950561;-5.7679233;-11.7785278;-2.3386415;13.6510000;10.1520000;12.6510000;37.2590000;5.2530000;-4.2490000;11.5520000;20.8340000;12.5117003;  Based on raw materials
  No primaria;23.3720318;19.2259339;15.6630024;18.9324721;13.9598725;16.8893651;15.1580000;11.2560000;9.9610000;4.5690000;5.5210000;3.5530000;2.5700000;2.8180000;6.7615149;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;7.9076147;6.8084373;8.2233510;7.4794573;6.1511250;7.6891455;7.4945162;7.5508583;7.2060240;7.0246974;7.2226519;7.2224108;7.2519166;8.0995404;7.3592064;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;14.1164302;22.9730705;10.7089140;23.7823216;12.4949705;17.4306337;16.1877400;4.8900935;3.6043154;0.0989578;3.6909382;-2.7526208;-2.9000000;6.6600000;3.5577623;Construction
;;;;;;;;;;;;;;;;
Comercio;8.9694327;10.9626768;7.9710811;10.8160687;10.8856906;9.6878058;10.1517756;10.8399967;9.1895585;9.2080288;8.7791625;8.4154707;8.4823177;8.5100000;9.1669755;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;9.5876735;9.5253568;8.2227976;9.4395338;9.0405019;8.0451190;9.6794663;8.9937963;9.1649088;8.8562986;9.7416004;8.1271617;8.0799339;8.4015605;8.8677023;Other services 2/
;;;;;;;;;;;;;;;;
PBI;9.2082701;10.3378883;8.5122420;10.1920664;8.9336633;8.7947498;10.0409392;8.3367551;7.8852443;7.5486599;7.3091201;5.3251285;6.5151213;7.4900000;7.5007821;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;-4.0582735;-0.3152443;2.9474960;-0.6470525;1.0880967;1.1150169;4.7290900;3.0454365;3.1293674;7.8856847;2.1165796;-1.2415426;6.8452128;8.2683841;4.1917560;Primary sectors
Sectores no primarios;11.8142039;12.2768158;9.4729390;12.2514756;10.2907405;10.3401117;11.0311740;9.3103720;8.7891743;7.4774431;8.4667479;6.7328423;6.4530073;7.3588072;8.1501385;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.2446541;1.3595416;0.3216649;0.7371542;0.4146146;;0.9706346;-0.1279334;0.6401175;0.8733103;-0.0808571;0.2219716;1.5198807;0.0565825;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;15.2409590;15.3943440;13.2977509;14.1969840;12.2308799;12.8312593;12.3742772;11.2789759;8.1750776;9.8502276;7.2721771;7.6570448;5.6557357;6.4642702;8.5000000;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.0480977;1.2248907;0.5488310;0.3260650;0.5057688;;1.2312141;-0.0341319;-0.1568958;2.6084812;-1.0262605;0.9531403;0.6279678;-1.6138489;;Seasonally adjusted domestic demand indicator 3/
