SECTORES ECONÓMICOS;2009;;2010;;;;;;;;;;;;; ECONOMIC SECTORS
;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;
;;;;;;;;;;;;;;;;
Agropecuario ;2.151199111;2.29442892;6.846658424;2.088150516;2.96084575;7.362862527;2.52213815;3.60892361;4.446049915;-0.920239831;3.441322634;4.946452809;6.758289944;7.854083094;4.286827564;Agriculture and Livestock
  Agrícola;0.839868542;0.906907626;9.599272544;-0.304164338;3.307131961;9.153202739;0.161247563;4.05181202;4.727530802;-2.458190915;3.476133837;5.547189343;5.519857659;9.003014667;4.176112876;  Agriculture
  Pecuario;3.645845395;4.404016489;3.758516657;5.021815249;2.453965883;3.538357075;8.281472625;2.779420104;4.037259704;0.863967914;3.405846824;4.3023472;8.22452649;6.553299455;4.437536655;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-21.74903479;-7.900522026;-24.14;-13.81;13.02;-25.43;-14.81;11.8;-15.27;-32.34;-34.33;-15.73;-34.01;-21.62;-16.59077265;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-4.809813758;0.602392827;1.741838693;3.32731093;-3.611820822;-3.594260621;-2.146913683;7.361948962;0.483995469;-6.290955913;-2.419454254;-0.862388604;-4.001172604;1.26895812;-0.808245938;Mining and fuel
  Minería metálica;-6.835635908;-1.413293285;1.107917363;1.48711875;-5.491298373;-6.136513953;-4.573292152;3.978205248;-3.923187947;-12.9652671;-8.092519309;-7.024601034;-10.75622049;-4.981242178;-4.908902046;  Metals
  Hidrocarburos;2.682871998;16.1374716;6.292933405;17.70124467;10.0804275;16.93380106;16.51550182;33.14302263;31.14832814;43.27228297;37.82610332;43.63448747;45.84460033;44.89061757;29.45930623;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;1.618199571;-7.151212642;0.70990978;6.781799506;15.25050467;15.4906668;13.6638081;21.54797394;17.19364623;18.79713438;16.13312176;14.72065401;14.72503218;9.54907546;13.61666709;Manufacturing
  De recursos primarios;-4.354599507;0.034927416;-10.41822494;-7.03422476;0.976465005;-4.727128103;-9.454655786;10.22562625;14.64047356;-5.602316353;-1.626620476;8.895056119;-5.767923266;-11.77852779;-2.338641499;  Based on raw materials
  No primaria;2.964298187;-8.515280074;2.965355356;9.580635018;18.10699148;19.80545427;20.18913057;24.21120516;17.64856395;23.37203176;19.2259339;15.66300239;18.93247207;13.95987248;16.88936506;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;6.228523655;1.177775521;5.219462644;6.166554438;7.949359207;7.86783515;7.18891099;10.92724048;10.63725119;7.907614663;6.808437272;8.223350966;7.479457268;6.150152331;7.689059227;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;19.74308161;6.147241617;10.17491012;16.06712078;24.14268612;21.07692475;20.88444068;22.64944424;12.27942783;14.11643019;22.97307046;10.70891397;23.78232159;12.4949705;17.43063374;Construction
;;;;;;;;;;;;;;;;
Comercio;4.257284299;-0.399862142;5.63;8.176674571;10.6;11.09566962;11.0893015;10.7421989;8.86;8.969432707;10.96267681;7.971081074;10.81606871;10.88569064;9.687805823;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;5.987831386;3.101497735;3.43117102;4.383253161;7.087688121;7.832280477;8.551674758;10.60363796;8.740138859;9.683605379;9.58700644;8.246969261;9.493427586;9.043682722;8.124025864;Other services 2/
;;;;;;;;;;;;;;;;
PBI;4.940144043;0.861783988;3.799624167;5.72609232;8.878235815;9.262514735;8.921111585;11.96110836;9.261685066;9.208272484;10.33789103;8.512242435;10.19206773;8.933660471;8.794749982;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;-2.434227578;1.035833849;0.779415759;0.476748344;0.645326816;1.433659948;-1.405933308;6.033515895;4.126438553;-4.343361265;-0.5102459;2.86622661;-0.811472316;1.077054579;0.886063098;Primary sectors
Sectores no primarios;6.330304133;0.826833029;4.381207052;6.750110749;10.59022457;11.06431003;11.51313839;13.31564813;10.28402345;11.87020617;12.31231037;9.486969872;12.28271668;10.29264714;10.3861834;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.727452229;;0.79900236;0.146505886;1.437163789;0.033633535;1.754257128;2.220908708;-0.510813352;-0.080795317;2.025275543;1.30220259;-0.647066861;0.758927248;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;2.940747747;-2.857163622;4.858687586;6.866404379;13.7401633;11.91673664;15.78596849;14.96948401;14.86301986;15.24096142;15.39434674;13.29775133;14.19698535;12.23087705;12.83125951;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.604911495;;2.902952212;-1.749194934;3.056824023;-0.804204835;5.093854294;-0.988582153;2.922647608;-0.193997183;1.401821475;2.129595835;-1.837962572;0.356071295;;Seasonally adjusted domestic demand indicator 3/
