SECTORES ECONÓMICOS;2009;;;2010;;;;;;;;;;;; ECONOMIC SECTORS
;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Ene.- Nov.;
;;;;;;;;;;;;;;;;
Agropecuario ;2.680355717;2.151199111;2.29442892;6.771105951;2.46209688;3.611591318;7.847037259;3.092681067;4.914514597;4.956088638;-0.80472795;4.07818482;4.602325498;5.894756023;4.367058468;Agriculture and Livestock
  Agrícola;3.346639124;0.839868542;0.906907626;9.40936142;0.039468953;3.392487104;9.074642513;0.272808387;5.001127057;4.495080188;-2.910659893;3.39896948;3.337989391;3.562215289;3.629787742;  Agriculture
  Pecuario;1.916971915;3.645845395;4.404016489;3.811262488;5.432934143;3.932307279;5.224640155;9.971691059;4.752294639;5.625603871;1.626131558;4.764205066;5.945040036;8.64370163;5.433409885;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-4.697208104;-21.74903479;-7.900522026;-24.14052456;-14.04355765;12.95387171;-25.64175092;-14.84065107;10.95455413;-15.78660343;-33.2158061;-36.13260734;-16.83223632;-35.82028163;-16.77386791;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;0.062996155;-4.809813758;0.602392827;1.692054343;3.237602569;-3.270720053;-3.332080671;-2.009461044;7.950203851;0.754006271;-5.549475956;-2.74;-0.554353568;-3.859399422;-0.785421577;Mining and fuel
  Minería metálica;-1.561669779;-6.835635908;-1.413293285;0.990939235;1.325977916;-5.177072915;-5.906343573;-4.488208787;4.625341687;-3.664159397;-12.18979957;-8.490418609;-6.759068356;-10.58700215;-4.70942406;  Metals
  Hidrocarburos;2.644374997;2.682871998;16.1374716;6.44279396;17.83229617;10.23008926;17.11467104;16.64954289;33.06849879;30.9409814;42.93461746;37.83;43.63;45.84797783;27.97617045;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-2.62596126;1.618199571;-7.151212642;0.705;6.979;15.613;16.0487;14.211;22.143;17.83652479;19.469;16.701;14.673;14.37521945;14.35568578;Manufacturing
  De recursos primarios;-3.498476533;-4.354599507;0.034927416;-10.508;-6.805;1.484;-4.109422509;-9;10.53;15.059;-5.822;-1.481;9.292626878;-6.625366072;-1.236157044;  Based on raw materials
  No primaria;-2.454914327;2.964298187;-8.515280074;2.957;9.748840128;18.419;20.337;20.741;24.852;18.31;24.19;19.847;15.52333864;18.6866626;17.52322681;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;3.953967319;6.228523655;1.177775521;5.222819094;6.166676912;7.946615092;7.86888974;7.213216554;10.94326527;10.62827799;7.913299636;6.822307621;8.215600078;7.4726332;7.842209366;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;13.82782742;19.74308161;6.147241617;10.17491012;16.06712078;24.14268612;21.07692475;20.88444068;22.64944424;12.27942783;14.11643019;22.97307046;10.71;23.78;18.00058799;Construction
;;;;;;;;;;;;;;;;
Comercio;2.666215748;4.257284299;-0.399862142;5.63;8.176674571;10.6;11.09566962;11.0893015;10.7421989;8.86;8.969432707;10.96267681;7.971081074;10.81606871;9.582110167;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;5.617607385;5.987831386;3.101497735;3.379152081;4.339940517;7.066477601;7.920978071;8.53687736;10.40621778;8.452207531;9.624779803;9.523790228;7.871904406;9.290762431;7.909970224;Other services 2/
;;;;;;;;;;;;;;;;
PBI;3.743261571;4.940144043;0.861783988;3.766224092;5.75514168;8.993083945;9.440405491;9.056637053;12.10113363;9.262220657;9.326217538;10.40780149;8.312827833;9.981753658;8.811714198;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;0.296014131;-2.434227578;1.035833849;0.712573085;0.647185533;1.150222792;1.8529879;-0.991533073;6.900885863;4.517764988;-4.06320375;-0.377338903;2.883596881;-1.333949989;1.127637887;Primary sectors
Sectores no primarios;4.425196241;6.330304133;0.826833029;4.354246812;6.751578807;10.62396436;11.1866345;11.57866795;13.28946472;10.20675937;11.956288;12.37075512;9.250129559;12.13171302;10.38054706;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;-0.350530092;0.727452229;;0.766567809;0.20626602;1.516270179;0.090919714;1.71526217;2.221562769;-0.634597989;0.026627212;1.979780831;1.052011089;-0.654123784;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;2.226623696;2.940747747;-2.857163622;4.692503421;6.784048012;13.61194407;11.88744978;15.75181431;14.85133068;14.63167549;15.18821451;15.53696098;12.49536756;13.7729284;12.71318321;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.348897133;0.604911495;;2.366854271;-1.613852998;3.048739864;-0.761337784;5.081940491;-1.046671089;2.785562973;-0.041676873;1.465384982;1.596829842;-1.525875234;;Seasonally adjusted domestic demand indicator 3/
