SECTORES ECONÓMICOS;2010;;;;2011;;;;;;;;;;; ECONOMIC SECTORS
;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Ene.-Oct.;
;;;;;;;;;;;;;;;;
Agropecuario ;4.946452809;6.758289944;7.854083094;4.286827564;5.073320478;5.66303992;0.555226023;2.994131764;1.092354006;3.920237783;9.651790326;6.526110054;1.552485163;2.088563401;3.77394984;Agriculture and Livestock
  Agrícola;5.547189343;5.519857659;9.003014667;4.176112876;2.009846689;3.416731053;-3.614204424;2.325479421;-0.752698213;1.957355682;12.2149653;9.279213875;0.820505358;0.002176966;2.519352887;  Agriculture
  Pecuario;4.3023472;8.22452649;6.553299455;4.437536655;8.746806431;8.294074219;6.73700271;4.501741053;5.292663002;7.662908109;5.897703746;3.441686465;2.310622855;4.397153123;5.700715256;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-15.5912893;-33.86918639;-21.48477088;-16.44431964;25.64941541;21.63448412;17.05986741;38.96925128;27.90168173;18.16589596;23.22830806;27.46734144;27.82376829;32.53;28.1;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-0.664300955;-3.567981264;1.289579297;-0.148622392;0.010585859;-3.519361347;2.429301901;-3.919327988;2.760030901;-5.570214801;-1.13764093;3.071412047;0.673250453;-0.70710132;-0.600216704;Mining and fuel
  Minería metálica;-7.024601034;-10.75622049;-4.981242178;-4.908845891;-6.142046546;-9.612504082;-1.135480375;-10.58516448;-3.014997208;-9.544498704;-4.479623467;2.156216063;-0.932417345;-2.171322485;-4.601016945;  Metals
  Hidrocarburos;43.63448747;45.84460033;44.89061757;29.45930623;42.03004419;37.52117446;24.74905101;39.40662931;39.12087179;18.07618095;15.92961762;7.21301498;8.310906323;6.159783637;21.89026064;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;14.72065401;14.72503218;9.54907546;13.61666709;15.09635772;11.412;10.834;9.648;5.603;2.509;3.938471933;5.298;1.764;-0.783;6.330369898;Manufacturing
  De recursos primarios;8.895056119;-5.767923266;-11.77852779;-2.338641499;13.728;10.305;13.125;37.351;5.539;-3.73;11.621;21.387;11.046;-0.516;11.37715387;  Based on raw materials
  No primaria;15.66300239;18.93247207;13.95987248;16.88936506;15.338;11.604;10.43958468;4.913;5.617;3.818;2.608;2.98;0.429;-0.824;5.462282854;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;8.223350966;7.479457268;6.151124956;7.689145453;7.592147901;7.708707369;6.665238061;6.597089874;8.129866712;7.439394281;7.458326507;8.183464203;7.598517887;7.289816564;7.462801862;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;10.70891397;23.78232159;12.4949705;17.43063374;16.18773997;4.89009347;3.604315414;0.098957755;3.690938226;-2.796469851;-2.973885694;6.626397331;1.633572857;4.4;3.41265549;Construction
;;;;;;;;;;;;;;;;
Comercio;7.971081074;10.81606871;10.88569064;9.687805823;10.41179777;11.08481747;9.557922272;9.283669347;8.836796625;8.415480122;8.482310917;8.513924974;8.781089926;8.68;9.179154456;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;8.222797585;9.439533846;9.040501936;8.045119026;9.710848934;9.025097212;9.255106617;8.988064418;9.721214626;8.172995297;7.692614546;8.446385639;7.685565768;6.806873714;8.523056519;Other services 2/
;;;;;;;;;;;;;;;;
PBI;8.512241952;10.19206636;8.933663336;8.794749774;10.17823144;8.505294277;8.122054341;7.424235805;7.504788765;5.635405503;6.28898718;7.465102005;5.763752109;5.12;7.153662979;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;2.947496032;-0.647052458;1.088096722;1.11501688;4.940788322;3.238404548;3.497392923;7.763772419;2.254548122;-0.80678168;7.53139324;8.651074091;3.228319506;1.067042204;4.053475057;Primary sectors
Sectores no primarios;9.472938964;12.25147564;10.2907405;10.3401117;11.12605391;9.428353504;8.96445095;7.607043565;8.498317822;6.796985764;6.231809366;7.408111039;6.185083489;5.777994391;7.739910979;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.563322772;0.626218018;0.301572626;;0.998057989;-0.09000653;0.694380029;0.833246009;-0.138894559;0.222003332;0.960619919;0.422984659;0.240470192;0.164255224;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;13.29775605;14.19698088;12.23088616;12.83125838;12.46317978;11.37949409;8.278680177;9.826263121;7.111508735;7.305063266;4.955968931;6.678305014;7.152825305;4.815869098;7.890710648;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;1.199011859;-0.01772152;0.604639592;;1.128711152;-0.291396842;0.029725776;2.153506472;-1.316838608;1.201288048;0.431749159;-0.096779748;1.715954908;-0.613293702;;Seasonally adjusted domestic demand indicator 3/
