SECTORES ECONÓMICOS;2010;;;;;;;;2011;;;;;;; ECONOMIC SECTORS
;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Ene.-Jun.;
;;;;;;;;;;;;;;;;
Agropecuario ;3.60892361;4.446049915;-0.920239831;3.441322634;4.946452809;6.758289944;7.854083094;4.286827564;4.619189778;5.307594723;-0.015914842;2.883693514;0.975671914;3.656656837;2.703085596;Agriculture and Livestock
  Agrícola;4.518225973;4.595894599;-1.66497436;4.980819933;7.040272467;7.422179769;11.00516103;4.895100067;1.166147324;3.021727609;-4.017241072;2.356548754;-0.805876264;1.667905307;0.517325324;  Agriculture
  Pecuario;2.666458555;3.714668801;1.826239718;3.293798427;3.72136792;7.503600122;6.123827377;4.256329608;8.759816996;7.984962413;5.916623313;4.0722459;5.031412324;7.448652969;6.501483635;  Livestock
;;;;;;;;;;;;;;;;
Pesca;11.9487067;-15.15322677;-32.20044522;-34.1874565;-15.5912893;-33.86918639;-21.48477088;-16.44431964;21.63100963;13.58563963;9.253313859;106.5559495;0.502452729;-15.7797083;17.56982004;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;8.094603144;0.752796712;-5.546719086;-1.919375084;-0.664300955;-3.567981264;1.289579297;-0.148622392;0.006884377;-3.535315984;2.432153022;-3.915820987;2.756624594;-6.171990478;-1.433188309;Mining and fuel
  Minería metálica;3.978205248;-3.923187947;-12.9652671;-8.092519309;-7.024601034;-10.75622049;-4.981242178;-4.908845891;-6.145570331;-9.633961504;-1.160599729;-10.58382244;-3.040953301;-10.38216434;-6.848946933;  Metals
  Hidrocarburos;33.14302263;31.14832814;43.27228297;37.82610332;43.63448747;45.84460033;44.89061757;29.45930623;42.03004419;37.52117446;24.74905101;39.40662931;39.12087179;18.07618095;32.99599174;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;21.54797394;17.19364623;18.79713438;16.13312176;14.72065401;14.72503218;9.54907546;13.61666709;14.944;11.097;10.367;9.343;5.485;2.212;8.723934362;Manufacturing
  De recursos primarios;10.22562625;14.64047356;-5.602316353;-1.626620476;8.895056119;-5.767923266;-11.77852779;-2.338641499;13.73;10.177;12.723;37.27;5.317;-4.185;11.60247612;  Based on raw materials
  No primaria;24.21120516;17.64856395;23.37203176;19.2259339;15.66300239;18.93247207;13.95987248;16.88936506;15.158;11.256;9.961;4.569;5.521;3.553;8.176293825;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;10.92724048;10.63725119;7.907614663;6.808437272;8.223350966;7.479457268;6.151124956;7.689145453;7.508778538;7.62737304;6.500236593;6.484724817;7.994802564;7.221339567;7.215718075;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;22.64944424;12.27942783;14.11643019;22.97307046;10.70891397;23.78232159;12.4949705;17.43063374;16.18773997;4.89009347;3.604315414;0.098957755;3.690938226;-2.75262082;4.122344104;Construction
;;;;;;;;;;;;;;;;
Comercio;10.7421989;8.86;8.969432707;10.96267681;7.971081074;10.81606871;10.88569064;9.687805823;10.1517589;10.84;9.189543431;9.208045243;8.779178851;8.415480122;9.376398912;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;10.51716233;8.707865819;9.587673535;9.525356812;8.222797585;9.439533846;9.040501936;8.045119026;9.561132408;8.796565884;9.026553016;8.627790281;9.5467707;6.855693249;8.717408128;Other services 2/
;;;;;;;;;;;;;;;;
PBI;11.96111074;9.261682088;9.208270122;10.33788826;8.512241952;10.19206636;8.933663336;8.794749774;10.04125361;8.337083071;7.88380214;7.548678151;7.309115374;5.32513159;7.669459864;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;6.25544011;4.222090526;-4.058273518;-0.315244292;2.947496032;-0.647052458;1.088096722;1.11501688;4.814980255;3.116071494;3.140278981;7.884400818;2.127509864;-1.23082233;3.217511417;Primary sectors
Sectores no primarios;13.26493819;10.26497723;11.81420385;12.27681575;9.472938964;12.25147564;10.2907405;10.3401117;11.01553537;9.297763301;8.785384112;7.477736426;8.464305263;6.730547925;8.570274762;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;1.526412411;-0.223115726;0.244654056;1.359541617;0.321664856;0.737154175;0.414614631;;0.94894359;-0.130339819;0.675573491;0.871795683;-0.10420819;0.235571929;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;14.96948642;14.86301685;15.24095904;15.39434397;13.29775085;14.196984;12.23087992;12.8312593;12.36368122;11.15225892;8.266584168;9.745731799;7.173840554;7.697085853;9.285066177;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;-0.109364591;1.520622073;0.048097743;1.224890723;0.548831022;0.326065032;0.505768838;;1.22139635;-0.138572769;0.043063545;2.42289683;-1.022817036;1.083344039;;Seasonally adjusted domestic demand indicator 3/
