SECTORES ECONÓMICOS;2010;;2011;;;;;;;;;;;;; ECONOMIC SECTORS
;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;
;;;;;;;;;;;;;;;;
Agropecuario ;7.854083094;4.286827564;5.597696342;4.890602581;-0.613706062;3.992515254;1.295120333;3.496582994;10.1299705;7.434934515;3.385359351;4.408246839;4.144554668;-1.275959471;3.777913045;Agriculture and Livestock
  Agrícola;8.529518273;4.144685913;2.433630107;3.278274537;-3.669187265;2.517897178;-0.249705543;1.111180967;13.75099479;11.33355618;4.182041352;3.965092394;3.300426279;-4.176962627;2.83303905;  Agriculture
  Pecuario;6.553299455;4.437536655;9.391805144;6.77907413;3.916481625;7.317334093;4.811956311;8.044881323;4.826532833;3.067136786;2.560207277;4.898597898;5.143199901;2.145229685;5.192287046;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-21.48477088;-16.44431964;17.82539255;13.93270615;7.169020898;110.1406551;2.033838083;-17.3861166;72.80739444;92.61270445;30.18518117;35.06481822;0.31094136;74.46997655;29.70306397;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;1.289579297;-0.148622093;0.016705965;-3.508486043;2.499821542;-3.882230501;2.761305717;-5.569676725;-1.137026924;3.073913454;0.683675359;-0.719397643;-1.067013183;4.191910535;-0.215733162;Mining and fuel
  Minería metálica;-4.763491775;-4.793432065;-6.135030319;-9.600014135;-1.056207204;-10.54872249;-3.011627193;-9.543872394;-4.479167814;2.158969947;-0.920435444;-2.185908471;-1.726018932;4.426545798;-3.598637759;  Metals
  Hidrocarburos;44.89061757;29.45930623;42.02981039;37.5213653;24.74935135;39.40637174;39.12076302;18.07593381;15.92952856;7.213127693;8.310785957;6.159672509;1.923892415;3.094299962;18.09837874;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;9.54907546;13.61666709;15.1411856;11.092;10.70857071;9.942;5.64;2.605;4.128;5.41;1.821;-0.42;-0.217;3.686;5.575074727;Manufacturing
  De recursos primarios;-11.77852779;-2.338641499;14;8.141;12.246;39.336;5.559;-3.474;12.151;21.729;10.715;-0.082;-0.614;34.914;12.3212582;  Based on raw materials
  No primaria;13.95987248;16.88936506;15.344;11.602;10.44111571;4.918;5.657;3.879184365;2.739;3.058;0.542;-0.470039112;-0.152810144;-1.346;4.431212116;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;6.151124956;7.689145453;7.592147901;7.708707369;6.665238061;6.597089874;8.129866712;7.439394281;7.458326507;8.183464203;7.598517887;7.291540954;6.89203445;7.331841438;7.403245973;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;12.4949705;17.43063374;16.18773997;4.89009347;3.604315414;0.098957755;3.690938226;-2.796469851;-2.973885694;6.626397331;1.633572857;4.393099418;3.186491738;3.80407437;3.4289948;Construction
;;;;;;;;;;;;;;;;
Comercio;10.88569064;9.687805823;10.41179777;11.08481747;9.557922272;9.283669347;8.836796625;8.415480122;8.482310917;8.513924974;8.781089926;8.6782574;7.02166222;7.046524417;8.825867808;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;9.040501936;8.045119026;9.744902516;8.911494385;9.26417687;8.954298366;9.722608335;8.19353967;7.715983237;8.465446142;7.684860535;6.823904062;7.375968832;7.234384872;8.296045832;Other services 2/
;;;;;;;;;;;;;;;;
PBI;8.933663336;8.794749791;10.21266913;8.321539707;7.97859751;7.805894101;7.389587482;5.426453249;6.503739203;7.692815336;5.891536893;5.329195382;5.140817797;5.964169247;6.912333292;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;1.088096722;1.115016982;5.213955257;2.610959682;2.74023679;8.874445784;2.387074825;-1.059861289;7.786472753;9.249741856;3.960435759;2.181491704;1.377787846;8.102802615;4.380917734;Primary sectors
Sectores no primarios;10.2907405;10.3401117;11.14452925;9.372301853;8.974231226;7.580097912;8.504850316;6.816940815;6.262364352;7.430403;6.203589575;5.840222506;5.773630311;5.625108485;7.379132142;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;-0.037260749;;1.144093022;-0.163568963;0.729937169;0.967581073;-0.165216202;0.222238378;1.028258429;0.481647505;0.280512023;0.237899592;0.53921796;1.158906548;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;12.55604876;13.10496275;12.46917687;11.18424257;8.142302166;9.810282994;6.908331425;7.045543811;4.577223044;6.156340417;5.894268402;3.942741347;6.193399576;5.379740869;7.191700282;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.114737344;;1.117458568;-0.354686034;0.049248756;2.566181324;-1.470954033;0.592607831;0.732179855;0.219972519;1.273491083;-0.392327614;1.64303427;1.097983432;;Seasonally adjusted domestic demand indicator 3/
