SECTORES ECONÓMICOS;2011;;;;;;;;;;;;2012;;; ECONOMIC SECTORS
;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Ene.-Feb.;
;;;;;;;;;;;;;;;;
Agropecuario ;4.890602581;-0.613706062;3.992515254;1.295120333;3.496582994;10.1299705;7.434934515;3.385359351;4.408246839;4.144554668;-1.275959471;3.777913045;2.237103207;3.199856275;2.722780585;Agriculture and Livestock
  Agrícola;3.278274537;-3.669187265;2.517897178;-0.249705543;1.111180967;13.75099479;11.33355618;4.182041352;3.965092394;3.300426279;-4.176962627;2.83303905;1.007667563;1.612536607;1.31486019;  Agriculture
  Pecuario;6.77907413;3.916481625;7.317334093;4.811956311;8.044881323;4.826532833;3.067136786;2.560207277;4.898597898;5.143199901;2.145229685;5.192287046;3.617575802;4.998082217;4.311861528;  Livestock
;;;;;;;;;;;;;;;;
Pesca;13.93270615;7.169020898;110.1406551;2.033838083;-17.3861166;72.80739444;92.61270445;30.18518117;35.06481822;0.31094136;74.46997655;29.70306397;-8.32;-1.08;-4.552366613;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-3.483604528;2.50411803;-3.881750733;2.760953422;-5.567519233;-1.134149647;3.074867534;0.68440889;-0.543853916;-1.067148065;4.192182518;-0.195345333;-2.225597598;2.526058013;0.041884349;Mining and fuel
  Minería metálica;-9.600014135;-1.056207204;-10.54872249;-3.011627193;-9.543872394;-4.479358521;2.158969947;-0.920435444;-2.185908471;-1.726018932;4.426545798;-3.598691022;-0.863462594;1.964438603;0.479534806;  Metals
  Hidrocarburos;37.52117446;24.74905101;39.40662931;39.12087179;18.07618095;15.92961762;7.21301498;8.310906323;6.159783637;1.92380885;3.094240384;18.09840697;-8.008066877;5.012031674;-1.773348708;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;11.092;10.70857071;9.942;5.64;2.605;4.128;5.41;1.821;-0.42;-0.217;3.686;5.575074727;1.697;1.291;1.500956333;Manufacturing
  De recursos primarios;8.141;12.246;39.336;5.559;-3.474;12.151;21.729;10.715;-0.082;-0.614;34.914;12.3212582;11.114;1.035;6.389122987;  Based on raw materials
  No primaria;11.602;10.44111571;4.918;5.657;3.879184365;2.739;3.058;0.542;-0.470039112;-0.152810144;-1.346;4.431212116;0.054026234;1.333249796;0.671708277;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;7.708707369;6.665238061;6.597089874;8.129866712;7.439394281;7.458326507;8.170630637;7.55782685;7.306970966;6.93474738;7.330687577;7.403665315;5.819479026;7.46393911;6.612302064;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;4.89009347;3.604315414;0.098957755;3.690938226;-2.796469851;-2.973885694;6.626397331;1.633572857;4.393099418;3.186491738;3.80407437;3.4289948;4.43;14.03;8.993736449;Construction
;;;;;;;;;;;;;;;;
Comercio;11.08481747;9.557922272;9.283669347;8.836796625;8.415480122;8.482310917;8.513924974;8.781089926;8.6782574;7.02166222;7.046524417;8.825867808;7.673801949;8.89;8.271797426;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;8.908241808;9.26367578;8.954236471;9.722642605;8.193259512;7.715635761;8.465877191;7.686454047;6.802858758;7.374241449;7.234402513;8.293623759;7.363799984;8.67809698;8.022146432;Other services 2/
;;;;;;;;;;;;;;;;
PBI;8.321538619;7.97859997;7.805891971;7.389585187;5.426453043;6.503737716;7.692815689;5.891536498;5.329193966;5.14081956;5.964170194;6.912333115;5.37966527;7.18;6.268425438;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;2.620470622;2.741645478;8.874598827;2.386981306;-1.059178533;7.787538592;9.250119257;3.960721426;2.250567675;1.377738354;8.102903902;4.388103095;2.07999485;2.489282524;2.280126877;Primary sectors
Sectores no primarios;9.370435416;8.973950169;7.580063377;8.504869604;6.81678255;6.262165314;7.430340863;6.203541958;5.828614007;5.773641055;5.625093892;7.377768912;5.961967245;7.989747984;6.964668594;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;-0.118905594;0.807579132;0.582562085;0.276397027;0.048290018;0.643756826;1.065496035;-0.002451049;0.084553609;0.73059091;0.749723972;;0.367026605;0.636193188;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;11.1839298;8.141983492;9.809977907;6.908028089;7.045223659;4.576909936;6.155978464;5.893935637;3.942424536;6.193090664;5.379532942;7.19138881;3.983587382;7.154283421;5.530499083;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;-0.004180361;1.635081413;-1.927944881;1.564534903;0.198898852;0.246234777;0.816372974;0.570749137;0.300125011;0.731061247;0.381272604;;0.346343444;0.623766607;;Seasonally adjusted domestic demand indicator 3/
