year,wr,sectores_economicos,economic_sectors,2013_may,2013_jun,2013_jul,2013_ago,2013_sep,2013_oct,2013_nov,2013_dic,2013_year,2014_ene,2014_feb,2014_mar,2014_abr,2014_may,2014_ene_may
2014,28,agropecuario,agriculture and livestock,-2.7,1.2,-3.8,0.2,3.2,2.6,4.3,-0.1,1.4,2.4,-0.3,0.2,3.6,0.3,1.3
2014,28,agricola,agriculture,-3.8,-0.2,-6.9,0.5,3.8,2.3,3.1,-1.1,1.0,2.6,-1.9,-2.4,3.8,-0.6,0.4
2014,28,pecuario,livestock,0.5,4.8,2.0,0.0,2.7,3.2,6.2,1.4,2.5,2.2,1.7,4.5,3.3,2.7,2.9
2014,28,pesca,fishing,-22.8,6.3,-23.8,39.2,11.3,15.0,261.4,79.1,18.1,-17.6,18.2,22.3,82.2,-9.3,7.4
2014,28,mineria e hidrocarburos,mining and fuel,4.7,9.0,6.4,10.0,1.9,6.8,8.2,7.4,4.9,5.7,8.0,0.9,-6.1,-4.5,0.5
2014,28,mineria metalica,metals,2.5,8.7,7.0,11.0,2.4,11.2,7.7,8.5,4.2,8.3,9.9,-1.7,-9.6,-6.1,-0.3
2014,28,hidrocarburos,fuel,12.8,10.7,4.4,6.9,0.2,-7.7,9.5,3.6,7.2,-2.4,1.9,9.4,6.0,0.9,3.2
2014,28,manufactura,manufacturing,1.0,7.6,1.4,3.7,7.7,7.6,12.7,12.5,5.7,-0.9,4.1,5.7,0.4,-2.5,1.2
2014,28,procesadores recursos primarios,based on raw materials,-0.6,14.7,-6.1,10.6,8.5,15.5,58.8,39.7,9.8,2.4,16.6,8.5,25.4,-7.8,7.7
2014,28,manufactura no primaria,nonprimary,1.7,4.5,4.3,1.9,7.5,5.6,0.3,3.3,4.4,-2.0,0.8,4.8,-6.6,-0.2,-0.7
2014,28,electricidad y agua,electricity and water,5.6,6.1,6.6,4.8,6.0,7.2,4.3,5.9,5.5,4.9,6.1,6.3,4.8,5.1,5.4
2014,28,construccion,construction,9.6,7.5,20.4,7.2,-3.6,4.3,4.5,3.5,8.9,3.2,9.8,3.1,-8.9,4.7,1.9
2014,28,comercio,commerce,6.6,5.0,4.5,5.6,5.6,6.3,6.7,7.1,5.9,4.7,5.3,5.6,3.5,3.4,4.5
2014,28,otros servicios,other services,6.1,6.1,6.2,6.3,6.6,6.8,6.4,6.2,6.4,6.7,6.1,6.4,5.8,5.3,6.1
2014,28,derechos de importacion y otros impuestos,import duties and other taxes,4.5,4.1,4.1,3.0,3.2,4.4,0.7,3.5,4.8,1.0,0.6,5.3,1.7,0.9,1.8
2014,28,pbi,gdp,4.3,6.1,5.3,5.8,4.9,6.3,7.5,6.9,5.8,4.0,5.4,4.9,2.0,1.8,3.6
2014,28,sectores primarios,primary sectors,0.4,7.3,1.0,8.1,3.3,7.2,17.8,12.1,5.0,3.7,7.1,2.0,1.9,-3.6,1.9
2014,28,sectores no primarios,non primary sectors,5.5,5.8,6.5,5.2,5.3,6.1,4.9,5.7,6.1,4.1,5.0,5.7,2.0,3.5,4.0
2014,28,pbi desestacionalizado,seasonally adjusted gdp,0.4,0.8,0.0,0.6,0.0,0.9,0.7,0.0,,-0.6,0.9,-0.7,0.8,-0.7,
2014,28,indicador de demanda interna,domestic demand indicator,4.6,7.9,7.2,2.8,5.1,5.6,6.7,5.5,,3.2,1.5,6.6,2.5,3.4,
2014,28,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,5.0,7.8,6.7,2.9,5.3,5.2,6.6,5.4,,3.0,1.7,4.0,5.3,3.7,
