year,wr,sectores_economicos,economic_sectors,2013_mar,2013_abr,2013_may,2013_jun,2013_jul,2013_ago,2013_sep,2013_oct,2013_nov,2013_dic,2013_year,2014_ene,2014_feb,2014_mar,2014_ene_mar
2014,20,agropecuario,agriculture and livestock,5.4,0.6,-2.7,1.2,-3.8,0.2,3.2,2.6,4.3,-0.1,1.4,2.4,-0.3,0.2,0.8
2014,20,agricola,agriculture,9.1,-0.2,-3.8,-0.2,-6.9,0.5,3.8,2.3,3.1,-1.1,1.0,2.6,-1.9,-2.4,-0.7
2014,20,pecuario,livestock,0.0,2.7,0.5,4.8,2.0,0.0,2.7,3.2,6.2,1.4,2.5,2.2,1.7,4.5,2.8
2014,20,pesca,fishing,-15.0,-26.3,-22.8,6.3,-23.8,39.2,11.3,15.0,261.4,79.1,18.1,-17.6,18.2,22.3,0.8
2014,20,mineria e hidrocarburos,mining and fuel,-1.6,7.4,4.7,9.0,6.4,10.0,1.9,6.8,8.2,7.4,4.9,5.7,8.0,0.9,4.7
2014,20,mineria metalica,metals,-4.2,5.2,2.5,8.7,7.0,11.0,2.4,11.2,7.7,8.5,4.2,8.3,9.9,-1.7,5.2
2014,20,hidrocarburos,fuel,8.8,15.5,12.8,10.7,4.4,6.9,0.2,-7.7,9.5,3.6,7.2,-2.4,1.9,9.4,3.0
2014,20,manufactura,manufacturing,-0.2,8.6,1.0,7.6,1.4,3.7,7.7,7.6,12.7,12.5,5.7,-0.9,4.1,5.7,2.9
2014,20,procesadores recursos primarios,based on raw materials,-2.2,-6.1,-0.6,14.7,-6.1,10.6,8.5,15.5,58.8,39.7,9.8,2.4,16.6,8.5,8.6
2014,20,manufactura no primaria,nonprimary,0.4,13.5,1.7,4.5,4.3,1.9,7.5,5.6,0.3,3.3,4.4,-2.0,0.8,4.8,1.2
2014,20,electricidad y agua,electricity and water,3.9,6.1,5.6,6.1,6.6,4.8,6.0,7.2,4.3,5.9,5.5,4.9,6.1,6.3,5.8
2014,20,construccion,construction,4.1,31.1,9.6,7.5,20.4,7.2,-3.6,4.3,4.5,3.5,8.9,3.2,9.8,3.1,5.3
2014,20,comercio,commerce,4.3,7.6,6.6,5.0,4.5,5.6,5.6,6.3,6.7,7.1,5.9,4.7,5.3,5.6,5.2
2014,20,otros servicios,other services,5.2,7.3,6.1,6.1,6.2,6.3,6.6,6.8,6.4,6.2,6.4,6.7,6.1,6.4,6.4
2014,20,derechos de importacion y otros impuestos,import duties and other taxes,1.6,12.4,4.5,4.1,4.1,3.0,3.2,4.4,0.7,3.5,4.8,1.0,0.6,5.3,2.3
2014,20,pbi,gdp,2.9,8.8,4.3,6.1,5.3,5.8,4.9,6.3,7.5,6.9,5.8,4.0,5.4,4.9,4.8
2014,20,sectores primarios,primary sectors,-0.1,2.8,0.4,7.3,1.0,8.1,3.3,7.2,17.8,12.1,5.0,3.7,7.1,2.0,4.2
2014,20,sectores no primarios,non primary sectors,3.8,10.5,5.5,5.8,6.5,5.2,5.3,6.1,4.9,5.7,6.1,4.1,5.0,5.7,4.9
2014,20,pbi desestacionalizado,seasonally adjusted gdp,0.9,0.6,-0.3,1.2,0.0,0.6,0.0,0.9,0.8,0.1,,-0.6,0.9,-0.6,
