year,wr,sectores_economicos,economic_sectors,2013_sep,2013_oct,2013_nov,2013_dic,2013_year,2014_ene,2014_feb,2014_mar,2014_abr,2014_may,2014_jun,2014_jul,2014_ago,2014_sep,2014_ene_sep
2014,45,agropecuario,agriculture and livestock,3.0,2.6,4.4,-0.1,1.6,2.3,0.4,0.8,3.7,0.2,-4.4,2.2,3.7,1.6,0.9
2014,45,agricola,agriculture,3.8,2.3,3.1,-1.1,1.0,2.1,-1.5,-2.1,4.0,-0.1,-8.9,1.1,2.7,0.3,-0.6
2014,45,pecuario,livestock,2.7,3.2,6.2,1.4,2.5,2.1,1.7,4.4,2.9,2.6,2.4,2.5,3.7,3.2,2.8
2014,45,pesca,fishing,11.3,15.0,261.4,79.1,18.1,-17.6,18.2,22.3,82.2,-9.3,-30.7,13.5,-22.0,-26.4,-5.2
2014,45,mineria e hidrocarburos,mining and fuel,1.9,6.8,8.2,7.4,4.9,5.5,8.0,1.6,-4.8,-2.0,-5.9,-1.3,-3.7,-3.1,-0.9
2014,45,mineria metalica,metals,2.4,11.2,7.7,8.4,4.3,8.1,9.9,-0.7,-7.9,-2.9,-6.8,-3.4,-4.1,-4.8,-1.8
2014,45,hidrocarburos,fuel,0.2,-7.7,9.5,3.6,7.2,-2.4,1.9,9.4,6.0,0.9,-2.6,6.9,-2.3,3.0,2.3
2014,45,manufactura,manufacturing,7.4,9.1,15.2,12.6,5.1,1.0,4.7,7.9,2.1,-3.0,-8.3,-5.1,-2.6,-1.8,-0.8
2014,45,procesadores recursos primarios,based on raw materials,7.6,14.6,55.9,37.9,8.7,3.5,17.6,10.0,26.8,-7.6,-22.6,-1.5,-5.4,-6.8,-0.8
2014,45,manufactura no primaria,nonprimary,7.3,7.7,3.6,3.6,3.8,0.1,1.1,7.2,-4.8,-1.1,-1.4,-6.3,-1.7,-0.3,-0.9
2014,45,electricidad y agua,electricity and water,6.0,7.2,4.3,5.9,5.5,4.9,6.1,6.1,4.8,5.1,4.9,4.3,4.4,4.7,5.0
2014,45,construccion,construction,-3.6,4.3,4.5,3.5,8.9,3.8,9.8,3.1,-8.9,5.8,2.4,-6.0,-3.7,6.9,1.0
2014,45,comercio,commerce,5.6,6.3,6.7,7.1,5.9,4.7,5.3,5.6,3.5,4.2,5.5,4.2,3.2,4.5,4.5
2014,45,otros servicios,other services,6.7,7.0,6.7,6.4,6.5,6.8,6.1,6.7,6.0,5.6,5.7,5.2,5.1,5.5,5.8
2014,45,derechos de importacion y otros impuestos,import duties and other taxes,3.2,4.4,0.7,3.5,4.8,1.0,1.6,5.3,1.7,0.9,-0.1,-1.7,-1.0,0.9,0.9
2014,45,pbi,gdp,4.9,6.6,8.0,7.0,5.8,4.4,5.6,5.5,2.5,2.3,0.3,1.3,1.3,2.7,2.8
2014,45,sectores primarios,primary sectors,3.1,7.0,17.4,11.8,4.9,3.8,7.5,2.8,2.8,-2.3,-8.9,-0.1,-2.6,-2.9,-0.4
2014,45,sectores no primarios,non primary sectors,5.3,6.5,5.6,5.8,6.0,4.5,5.1,6.2,2.4,3.8,3.3,1.6,2.3,4.0,3.7
2014,45,pbi desestacionalizado,seasonally adjusted gdp,-0.3,1.1,0.8,-0.2,,-0.6,0.8,-0.5,0.8,-0.6,-0.4,0.6,0.3,0.7,
2014,45,indicador de demanda interna,domestic demand indicator,5.1,5.9,7.1,5.6,7.0,3.4,1.5,7.0,2.4,2.4,0.7,0.7,3.5,5.1,2.9
2014,45,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,0.3,1.8,1.0,-1.3,,0.6,-0.9,1.1,0.4,-1.0,0.1,0.8,0.7,1.6,
