year,wr,sectores_economicos,economic_sectors,2013_jul,2013_ago,2013_sep,2013_oct,2013_nov,2013_dic,2013_year,2014_ene,2014_feb,2014_mar,2014_abr,2014_may,2014_jun,2014_jul,2014_ene_jul
2014,36,agropecuario,agriculture and livestock,-3.6,0.1,2.9,2.5,4.4,0.0,1.5,2.1,-0.1,0.4,3.7,0.7,-5.6,1.6,0.2
2014,36,agricola,agriculture,-6.9,0.5,3.8,2.3,3.1,-1.1,1.0,2.1,-1.5,-2.1,4.0,-0.1,-8.9,1.1,-1.0
2014,36,pecuario,livestock,2.0,0.0,2.7,3.2,6.2,1.4,2.5,2.1,1.7,4.4,2.9,2.6,2.4,2.5,2.6
2014,36,pesca,fishing,-23.8,39.2,11.3,15.0,261.4,79.1,18.1,-17.6,18.2,22.3,82.2,-9.3,-30.7,13.5,-1.9
2014,36,mineria e hidrocarburos,mining and fuel,6.4,10.0,1.9,6.8,8.2,7.4,4.9,5.6,8.0,1.6,-4.9,-2.1,-5.9,-1.6,-0.2
2014,36,mineria metalica,metals,7.0,11.0,2.4,11.2,7.7,8.5,4.2,8.2,9.9,-0.7,-8.1,-3.0,-6.8,-3.9,-1.0
2014,36,hidrocarburos,fuel,4.4,6.9,0.2,-7.7,9.5,3.6,7.2,-2.4,1.9,9.4,6.0,0.9,-2.6,6.9,2.9
2014,36,manufactura,manufacturing,0.2,3.2,7.8,9.8,15.8,12.9,5.5,1.1,4.6,7.5,1.6,-3.2,-8.3,-5.7,-0.5
2014,36,procesadores recursos primarios,based on raw materials,-6.6,9.7,7.6,14.6,55.9,37.9,8.7,3.4,17.6,10.0,26.8,-7.6,-22.6,-1.5,1.7
2014,36,manufactura no primaria,nonprimary,2.8,1.4,7.8,8.6,4.4,4.0,4.4,0.3,1.1,6.7,-5.3,-1.3,-1.4,-7.2,-1.1
2014,36,electricidad y agua,electricity and water,6.6,4.8,6.0,7.2,4.3,5.9,5.5,4.9,6.1,6.1,4.8,5.0,4.9,4.3,5.2
2014,36,construccion,construction,20.4,7.2,-3.6,4.3,4.5,3.5,8.9,3.8,9.8,3.1,-8.9,5.8,3.1,-6.0,0.9
2014,36,comercio,commerce,4.5,5.6,5.6,6.3,6.7,7.1,5.9,4.7,5.3,5.6,3.5,4.2,5.5,4.2,4.7
2014,36,otros servicios,other services,6.0,6.3,6.6,7.0,6.6,6.3,6.3,6.9,6.0,6.6,5.9,5.5,5.7,5.3,6.0
2014,36,derechos de importacion y otros impuestos,import duties and other taxes,4.1,3.0,3.2,4.4,0.7,3.5,4.8,1.0,1.6,5.3,1.7,0.9,-0.1,-1.7,1.2
2014,36,pbi,gdp,5.1,5.7,4.9,6.7,8.0,7.0,5.8,4.4,5.5,5.4,2.4,2.3,0.3,1.2,3.0
2014,36,sectores primarios,primary sectors,1.0,8.0,3.1,7.0,17.4,11.9,4.8,3.8,7.3,2.7,2.8,-2.2,-9.2,-0.5,0.2
2014,36,sectores no primarios,non primary sectors,6.2,5.2,5.4,6.6,5.7,5.8,6.0,4.6,5.1,6.1,2.3,3.7,3.3,1.6,3.8
2014,36,pbi desestacionalizado,seasonally adjusted gdp,-0.2,0.5,0.0,1.0,0.7,-0.2,,-0.6,0.7,-0.6,0.7,-0.6,-0.5,0.5,
2014,36,indicador de demanda interna,domestic demand indicator,7.0,2.7,5.1,6.0,7.2,5.6,7.0,3.5,1.5,6.9,2.4,2.3,1.0,1.6,2.7
2014,36,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,1.0,-1.8,0.6,1.7,0.1,-0.2,,0.2,-1.0,1.1,0.5,-1.0,0.0,1.4,
