year,wr,sectores_economicos,economic_sectors,2012_dic,2012_year,2013_ene,2013_feb,2013_mar,2013_abr,2013_may,2013_jun,2013_jul,2013_ago,2013_sep,2013_oct,2013_nov,2013_dic,2013_year
2014,08,agropecuario,agriculture and livestock,10.3,5.7,7.6,5.8,5.2,2.4,-1.8,0.5,-2.2,0.8,2.4,4.4,5.2,0.7,2.2
2014,08,agricola,agriculture,13.6,5.6,11.0,8.6,9.7,2.5,-3.0,-1.7,-4.0,-2.5,1.9,5.1,3.9,0.0,1.8
2014,08,pecuario,livestock,6.5,5.9,3.7,2.8,0.3,3.0,0.8,4.3,2.3,5.3,2.6,2.8,4.5,1.6,2.8
2014,08,pesca,fishing,-50.4,-13.2,21.2,22.1,-16.7,-3.4,-7.2,4.6,17.4,2.2,-4.1,-7.7,96.9,68.5,12.7
2014,08,mineria e hidrocarburos,mining and fuel,-1.6,2.2,-4.3,-1.7,-2.3,4.9,3.9,6.1,3.6,8.2,-2.0,5.9,8.0,4.6,2.9
2014,08,mineria metalica,metals,-2.6,2.2,-8.4,-3.2,-3.7,3.3,2.3,6.2,4.5,8.8,-2.4,8.5,5.6,4.6,2.2
2014,08,hidrocarburos,fuel,3.1,2.3,16.3,4.7,3.9,12.1,10.7,5.4,-0.3,5.9,-0.2,-4.4,19.7,4.8,6.2
2014,08,manufactura,manufacturing,-1.9,1.6,4.8,0.8,-3.8,6.5,1.3,2.2,1.7,-0.4,3.9,3.2,-1.0,1.8,1.7
2014,08,de recursos primarios,based on raw materials,-20.2,-5.2,-0.9,2.3,-3.9,-6.5,5.9,13.2,2.3,3.9,1.7,-1.4,23.5,16.4,4.7
2014,08,no primaria,non primary,2.1,2.8,5.9,0.5,-3.8,8.8,0.4,0.1,1.6,-1.0,4.2,4.0,-4.6,-0.7,1.2
2014,08,electricidad y agua,electricity and water,5.0,5.4,6.3,3.9,4.1,6.4,5.7,6.1,7.1,5.0,6.1,7.1,4.7,4.8,5.6
2014,08,construccion,construction,5.2,15.1,18.4,14.3,3.8,26.4,10.7,7.0,11.5,7.7,-1.3,6.2,2.3,2.3,8.5
2014,08,comercio,commerce,7.0,6.7,5.5,5.6,4.0,7.5,6.6,5.0,4.3,5.4,5.6,6.4,6.7,7.3,5.8
2014,08,otros servicios,other services,5.6,7.1,6.9,5.5,4.0,7.4,6.0,4.9,5.7,5.2,6.0,5.8,5.9,5.8,5.8
2014,08,pbi,gdp,4.3,6.3,6.7,5.1,2.5,7.8,4.8,4.4,4.7,4.4,4.4,5.5,5.0,5.0,5.0
2014,08,sectores primarios,primary sectors,-2.4,2.2,2.3,3.1,0.6,1.7,0.6,4.1,0.8,3.9,0.6,3.6,10.9,6.0,3.1
2014,08,sectores no primarios,non primary sectors,5.4,7.0,7.4,5.4,2.9,9.0,5.7,4.4,5.4,4.5,5.0,5.7,4.1,4.9,5.4
2014,08,pbi desestacionalizado,seasonally adjusted gdp,-0.2,,1.1,0.3,-0.1,0.4,0.5,0.3,0.6,0.2,0.4,0.9,0.2,0.2,
2014,08,indicador de demanda interna,domestic demand indicator,5.1,7.2,12.0,9.3,3.7,8.2,4.8,5.2,5.5,2.6,4.2,5.1,4.5,4.6,5.7
2014,08,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,0.6,,1.3,0.2,-0.4,-0.1,0.7,0.6,0.5,-0.2,0.4,0.7,0.4,0.3,
