sectores_economicos;economic_sectors;2002_1;2002_2;2002_3;2002_4;2002_year;2003_1;2003_2;2003_3;2003_4;2003_year;2004_1
agropecuario;agriculture and livestock;6.5;7;2.5;6;5.7;2.1;3.7;2.3;-0.3;2.2;1.7
agrícola;agriculture;9.4;7.1;0.5;7;6.1;1;3.8;1.9;-1.8;1.8;0.6
pecuario;livestock;2.5;7.2;6.4;5.2;5.3;4;3.8;3.1;1.3;3;3
pesca;fishing;-18.9;8.5;8.2;30.5;5.7;-15;-15.8;-9.2;-11.4;-13.4;6.5
minería e hidrocarburos;mining and fuel;26;19.2;4.4;2;11.6;4.5;10.8;7.5;4.2;6.7;12.4
minería metálica;metals;28.3;20.8;4.3;1.8;12.3;5.6;12;9;4.8;7.8;14
hidrocarburos;fuels;5.2;0.5;-0.8;-2.2;0.6;-6.2;-1.2;-7.3;-3.1;-4.5;-5.4
manufactura;manufacturing;0.6;4.9;5.1;6.3;4.2;6.4;1.1;2;-0.2;2.2;5
procesadores de recursos primarios;based on raw materials;-6.9;-1;-3.1;9;-0.5;-2.2;-2.6;-0.9;-5.2;-2.8;0.5
industria no primaria;non primary industries;2.7;6.9;7.3;5.5;5.6;8.5;2.2;2.8;1.2;3.6;6
electricidad y agua;electricity and water;5;6;4.2;5.3;5.1;4.7;4;4.5;3.6;4.2;4.7
construcción;construction;10.4;7.5;10.7;3.5;7.9;5.2;6.9;3.3;4.1;4.8;7.1
comercio;commerce;1.7;7.3;4;5.2;4.6;8;2.7;3.2;0.7;3.6;2.2
otros servicios;other services;2;5.2;4.7;3;3.8;6.1;3.9;3.2;4.9;4.5;4.8
vab;gross aggregated value;4;6.7;4.8;4.2;5;5.7;3.7;3.2;2.7;3.8;4.8
impuestos a los productos y derechos de importación;taxes on products and import duties;-4.1;2.6;8.2;8.6;3.9;11.9;4.3;5.8;4.1;6.3;2.6
pbi;gdp;3.2;6.3;5.1;4.7;4.9;6.3;3.7;3.5;2.9;4.1;4.6
sectores primarios;primary sectors;9.1;8.7;5.6;5.6;6.5;1.8;4;3.4;0.1;2.5;5.5
sectores no primarios;non-primary sectors;2.7;6.1;3.9;3.9;4.5;6.8;3.6;3.2;3.4;4.2;4.6
