sectores_economicos;economic_sectors;1994_ene;1994_feb;1994_mar;1994_abr;1994_may;1994_jun;1994_jul;1994_ago;1994_sep;1994_oct;1994_nov;1994_dic;1994_year;1995_ene;1995_feb;1995_ene_feb
agropecuario;agriculture and livestock;11.9;5.4;12.8;16.6;26.2;34.4;6.7;4.4;2.6;6.9;7.5;8.6;13.2;11.1;13.5;12.3
agricola;agriculture;11.9;4.8;15.5;20.3;32.1;44.2;7.5;4.9;0.5;4;3.9;4.8;15.7;11.5;18.7;15.3
pecuario;livestock;11.8;6.1;8.3;7.6;8.7;3.4;3.8;3.1;6.2;11.1;12.4;14;8.1;10.7;6.3;8.5
pesca;fishing;3.8;84.5;46;41.7;43.1;32.2;24;27.9;23.3;80;49.1;-6.3;31.5;37.5;19.6;32.8
mineria;mining and fuel;8.3;3.5;8.2;9.1;14;7.2;2.2;0.3;-1.8;1;1.4;-1.4;4.2;4.8;7.3;5.9
mineria metalica;metals;9.7;2.3;9.6;11.6;19.9;10.1;2.7;1.8;-1.1;5.6;6.7;7;7;15.5;15.7;15.6
petroleo crudo;fuels;6.7;5;6.6;6;7.6;3.8;1.5;-1.4;-2.6;-4.3;-5;-11.2;0.9;-7.6;-2.7;-5.3
manufactura;manufacturing;13.6;10.1;12.9;21.9;18.8;13.3;17.5;16.2;18.1;27.5;21.6;11.4;16.9;13.5;10.3;12
procesadores recursos primarios;based on raw materials;10.4;19.7;24.7;23.9;22;22.5;17.1;21.4;6.1;31.3;23.5;-0.3;18.1;14.6;3.3;10.3
resto industria;non primary;15.5;6.9;7.6;20.9;17.2;9.2;17.7;14.4;22.3;25.9;20.7;17.5;16.4;12.8;12.9;12.9
construccion;construction;31.1;21.9;30.3;28.2;37.2;30.4;28.1;27.3;44.3;51.7;44.3;36.2;34.3;32.3;36.8;34.4
gobierno;government;0;-0.1;0.5;0;-0.8;-0.6;0.5;0;2.5;-2.5;1;1;0.1;-0.5;0.2;-0.1
otros;others;12.1;4.8;10.3;12.6;13.8;9.1;8.6;8.9;10;14.8;13.6;9;10.6;9.8;8.7;9.3
comercio;commerce;20.9;9.5;17.2;19.5;19.9;11.8;15.2;16.3;15.2;20.2;18.5;15.1;16.6;14;11.7;12.9
resto;remaining;7.6;2.4;6.6;8.9;10.6;7.7;5.2;5.5;7.5;12.3;11.2;5.7;7.6;7.4;7;7.3
pbi;gdp;12.7;7.4;12.5;15.4;17.4;14.9;10.3;10.1;11.7;17.4;15.6;9.6;12.9;12.4;11.8;12.1
