sectores_económicos;economic_sectors;1998_1;1998_2;1998_3;1998_4;1998_year;1999_1;1999_2;1999_3;1999_4;1999_year;2000_1
agropecuario;agriculture and livestock;2;-4;-1.3;12.3;1.3;12;16.3;15.7;1.9;12;4.8
agrícola;agriculture;0;-7.4;-8.3;17.1;-1.9;10.6;17.5;25.5;0.6;14.2;6
pecuario;livestock;5.3;6.5;9.5;6.6;7;15.4;14.5;3.9;4.5;9.3;3.4
pesca;fishing;-37.2;-45.7;28.4;56.9;-13.7;35.3;48.4;-14;41.8;28.9;34.1
minería e hidrocarburos;mining and fuel;4.8;0.4;6.9;10.1;5.6;14.6;15.9;8.7;8.7;11.8;4
minería;metals;6.5;1.5;7.3;11.1;6.6;16.6;18.7;11.4;11.1;14.3;5.9
petroleo y gas;fuel;-5.7;-6.9;4.4;3.1;1.4;-0.4;-4.2;-10.2;-10.1;-6.4;-10.1
manufactura;manufacturing;1.4;-6.8;-0.8;-7.5;-3.6;-4.6;-1.1;-3.8;10.8;0.3;14.7
procesadores recursos primarios;based on raw materials;-22.8;-33.9;1.1;9;-13.2;34.4;42.8;-4.3;24.6;23.3;22.4
resto industria;non primary;6.1;-0.4;-1.2;-10.4;-1.7;-10;-7.9;-3.7;7.8;-3.6;13.1
construcción;construction;7.7;-0.7;6.7;-9.4;0.7;-13.1;-12;-16.7;-1;-10.8;3.9
comercio;commerce;-0.2;-3.9;-2.8;-4;-3.1;-5.1;-2.8;-0.9;2.7;-1.6;8.8
otros servicios;other services;5.2;-1.2;1.8;-1.9;0.5;-0.3;1.7;0.4;2.8;1.2;4.4
pbi;gdp;3.5;-3;2.4;-1.9;-0.4;-0.7;2.1;-0.1;4.2;1.4;6.6
pbi primario;primary gdp;-2.5;-9.3;3.3;12.1;-0.2;16.3;20;9.4;9.4;14;7.9
pbi no primario;non-primary gdp;4.5;-1.6;1.9;-4.1;-0.5;-3.6;-1.5;-1.8;3.2;-0.9;6.3
pbi desestacionalizado;seasonally adjusted gdp;-0.7;-1.4;3.9;-1.7;;1.1;0.4;0.2;2.4;;2.9
