sectores_económicos;economic_sectors;1997_1;1997_2;1997_3;1997_4;1997_year;1998_1;1998_2;1998_3;1998_4;1998_year;1999_1;1999_2;1999_3
agropecuario;agriculture and livestock;17.0;4.3;-4.8;6.4;4.9;4.3;-1.9;2.1;15.5;3.6;11.4;13.3;16.1
agrícola;agriculture;24.4;4.3;-11.1;1.7;3.5;3.3;-4.0;-1.7;22.9;2.0;10.8;14.4;24.8
pecuario;livestock;5.5;4.3;9.0;13.0;8.0;6.2;6.7;9.0;6.1;7.0;12.5;9.4;2.1
pesca;fishing;-11.7;25.0;7.8;-55.9;-12.1;-61.9;-66.8;3.7;55.6;-35.6;113.2;128.4;-26.1
minería e hidrocarburos;mining and fuel;4.7;7.3;6.3;4.9;5.8;3.4;-1.5;7.0;9.6;4.7;14.6;15.1;5.6
minería;metals;6.8;10.5;12.3;10.2;10.0;7.7;0.7;7.1;11.7;6.8;22.0;25.0;14.0
petroleo y gas;fuel;0.9;1.6;-4.4;-4.8;-1.7;-4.7;-5.7;6.7;5.1;0.3;-1.3;-5.5;-12.0
manufactura;manufacturing;2.9;12.3;7.6;3.7;6.6;1.7;-9.1;2.3;-5.4;-2.8;2.1;7.8;0.1
procesadores recursos primarios;based on raw materials;0.8;17.0;9.2;-13.4;3.0;-19.0;-32.6;4.1;11.7;-10.6;33.2;38.2;-5.6
resto industria;non primary;3.7;10.0;7.0;11.7;8.1;9.8;2.9;1.6;-11.7;0.4;-6.8;-2.3;2.2
construcción;construction;13.2;20.8;22.9;23.7;20.4;9.2;2.5;7.0;-11.1;1.3;-14.1;-18.5;-17.3
comercio;commerce;4.8;8.8;7.5;7.4;7.2;2.2;-1.0;-2.8;-7.3;-2.2;-7.2;-1.5;-2.0
otros servicios;other services;4.0;6.1;5.9;5.0;5.3;3.2;1.3;1.8;0.2;1.6;-0.1;2.0;-0.2
pbi;gdp;5.9;8.8;6.7;6.0;6.9;2.8;-2.9;2.4;-0.6;0.3;1.3;4.7;0.2
pbi primario;primary gdp;6.8;7.7;2.5;-3.3;3.7;-4.0;-9.9;3.3;12.6;-0.6;16.8;18.5;6.6
pbi no primario;non-primary gdp;5.3;9.9;9.7;12.2;9.3;7.5;3.7;1.9;-8.1;0.9;-8.3;-6.5;-4.0
pbi desestacionalizado;seasonally adjusted gdp;1.7;5.3;-1.9;0.9;;-1.3;-0.5;3.4;-2.0;;0.6;2.8;-1.1
