sectores_económicos;economic_sectors;1998_1;1998_2;1998_3;1998_4;1998_year;1999_1;1999_2;1999_3;1999_4;1999_year;2000_1
agropecuario;agriculture and livestock;4.2;-2;2.1;15.5;3.6;11.5;15.6;17.8;0.7;12.1;3
agrícola;agriculture;3.2;-4.2;-1.8;22.8;2;10;17;27.1;-1.9;14;2.7
pecuario;livestock;6.2;6.7;9;6.1;7;14.4;10.7;2.8;4.5;7.9;3.6
pesca;fishing;-61.9;-66.8;3.7;55.6;-35.6;114.5;129.9;-25.6;64.4;66.4;67.4
minería e hidrocarburos;mining and fuel;3.5;-1.4;7.1;10.1;4.8;14.4;15.1;6;5.8;10.1;1.3
minería;metals;7.8;0.8;7.3;12.4;7.1;21.7;25;14.6;13.5;18.4;5.8
petroleo y gas;fuel;-4.7;-5.7;6.7;5.1;0.3;-1.3;-5.5;-12;-11.6;-7.8;-10.6
manufactura;manufacturing;1.7;-9.1;2.3;-5.4;-2.8;2;8;-0.2;20.7;7.6;20.6
procesadores recursos primarios;based on raw materials;-19;-32.6;4.1;11.7;-10.6;32.8;38.2;-5.7;27.5;22.2;25.3
resto industria;non primary;9.8;2.9;1.6;-11.7;0.4;-6.8;-2.1;1.9;17.6;2.3;18.7
construcción;construction;9.2;2.4;7.1;-11.1;1.3;-14.5;-16.3;-18.2;0.5;-12.2;4
comercio;commerce;2.2;-1.1;-2.8;-7.3;-2.2;-7;-1.4;-1.8;9;-0.6;9.3
otros servicios;other services;3.2;1.3;1.8;0.1;1.5;-0.1;2.1;-0.1;4;1.5;4.1
pbi;gdp;2.8;-2.9;2.4;-0.6;0.3;1.3;5.3;0.3;8.3;3.8;8.5
pbi primario;primary gdp;-3.8;-10;3.3;12.7;-0.6;16.5;19.7;7.4;10.3;13.7;7.7
pbi no primario;non-primary gdp;7.6;3.6;1.9;-8.2;0.9;-8.4;-6.2;-4.4;7;-3;9.2
pbi desestacionalizado;seasonally adjusted gdp;-1.4;-0.3;3.9;-2.8;;1.4;2.1;-0.4;4.8;;1
