year,wr,sectores_economicos,economic_sectors,2019_abr,2019_may,2019_jun,2019_jul,2019_ago,2019_sep,2019_oct,2019_nov,2019_dic,2019_year,2020_ene,2020_feb,2020_mar,2020_abr,2020_ene_abr
2020,24,agropecuario,agriculture and livestock,4.2,1.5,0.2,-1.5,3.5,2.6,5.5,3.2,7.1,3.2,4.3,4.1,0.7,0.6,2.2
2020,24,agricola,agriculture,4.1,0.7,-1.7,-4.5,3.4,1.8,7.1,3.2,10.1,2.6,5.7,5.4,-0.3,0.4,2.3
2020,24,pecuario,livestock,4.5,3.7,4.5,3.7,3.7,3.5,3.6,3.2,3.1,4.1,2.6,2.6,2.0,1.0,2.0
2020,24,pesca,fishing,-65.1,-28.8,11.4,39.8,-3.6,-3.4,-12.1,-17.9,-48.5,-25.9,-32.7,19.3,-21.4,-57.8,-25.3
2020,24,mineria e hidrocarburos,mining and fuel,-2.6,-1.3,-2.9,0.3,4.2,-3.4,0.7,4.1,1.6,0.0,3.8,4.0,-21.8,-42.3,-14.5
2020,24,mineria metalica,metals,-1.4,0.0,-2.5,-0.6,-0.3,-4.9,0.1,3.7,1.8,-0.8,3.1,3.1,-23.1,-47.3,-16.6
2020,24,hidrocarburos,fuel,-9.0,-8.8,-5.2,5.2,38.2,5.3,3.9,6.7,0.1,4.6,7.4,9.0,-14.8,-13.4,-3.0
2020,24,manufactura,manufacturing,-14.0,-6.8,0.7,8.3,2.1,1.8,0.9,-2.3,-5.5,-1.7,0.8,5.3,-32.2,-54.9,-20.9
2020,24,procesadores recursos primarios,based on raw materials,-32.4,-18.2,2.8,10.5,6.1,1.6,7.2,-2.7,-22.3,-8.8,2.1,22.8,-21.7,-23.4,-6.9
2020,24,manufactura no primaria,nonprimary,-4.5,0.1,-0.3,7.6,0.9,1.8,-1.1,-2.1,2.6,1.2,0.4,0.2,-35.8,-66.4,-25.5
2020,24,electricidad y agua,electricity and water,3.8,4.2,3.4,4.1,4.0,2.8,2.8,2.4,2.0,3.9,1.4,5.0,-11.9,-25.6,-7.9
2020,24,construccion,construction,9.5,-0.3,13.4,0.6,5.0,4.4,1.5,-3.5,-9.9,1.5,5.2,5.2,-46.3,-89.7,-34.7
2020,24,comercio,commerce,3.0,2.3,2.7,3.2,3.1,3.4,3.5,3.5,3.6,3.0,2.7,2.5,-22.3,-65.4,-21.7
2020,24,otros servicios,other services,4.0,4.5,4.2,4.1,4.2,3.8,3.7,4.4,4.3,4.2,3.8,3.9,-5.7,-30.1,-7.4
2020,24,derechos de importacion y otros impuestos,import duties and other taxes,1.0,0.6,3.0,6.9,1.7,2.4,-0.8,-2.6,3.1,1.8,0.1,2.4,-22.0,-41.4,-15.3
2020,24,pbi,gdp,0.1,0.7,2.8,3.8,3.6,2.4,2.4,2.0,1.1,2.2,3.1,3.9,-16.3,-40.5,-13.1
2020,24,sectores primarios,primary sectors,-8.4,-4.9,-0.8,1.6,4.2,-1.4,2.5,2.0,-3.2,-1.3,2.9,6.7,-16.3,-26.8,-9.3
2020,24,sectores no primarios,non primary sectors,2.9,2.8,4.0,4.4,3.4,3.4,2.4,2.0,2.3,3.2,3.1,3.2,-16.2,-44.5,-14.1
2020,24,pbi desestacionalizado,seasonally adjusted gdp,-0.7,2.5,3.3,4.2,3.7,3.7,3.4,2.3,2.2,,0.8,-1.7,-23.0,-59.6,
2020,24,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2020,24,demanda interna sin inventarios,domestic demand without inventories,2.0,3.4,3.8,5.2,3.7,3.4,2.8,1.3,1.4,2.8,5.2,3.9,-17.2,-38.1,-12.3
2020,24,demanda interna,domestic demand,-0.6,2.3,3.8,3.8,4.4,3.5,0.9,3.1,1.9,2.3,5.4,3.4,-13.9,-34.5,-10.6
