year,wr,sectores_economicos,economic_sectors,2019_jun,2019_jul,2019_ago,2019_sep,2019_oct,2019_nov,2019_dic,2019_year,2020_ene,2020_feb,2020_mar,2020_abr,2020_may,2020_jun,2020_ene_jun
2020,32,agropecuario,agriculture and livestock,0.3,-1.7,3.2,2.0,5.2,5.2,7.7,3.4,6.0,4.5,0.7,1.6,2.9,-1.6,2.1
2020,32,agricola,agriculture,-1.7,-4.5,3.4,1.8,7.1,3.2,10.1,2.6,5.7,5.4,-0.3,0.4,2.7,-1.7,1.5
2020,32,pecuario,livestock,4.5,3.7,3.7,3.5,3.6,3.2,3.1,4.1,2.6,2.6,2.0,1.0,-1.2,-1.4,0.9
2020,32,pesca,fishing,11.4,39.8,-3.6,-3.4,-12.1,-17.9,-48.5,-25.9,-32.7,19.3,-21.4,-57.8,-47.0,48.0,-15.6
2020,32,mineria e hidrocarburos,mining and fuel,-2.9,0.3,4.2,-3.4,0.7,4.1,1.6,0.0,3.9,3.9,-21.7,-42.3,-45.8,-14.4,-20.1
2020,32,mineria metalica,metals,-2.5,-0.6,-0.3,-4.9,0.1,3.7,1.8,-0.8,3.2,2.9,-23.0,-47.2,-49.9,-13.6,-22.1
2020,32,hidrocarburos,fuel,-5.2,5.2,38.2,5.3,3.9,6.7,0.1,4.6,7.4,9.0,-14.8,-13.4,-20.7,-19.7,-8.8
2020,32,manufactura,manufacturing,0.7,8.3,2.1,1.8,0.9,-2.3,-5.5,-1.7,0.8,5.3,-32.2,-54.9,-41.5,-6.8,-22.3
2020,32,procesadores recursos primarios,based on raw materials,2.8,10.5,6.1,1.6,7.2,-2.7,-22.3,-8.8,2.1,23.7,-21.5,-23.4,-24.1,8.1,-7.6
2020,32,manufactura no primaria,nonprimary,-0.3,7.6,0.9,1.8,-1.1,-2.1,2.6,1.2,0.4,-0.1,-35.9,-66.4,-50.1,-14.0,-27.9
2020,32,electricidad y agua,electricity and water,3.4,4.1,4.0,2.8,2.8,2.4,2.0,3.9,1.4,5.0,-11.9,-25.6,-21.7,-10.6,-10.7
2020,32,construccion,construction,13.4,0.6,5.0,4.4,1.5,-3.5,-9.9,1.5,5.3,5.7,-46.3,-90.4,-66.9,-44.6,-42.0
2020,32,comercio,commerce,2.7,3.2,3.1,3.4,3.5,3.5,3.6,3.0,2.7,2.6,-22.3,-65.4,-49.6,-28.0,-27.5
2020,32,otros servicios,other services,4.2,4.1,4.2,3.8,3.7,4.4,4.2,4.2,3.8,3.8,-6.7,-28.9,-23.0,-18.4,-11.8
2020,32,derechos de importacion y otros impuestos,import duties and other taxes,3.0,6.9,1.7,2.4,-0.8,-2.6,3.1,1.8,0.1,2.4,-22.0,-41.4,-36.9,-27.9,-21.2
2020,32,pbi,gdp,2.8,3.8,3.6,2.3,2.4,2.1,1.1,2.2,3.2,3.9,-16.7,-39.9,-32.7,-18.1,-17.4
2020,32,sectores primarios,primary sectors,-0.8,1.5,4.1,-1.5,2.4,2.4,-3.0,-1.2,3.3,6.9,-16.2,-26.4,-28.0,-5.5,-12.2
2020,32,sectores no primarios,non primary sectors,4.0,4.4,3.4,3.4,2.4,2.0,2.3,3.2,3.1,3.2,-16.8,-43.9,-34.3,-22.1,-18.9
2020,32,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2020,32,variacion porcentual mensual,monthly percent change,0.1,0.0,1.0,-0.6,0.7,0.4,-0.7,,0.5,-1.4,-17.0,-28.4,13.8,20.2,
2020,32,variacion porcentual promedio movil  meses,threemonth moving average percent change,0.1,0.4,0.4,0.1,0.3,0.1,0.1,,0.1,-0.6,-5.9,-14.8,-13.3,-0.8,
2020,32,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2020,32,demanda interna sin inventarios,domestic demand without inventories,3.8,5.2,3.7,3.4,2.8,1.3,1.4,2.3,5.2,3.9,-17.2,-37.5,-31.5,-19.5,-15.0
2020,32,demanda interna,domestic demand,3.8,3.8,4.4,3.5,0.9,3.2,1.9,,5.6,3.2,-14.9,-34.9,-29.8,-14.8,
