year,wr,sectores_economicos,economic_sectors,2019_ago,2019_sep,2019_oct,2019_nov,2019_dic,2019_year,2020_ene,2020_feb,2020_mar,2020_abr,2020_may,2020_jun,2020_jul,2020_ago,2020_ene_ago
2020,39,agropecuario,agriculture and livestock,3.2,2.0,5.2,5.2,7.7,3.4,6.0,4.5,0.7,1.6,2.9,-1.6,-6.5,-6.6,0.1
2020,39,agricola,agriculture,3.4,1.8,7.1,3.2,10.1,2.6,8.6,6.2,0.2,2.0,4.8,-1.7,-9.5,-8.1,0.3
2020,39,pecuario,livestock,3.7,3.5,3.6,3.2,3.1,4.1,2.8,2.5,1.4,0.8,-1.6,-1.4,-1.8,-4.8,-0.3
2020,39,pesca,fishing,-3.6,-3.4,-12.1,-17.9,-48.5,-25.9,-32.7,19.3,-21.4,-57.8,-47.0,48.0,33.3,-6.5,-9.8
2020,39,mineria e hidrocarburos,mining and fuel,4.2,-3.4,0.7,4.1,1.6,0.0,3.9,3.9,-21.7,-42.3,-45.8,-14.4,-6.2,-11.2,-17.2
2020,39,mineria metalica,metals,-0.3,-4.9,0.1,3.7,1.8,-0.8,3.2,2.9,-23.0,-47.2,-49.9,-13.6,-6.4,-10.2,-18.5
2020,39,hidrocarburos,fuel,38.2,5.3,3.9,6.7,0.1,4.6,7.4,9.0,-14.8,-13.4,-20.7,-19.7,-5.1,-16.4,-9.4
2020,39,manufactura,manufacturing,2.1,1.8,0.9,-2.3,-5.5,-1.7,0.8,5.3,-32.2,-54.9,-41.5,-6.8,-10.4,-12.1,-19.4
2020,39,procesadores recursos primarios,based on raw materials,6.1,1.6,7.2,-2.7,-22.3,-8.8,2.1,23.7,-21.5,-23.4,-24.1,8.1,5.0,-12.0,-6.5
2020,39,manufactura no primaria,nonprimary,0.9,1.8,-1.1,-2.1,2.6,1.2,0.4,-0.1,-35.9,-66.4,-50.1,-14.0,-15.7,-12.1,-24.1
2020,39,electricidad y agua,electricity and water,4.0,2.8,2.8,2.4,2.0,3.9,1.4,4.9,-11.8,-25.5,-21.8,-10.6,-5.0,-2.7,-9.0
2020,39,construccion,construction,5.0,4.4,1.5,-3.5,-9.9,1.5,5.3,5.7,-46.3,-90.4,-66.9,-44.6,-12.8,-6.5,-33.3
2020,39,comercio,commerce,3.1,3.4,3.5,3.5,3.6,3.0,2.7,2.6,-22.3,-65.4,-49.6,-28.0,-11.5,-8.1,-22.8
2020,39,otros servicios,other services,4.2,3.8,3.7,4.4,4.2,4.2,3.9,3.8,-6.7,-28.9,-23.0,-18.4,-13.5,-9.9,-11.8
2020,39,derechos de importacion y otros impuestos,import duties and other taxes,1.7,2.4,-0.8,-2.6,3.1,1.8,2.1,2.4,-22.1,-41.5,-37.0,-27.9,-19.2,-11.8,-19.5
2020,39,pbi,gdp,3.6,2.3,2.4,2.1,1.1,2.2,3.2,3.9,-16.7,-39.9,-32.7,-18.1,-11.7,-9.8,-15.7
2020,39,sectores primarios,primary sectors,4.1,-1.5,2.4,2.4,-3.0,-1.2,3.3,6.9,-16.2,-26.4,-28.0,-5.5,-4.1,-10.2,-10.9
2020,39,sectores no primarios,non primary sectors,3.4,3.4,2.4,2.0,2.3,3.2,3.1,3.2,-16.8,-43.9,-34.3,-22.1,-13.8,-9.7,-17.0
2020,39,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2020,39,variacion porcentual mensual,monthly percent change,1.0,-0.6,0.7,0.4,-0.7,,0.5,-1.5,-17.0,-28.4,13.9,20.2,8.3,3.7,
2020,39,variacion porcentual promedio movil  meses,threemonth moving average percent change,0.4,0.1,0.3,0.1,0.1,,0.1,-0.6,-5.9,-14.8,-13.3,-0.8,13.8,10.0,
2020,39,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2020,39,demanda interna sin inventarios,domestic demand without inventories,3.7,3.4,2.8,1.3,1.4,2.3,5.2,3.9,-17.2,-37.5,-31.5,-19.5,-11.6,-15.7,-14.5
2020,39,demanda interna,domestic demand,4.4,3.5,0.9,3.2,1.9,,5.6,3.2,-15.0,-34.9,-29.8,-15.8,-12.2,-13.5,
