year,wr,sectores_economicos,economic_sectors,2019_sep,2019_oct,2019_nov,2019_dic,2019_year,2020_ene,2020_feb,2020_mar,2020_abr,2020_may,2020_jun,2020_jul,2020_ago,2020_sep,2020_ene_sep
2020,43,agropecuario,agriculture and livestock,1.9,5.1,5.2,7.7,3.4,4.2,4.9,1.7,2.5,5.9,-0.5,-5.9,-4.3,-2.6,0.8
2020,43,agricola,agriculture,1.4,7.0,3.0,10.0,2.5,5.2,6.5,1.9,3.4,9.2,0.2,-8.3,-4.0,-2.3,1.7
2020,43,pecuario,livestock,3.5,3.7,3.3,3.1,4.1,2.9,2.9,1.5,0.7,-1.8,-1.8,-2.1,-4.8,-2.9,-0.7
2020,43,pesca,fishing,-3.4,-12.1,-17.9,-48.5,-25.9,-32.7,19.3,-21.4,-57.8,-47.0,48.0,33.3,-6.5,7.3,-8.8
2020,43,mineria e hidrocarburos,mining and fuel,-3.4,0.7,4.1,1.6,0.0,3.9,3.6,-21.7,-42.2,-45.6,-14.2,-5.9,-11.1,-12.2,-16.5
2020,43,mineria metalica,metals,-4.9,0.1,3.7,1.8,-0.8,3.3,2.5,-22.9,-47.1,-49.7,-13.2,-6.1,-10.2,-10.9,-17.6
2020,43,hidrocarburos,fuel,5.3,3.9,6.7,0.1,4.6,7.4,9.0,-14.8,-13.4,-20.7,-19.7,-5.1,-16.4,-19.1,-10.6
2020,43,manufactura,manufacturing,1.8,0.9,-2.3,-5.5,-1.7,0.8,3.7,-29.0,-52.9,-42.4,-8.9,-10.8,-12.5,-6.3,-17.9
2020,43,procesadores recursos primarios,based on raw materials,1.6,7.2,-2.7,-22.3,-8.8,1.9,24.6,-22.1,-23.5,-22.9,10.7,4.1,-12.5,-1.7,-5.6
2020,43,manufactura no primaria,nonprimary,1.8,-1.1,-2.1,2.6,1.2,0.5,-2.4,-31.3,-63.6,-52.1,-18.2,-16.1,-12.4,-7.7,-22.4
2020,43,electricidad y agua,electricity and water,2.8,2.8,2.5,2.0,3.9,1.4,5.1,-11.8,-25.5,-21.8,-10.6,-5.0,-2.7,-1.7,-8.2
2020,43,construccion,construction,4.4,1.5,-3.5,-9.9,1.5,5.3,5.7,-46.3,-90.3,-66.9,-42.7,-12.8,-6.7,4.4,-28.5
2020,43,comercio,commerce,3.4,3.5,3.5,3.6,3.0,2.7,2.6,-22.3,-65.4,-49.6,-27.8,-10.5,-8.1,-6.1,-20.6
2020,43,otros servicios,other services,3.8,3.7,4.3,4.3,4.2,3.7,3.8,-6.8,-27.9,-22.3,-17.8,-13.7,-9.8,-7.7,-11.1
2020,43,derechos de importacion y otros impuestos,import duties and other taxes,2.4,-0.8,-2.6,3.1,1.8,2.1,2.4,-22.1,-41.5,-37.0,-27.9,-19.2,-11.8,-9.0,-18.3
2020,43,pbi,gdp,2.3,2.4,2.1,1.2,2.2,3.0,3.7,-16.3,-39.2,-32.3,-17.9,-11.6,-9.7,-6.9,-14.5
2020,43,sectores primarios,primary sectors,-1.6,2.4,2.4,-3.0,-1.2,2.9,6.9,-16.0,-26.1,-26.8,-4.6,-3.9,-9.7,-8.4,-10.3
2020,43,sectores no primarios,non primary sectors,3.4,2.4,2.0,2.3,3.2,3.0,2.9,-16.3,-43.0,-34.2,-22.1,-13.8,-9.7,-6.6,-15.7
2020,43,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2020,43,variacion porcentual mensual,monthly percent change,-0.7,0.7,0.3,-0.7,,0.3,-1.5,-16.4,-27.8,13.2,19.8,8.1,3.8,1.9,
2020,43,variacion porcentual promedio movil  meses,threemonth moving average percent change,0.1,0.3,0.1,0.1,,0.0,-0.6,-5.8,-14.4,-13.0,-0.9,13.4,9.9,4.5,
2020,43,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2020,43,demanda interna sin inventarios,domestic demand without inventories,3.4,2.8,1.3,1.4,2.3,5.3,3.9,-17.1,-37.9,-32.2,-20.1,-12.8,-8.8,-3.2,-12.8
2020,43,demanda interna,domestic demand,3.5,0.9,3.2,1.9,,5.4,3.0,-15.1,-34.3,-29.5,-16.0,-12.4,-8.7,-4.6,
