year,wr,sectores_economicos,economic_sectors,2015_ago,2015_sep,2015_oct,2015_nov,2015_dic,2015_year,2016_ene,2016_feb,2016_mar,2016_abr,2016_may,2016_jun,2016_jul,2016_ago,2016_ene_ago
2016,41,agropecuario,agriculture and livestock,2.0,5.3,5.2,0.9,2.4,3.3,5.4,0.3,-0.8,3.3,-0.3,-0.8,-2.1,4.4,0.9
2016,41,agricola,agriculture,-1.0,4.5,4.5,-1.8,0.9,1.8,8.3,-1.1,-1.0,3.6,-2.0,-3.1,-7.1,1.5,-0.6
2016,41,pecuario,livestock,5.8,6.3,6.1,4.4,4.3,5.5,1.9,2.2,-0.5,2.5,3.8,4.4,6.1,7.9,3.6
2016,41,pesca,fishing,-10.3,3.7,-8.7,49.0,82.5,15.9,40.4,-18.9,-19.0,-77.1,-67.0,-0.4,103.2,65.6,-24.6
2016,41,mineria e hidrocarburos,mining and fuel,6.5,13.1,10.8,11.6,23.1,9.5,8.1,23.7,16.2,22.8,33.1,15.8,14.1,19.1,18.9
2016,41,mineria metalica,metals,13.8,22.7,17.3,17.7,30.7,15.5,18.6,33.7,23.4,27.7,36.7,22.3,16.0,19.8,24.4
2016,41,hidrocarburos,fuel,-19.9,-19.4,-11.5,-10.5,-5.5,-11.5,-29.5,-13.6,-11.8,1.8,17.3,-12.2,5.2,15.9,-4.4
2016,41,manufactura,manufacturing,-2.1,-4.2,-3.3,1.2,5.1,-1.7,-2.9,-0.4,-4.5,-13.1,-8.9,-0.9,1.2,2.0,-3.6
2016,41,procesadores recursos primarios,based on raw materials,-5.0,-8.0,3.8,17.9,24.5,1.7,7.7,3.3,-5.3,-41.3,-28.4,-0.4,26.5,17.5,-6.4
2016,41,manufactura no primaria,nonprimary,-1.1,-3.2,-5.1,-3.2,-0.7,-2.7,-6.2,-1.3,-4.2,2.9,-0.7,-1.1,-5.9,-2.5,-2.4
2016,41,electricidad y agua,electricity and water,6.6,7.0,7.1,7.3,9.9,6.1,8.6,14.2,8.5,9.0,7.2,6.3,6.6,6.6,8.3
2016,41,construccion,construction,-8.1,-4.8,-1.1,-6.5,0.5,-5.8,-2.7,5.4,3.4,1.4,5.6,-3.8,-7.5,1.3,0.2
2016,41,comercio,commerce,4.0,4.1,4.0,4.1,3.6,3.9,2.6,3.4,2.4,3.1,2.3,1.5,1.2,1.8,2.3
2016,41,otros servicios,other services,5.0,4.5,4.7,5.2,5.1,5.0,5.0,5.5,4.7,4.8,4.4,4.2,4.4,4.2,4.6
2016,41,derechos de importacion y otros impuestos,import duties and other taxes,1.9,2.3,-0.4,1.4,3.0,0.3,2.4,4.1,-1.3,2.0,3.6,0.7,0.8,4.3,2.1
2016,41,pbi,gdp,2.8,3.4,3.4,4.0,6.5,3.3,3.5,6.2,3.7,2.7,4.8,3.6,3.8,5.5,4.2
2016,41,sectores primarios,primary sectors,3.7,8.1,8.3,10.2,19.2,6.8,7.9,14.3,8.5,0.5,10.0,8.4,12.6,16.0,9.5
2016,41,sectores no primarios,non primary sectors,2.6,2.4,2.2,2.5,3.7,2.4,2.4,4.3,2.5,3.4,3.3,2.2,1.4,2.9,2.8
2016,41,pbi desestacionalizado,seasonally adjusted gdp,-0.1,0.6,0.4,0.3,1.3,,-0.5,0.8,-0.3,0.2,0.8,0.1,0.6,0.5,
2016,41,indicador de demanda interna,domestic demand indicator,1.2,3.8,0.9,3.5,4.4,2.9,2.1,4.1,-0.8,-2.8,0.5,3.9,-2.4,4.8,1.1
2016,41,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,-0.6,1.2,-0.6,0.2,1.3,,-0.8,0.3,-1.3,-0.2,-0.6,3.3,-1.7,1.2,
