year,wr,sectores_economicos,economic_sectors,2014_nov,2014_dic,2014_year,2015_ene,2015_feb,2015_mar,2015_abr,2015_may,2015_jun,2015_jul,2015_ago,2015_sep,2015_oct,2015_nov,2015_ene_nov
2016,04,agropecuario,agriculture and livestock,5.9,2.0,1.9,-2.2,2.3,1.5,-1.5,2.4,7.4,4.9,0.9,3.4,3.8,0.7,2.2
2016,04,agricola,agriculture,6.4,-0.4,0.7,-7.5,0.2,-0.2,-4.8,0.6,8.1,3.9,-2.7,0.8,2.0,-1.8,0.2
2016,04,pecuario,livestock,6.3,9.1,5.8,4.8,5.0,4.0,5.7,6.7,5.9,6.6,5.4,6.3,6.0,4.1,5.5
2016,04,pesca,fishing,-70.8,-65.8,-27.9,-23.5,-11.8,17.7,143.5,23.2,-29.6,-37.5,-10.3,3.7,-8.7,49.0,10.6
2016,04,mineria e hidrocarburos,mining and fuel,0.5,-5.2,-0.9,5.7,-1.9,8.7,9.3,1.5,10.6,9.8,4.9,10.9,9.5,11.3,7.3
2016,04,mineria metalica,metals,-0.9,-7.7,-2.2,5.9,-0.4,14.8,18.2,8.6,14.5,17.2,11.8,19.9,15.8,17.6,13.1
2016,04,hidrocarburos,fuel,5.7,4.6,4.0,5.1,-7.3,-9.6,-17.1,-22.1,-3.4,-15.1,-19.9,-19.4,-11.5,-10.5,-12.0
2016,04,manufactura,manufacturing,-14.1,-12.0,-3.7,-6.9,-4.4,-4.0,5.7,-3.5,-2.8,-0.5,-2.1,-4.2,-3.4,1.5,-2.2
2016,04,procesadores recursos primarios,based on raw materials,-40.8,-36.2,-9.3,-15.9,-11.0,-6.5,32.6,3.0,-3.6,-9.9,-4.3,-8.3,3.7,17.8,0.0
2016,04,manufactura no primaria,nonprimary,-1.9,-1.3,-1.5,-3.5,-2.2,-3.3,-5.3,-6.2,-2.1,2.9,-1.4,-3.0,-5.1,-3.0,-3.0
2016,04,electricidad y agua,electricity and water,4.5,4.3,4.9,4.6,3.7,5.6,5.7,5.4,5.5,5.4,6.7,6.8,7.2,7.4,5.8
2016,04,construccion,construction,3.7,5.0,1.6,-3.0,-9.8,-8.2,-8.9,-13.8,-3.9,-7.5,-8.6,-4.9,-1.3,-6.6,-6.9
2016,04,comercio,commerce,3.8,4.5,4.4,3.6,3.4,3.9,3.5,3.7,4.1,4.3,4.0,4.1,4.0,4.1,3.9
2016,04,otros servicios,other services,5.5,6.1,6.0,5.1,4.8,5.5,4.9,4.9,5.3,4.9,4.7,4.2,4.4,5.0,4.9
2016,04,derechos de importacion y otros impuestos,import duties and other taxes,0.1,1.8,0.8,-2.6,0.8,0.2,-1.2,-4.3,2.8,0.6,1.9,2.3,-0.4,1.4,0.1
2016,04,pbi,gdp,0.3,0.7,2.3,1.5,1.0,2.8,4.1,1.1,3.8,3.3,2.4,3.0,3.0,4.0,2.7
2016,04,sectores primarios,primary sectors,-9.4,-11.9,-2.2,-0.4,-2.5,4.6,12.5,2.6,6.6,4.6,2.5,6.3,7.1,10.0,5.0
2016,04,sectores no primarios,non primary sectors,2.9,4.0,3.6,2.0,1.9,2.3,1.8,0.7,3.0,2.9,2.4,2.2,2.0,2.5,2.2
2016,04,pbi desestacionalizado,seasonally adjusted gdp,-0.6,0.4,,0.4,0.1,0.8,0.8,-1.0,1.2,0.1,-0.1,0.5,0.2,0.5,
2016,04,indicador de demanda interna,domestic demand indicator,0.5,2.8,2.2,-0.2,4.2,4.7,4.8,0.6,3.5,2.6,1.2,3.5,1.3,3.3,2.7
2016,04,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,-0.5,0.2,,-0.1,1.4,0.4,0.2,-1.3,0.7,-0.6,0.5,2.3,-1.6,-0.9,
