year,wr,sectores_economicos,economic_sectors,2015_may,2015_jun,2015_jul,2015_ago,2015_sep,2015_oct,2015_nov,2015_dic,2015_year,2016_ene,2016_feb,2016_mar,2016_abr,2016_may,2016_ene_may
2016,28,agropecuario,agriculture and livestock,2.8,8.6,5.9,1.9,4.6,5.2,0.8,1.7,2.8,5.3,0.4,-0.6,2.7,-1.3,1.1
2016,28,agricola,agriculture,1.4,9.8,5.4,-0.9,3.2,4.7,-1.6,-0.3,1.3,7.5,-1.2,-0.4,2.8,-3.4,0.4
2016,28,pecuario,livestock,6.4,5.9,6.7,5.4,6.2,5.8,4.1,4.2,5.3,2.6,2.4,-0.7,2.5,3.9,2.1
2016,28,pesca,fishing,23.2,-29.6,-37.5,-10.3,3.7,-8.7,49.0,82.5,15.9,40.4,-18.9,-19.0,-77.1,-67.0,-48.1
2016,28,mineria e hidrocarburos,mining and fuel,1.8,11.4,11.2,6.4,13.0,10.7,11.3,22.4,9.3,7.8,23.6,16.2,22.8,33.2,20.6
2016,28,mineria metalica,metals,9.0,15.5,19.0,13.6,22.7,17.3,17.7,30.7,15.5,18.6,33.7,23.4,27.8,36.7,28.0
2016,28,hidrocarburos,fuel,-22.1,-3.4,-15.1,-19.9,-19.4,-11.5,-10.5,-5.5,-11.5,-29.5,-13.6,-11.8,1.8,17.3,-8.3
2016,28,manufactura,manufacturing,-3.5,-2.7,-0.7,-2.1,-4.2,-3.3,1.4,5.0,-1.7,-3.6,-0.7,-4.6,-13.8,-7.5,-6.3
2016,28,procesadores recursos primarios,based on raw materials,3.0,-4.1,-10.3,-4.7,-8.3,3.7,17.8,24.2,1.7,6.2,3.4,-6.1,-44.1,-28.3,-18.2
2016,28,manufactura no primaria,nonprimary,-6.2,-2.0,2.8,-1.3,-3.0,-5.1,-2.9,-0.7,-2.7,-6.6,-1.4,-4.0,2.7,1.3,-1.7
2016,28,electricidad y agua,electricity and water,5.4,5.5,5.4,6.7,6.8,7.2,7.4,10.1,6.2,8.8,14.5,8.9,9.2,7.1,9.6
2016,28,construccion,construction,-13.3,-3.7,-7.5,-8.1,-4.8,-1.1,-6.5,0.1,-5.9,-2.7,5.4,3.4,1.4,5.6,2.6
2016,28,comercio,commerce,3.7,4.1,4.3,4.0,4.1,4.0,4.1,3.6,3.9,2.6,3.4,2.4,3.1,2.3,2.7
2016,28,otros servicios,other services,4.8,5.4,5.1,4.9,4.5,4.9,5.4,5.1,5.1,5.0,5.4,4.7,4.6,4.2,4.8
2016,28,derechos de importacion y otros impuestos,import duties and other taxes,-4.3,2.8,0.6,1.9,2.3,-0.4,1.4,3.0,0.3,2.4,4.1,-1.3,2.0,3.6,2.1
2016,28,pbi,gdp,1.2,4.1,3.6,2.7,3.4,3.4,4.1,6.4,3.3,3.4,6.2,3.7,2.5,4.9,4.1
2016,28,sectores primarios,primary sectors,2.9,7.2,5.6,3.6,7.9,8.2,10.1,18.6,6.6,7.6,14.3,8.5,-0.1,9.8,7.7
2016,28,sectores no primarios,non primary sectors,0.7,3.1,3.0,2.5,2.4,2.3,2.6,3.7,2.4,2.4,4.2,2.5,3.3,3.4,3.1
2016,28,pbi desestacionalizado,seasonally adjusted gdp,-0.8,1.1,0.3,0.0,0.6,0.4,0.2,1.3,,-0.7,0.8,0.5,-0.1,-0.1,
2016,28,indicador de demanda interna,domestic demand indicator,1.2,4.1,3.0,1.1,3.8,1.0,3.6,4.3,2.9,2.1,4.3,-0.4,-2.9,0.6,0.6
2016,28,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,-0.5,0.5,-0.7,0.0,2.5,-2.9,1.9,2.7,,-3.1,3.0,-0.2,-7.6,4.4,
