sectores_economicos;economic_sectors;1998_ago;1998_sep;1998_oct;1998_nov;1998_dic;1998_ene_dic;1999_ene;1999_feb;1999_mar;1999_abr;1999_may;1999_jun;1999_jul;1999_ago;1999_ene_ago
agropecuario;agriculture and livestock;1.1;9.5;11.6;16.8;17.8;3.6;18.6;9.2;5.9;7.1;23.1;11.7;25.6;11.2;14.1
agricola;agriculture;-3.8;8.9;12.8;27.3;28.4;2;24.4;5.9;3.2;5.5;26.6;13.3;36.7;17.6;16.3
pecuario;livestock;9.3;10.2;10.1;4.9;3.5;7;10.6;15.4;11.3;12.1;11.6;4.9;2.5;1.5;8.6
pesca;fishing;23.8;-12.8;12.2;28.2;176.6;-35.6;138.1;78.4;129.9;251.9;80.5;92.8;-26.8;-32.8;76.3
mineria e hidrocarburos;mining and fuel;5.5;8.5;11.1;7.4;10.4;4.7;16.7;11.2;15.8;14.7;12.3;18.3;8.8;6.5;12.7
mineria;mining;4.7;9;13;8.2;14;6.8;24.3;18.5;23.1;23;22.4;29.5;15.6;15.8;21.4
petroleo y gas;fuels;7.1;7.4;7.1;5.6;2.6;0.3;0.9;-4.7;-0.4;-3.3;-7.9;-5.1;-9.9;-12.7;-5.6
manufactura;manufacturing;4.6;-0.1;-6.2;-3.3;-6.7;-2.8;-1.4;0.9;6.8;9.1;6.6;7.7;-3.6;-2.1;3
procesadores recursos primarios;based on raw materials;8.5;0.3;5.5;5.2;26;-10.6;34.4;29.8;34.9;59.2;30.3;26.5;-9.4;-7.2;22.8
resto industria;non primary;3.3;-0.2;-10.5;-6.7;-17.7;0.4;-11.9;-7.1;-1.4;-6.5;-0.8;0.7;-1.1;-0.3;-3.6
construccion;construction;11.8;0.1;-13.4;-8.3;-11.4;1.3;-13.1;-15.9;-13.1;-15.1;-19.3;-21.1;-22;-17.7;-17.2
comercio;commerce;-1.6;-4.9;-9.2;-3.1;-9.2;-2.2;-9.3;-7.2;-5.3;-4.9;-0.1;1.4;-4.7;-4;-4.2
otros servicios;other services;2;1.1;0.4;0.3;0;1.6;-0.7;-0.8;0.9;1.6;3;1.6;-0.5;-1.9;0.5
pbi;gdp;3.5;1.4;-1.7;0.6;-0.6;0.3;0.9;0;2.5;3.7;6;4.8;0.1;-1.7;2.2
pbi sectores primarios;gdp primary sectors;3.7;5.8;9.2;9.8;18.7;;21.9;13.6;15.1;19.7;21;16.7;10.8;4.6;
pbi sectores no primarios;gdp non primary sectors;3.4;-1;-7.9;-4.9;-11.5;;-11;-8.8;-5.5;-7.6;-5.8;-6.5;-7.5;-5.7;
pbi desestacionalizado;seasonally adjusted gdp;1.1;0.5;-1.1;-0.9;-0.8;;-0.5;1.3;1.5;2;-2.5;2.9;-3.2;-0.8;
pbi promedio de ultimos doce meses;average gdp for the last twelve months;2.6;1.9;0.9;0.6;0.3;;0.3;0.1;-0.1;0.6;1.6;2;1.8;1.4;
pbi promedio de ultimos tres meses;average gdp for the last three months;1.8;2.4;1;0.1;-0.6;;0.3;0.1;1.2;2.2;4.1;4.8;3.7;1.2;
demanda interna promedio de ultimos tres meses;average domestic demand for the last three months;2.7;-1.5;-4.4;-6.8;-7.5;;-9.2;-10.3;-10.4;-7.7;-5.1;-3.5;-4.3;-5.9;
