sectores_economicos;economic_sectors;1998_sep;1998_oct;1998_nov;1998_dic;1998_ene_dic;1999_ene;1999_feb;1999_mar;1999_abr;1999_may;1999_jun;1999_jul;1999_ago;1999_sep;1999_ene_sep
agropecuario;agriculture and livestock;9.5;11.6;16.8;17.8;3.6;19.6;9.6;6.8;4.7;23.4;11.6;25.2;11.3;9.2;13.7
agricola;agriculture;8.9;12.8;27.3;28.4;2;26.1;6.5;4.7;2.4;26.9;13.2;36.2;18;14.6;16.2
pecuario;livestock;10.2;10.1;4.9;3.5;7;10.6;15.4;11.3;12.1;11.6;4.9;2.4;1.5;2.3;7.8
pesca;fishing;-12.8;12.2;28.2;176.6;-35.6;138.1;78.4;129.9;251.9;80.5;92.8;-26.8;-32.8;-18;66.7
mineria e hidrocarburos;mining and fuel;8.5;11.1;7.4;10.4;4.7;16.7;11.2;15.8;14.7;12.3;18.3;7.3;6.5;3;11.6
mineria;mining;9;13;8.2;14;6.8;24.3;18.5;23.1;23;22.4;29.5;15.6;15.8;10.6;20.1
petroleo y gas;fuels;7.4;7.1;5.6;2.6;0.3;0.9;-4.7;-0.4;-3.3;-7.9;-5.1;-9.9;-12.7;-13.2;-6.5
manufactura;manufacturing;-0.1;-6.2;-3.3;-6.7;-2.8;-1.4;0.9;6.8;9.1;6.6;7.7;-3.6;-2.1;6;3.3
procesadores recursos primarios;based on raw materials;0.3;5.5;5.2;26;-10.6;34.4;29.8;34.9;59.2;30.3;26.5;-9.4;-7.2;0.6;20.2
resto industria;non primary;-0.2;-10.5;-6.7;-17.7;0.4;-11.9;-7.1;-1.4;-6.5;-0.8;0.7;-1.1;-0.3;8;-2.3
construccion;construction;0.1;-13.4;-8.3;-11.4;1.3;-13.1;-15.9;-13.1;-15.1;-19.3;-21.1;-22;-17.7;-12.7;-16.7
comercio;commerce;-4.9;-9.2;-3.1;-9.2;-2.2;-9.2;-6.9;-5.2;-5.3;-0.1;1.4;-4.8;-4;3;-3.5
otros servicios;other services;1.1;0.4;0.3;0;1.6;-0.6;-0.8;1.1;1.4;3.2;1.6;-0.4;-1.9;1.6;0.6
pbi;gdp;1.4;-1.7;0.6;-0.6;0.3;1;0.1;2.7;3.2;6.1;4.8;0.1;-1.7;2.2;2.1
pbi sectores primarios;gdp primary sectors;5.8;9.2;9.8;18.7;-0.6;22;13.6;15.3;18.4;21.1;16.6;10.6;4.6;4.3;14.3
pbi sectores no primarios;gdp non primary sectors;-1;-7.9;-4.9;-11.5;0.9;-10.9;-8.7;-5.3;-7.5;-5.7;-6.5;-7.5;-5.7;0.9;-6.3
pbi desestacionalizado;seasonally adjusted gdp;0.5;-1.1;-0.9;-0.8;;-0.4;1.2;1.7;1.3;-2;2.8;-3.2;-0.7;4.2;
pbi promedio de ultimos doce meses;average gdp for the last twelve months;1.9;0.9;0.6;0.3;;0.3;0.1;0;0.6;1.6;2;1.8;1.4;1.5;
pbi promedio de ultimos tres meses;average gdp for the last three months;2.4;1;0.1;-0.6;;0.3;0.2;1.3;2.1;4.1;4.7;3.7;1.2;0.2;
demanda interna promedio de ultimos tres meses;average domestic demand for the last three months;-1.5;-4.4;-6.8;-7.5;;-9.1;-10.2;-10.1;-7.6;-5.1;-3.5;-4.3;-6;-5.9;
