sectores_economicos;economic_sectors;1998_ene;1998_feb;1998_mar;1998_abr;1998_may;1998_jun;1998_jul;1998_ago;1998_sep;1998_oct;1998_nov;1998_dic;1998_ene_dic;1999_ene;1999_feb;1999_mar;1999_abr;1999_may;1999_jun;1999_ene_jun
agropecuario;agriculture and livestock;0.4;4.1;7.8;5.1;-9.5;-0.1;-2.1;1.1;9.5;11.6;16.8;17.8;3.6;18.6;9.2;5.9;7.1;23.1;11.7;12.8
agricola;agriculture;-3.6;4;7.6;5.5;-13.5;-2;-6.1;-3.8;8.9;12.8;27.3;28.4;2;24.4;5.9;3.2;5.5;26.6;13.3;13.4
pecuario;livestock;6.3;4.1;8.3;3.9;6.7;9.4;7.5;9.3;10.2;10.1;4.9;3.5;7;10.6;15.4;11.3;12.1;11.6;4.9;11
pesca;fishing;-73.6;-44;-56.2;-81;-64.8;-39;4.7;23.8;-12.8;12.2;28.2;176.6;-35.6;138.1;78.4;129.9;251.9;80.5;92.8;122.8
mineria e hidrocarburos;mining and fuel;6.9;4;-0.3;-0.9;-3.5;-0.1;7;5.5;8.5;11.1;7.4;10.4;4.7;15.4;10.3;14.4;14;12.2;17.5;14
mineria;mining;11.6;6.4;5.3;3;-2.1;1.1;7.7;4.7;9;13;8.2;14;6.8;22.4;17.2;21;22.1;22.2;28.2;22.2
petroleo y gas;fuels;-1.8;-0.8;-10.9;-8.5;-6.1;-2.5;5.6;7.1;7.4;7.1;5.6;2.6;0.3;0.9;-4.7;-0.4;-3.3;-7.9;-5.1;-3.4
manufactura;manufacturing;-0.9;2.1;4.3;-13;-8.2;-5.6;2.3;4.6;-0.1;-6.2;-3.3;-6.7;-2.8;-0.8;1.9;6;8.8;5;6.9;4.6
procesadores recursos primarios;based on raw materials;-26.9;-13.6;-14.3;-42.9;-34.4;-17;3.6;8.5;0.3;5.5;5.2;26;-10.6;38.2;35.3;34.7;59.1;30.2;26.5;37.2
resto industria;non primary;10.5;7.5;11.4;4.2;4.9;-0.5;1.8;3.3;-0.2;-10.5;-6.7;-17.7;0.4;-12.2;-7.4;-2.5;-7;-2.9;-0.5;-5.5
construccion;construction;3.2;7.7;17.3;2;-3.2;9.1;10.2;11.8;0.1;-13.4;-8.3;-11.4;1.3;-9.7;-16.4;-12.6;-15.6;-20.5;-22;-16.1
comercio;commerce;0.8;2;4.1;-0.8;-2.2;-0.2;-1.9;-1.6;-4.9;-9.2;-3.1;-9.2;-2.2;-9.5;-6.2;-6.1;-5.9;-0.8;1.6;-4.4
otros servicios;other services;1.2;4;4.5;1.1;1;1.8;2.3;2;1.1;0.4;0.3;0;1.6;-0.6;-0.3;0.2;0.7;1.7;1.4;0.6
pbi;gdp;0.3;3.3;5;-3.5;-4.9;-0.3;2.4;3.5;1.4;-1.7;0.6;-0.6;0.3;1;0.3;1.9;3.5;4.9;4.3;2.8
pbi desestacionalizado;seasonally adjusted gdp;-2.1;2.3;-0.9;0.9;-4.8;4.1;1.3;1.1;0.5;-1.1;-0.9;-0.8;;-1.2;1.4;0.6;2.4;-3.3;3.4;
pbi promedio de ultimos doce meses;average gdp for the last twelve months;6.4;6.2;6.2;4.7;3.5;2.9;2.7;2.6;1.9;0.9;0.6;0.3;;0.3;0.1;-0.1;0.5;1.4;1.9;
pbi promedio de ultimos tres meses;average gdp for the last three months;2.5;2.1;2.8;1.3;-1.5;-2.9;-1;1.8;2.4;1;0.1;-0.6;;0.3;0.2;1.1;2;3.5;4.3;
demanda interna promedio de ultimos tres meses;average domestic demand for the last three months;4.5;5.3;7.8;4.8;0.6;-0.2;1.9;3.3;-1.5;-4.4;-7.1;-7.5;;-9.1;-10.1;-10.5;-8;-5.8;-4.1;
