sectores_economicos;economic_sectors;1997_nov;1997_dic;1997_ene_dic;1998_ene;1998_feb;1998_mar;1998_abr;1998_may;1998_jun;1998_jul;1998_ago;1998_sep;1998_oct;1998_nov;1998_ene_nov
agropecuario;agriculture and livestock;5.5;10.3;4.9;-1;3.4;6.4;4.5;-8;-0.5;-5.6;5;8.9;12.6;20.1;2.6
agricola;agriculture;-2.4;10.5;3.5;-5.2;4.1;6.5;5.4;-11.1;-2.4;-9.5;2.3;9.1;14.2;32;0.9
pecuario;livestock;16.1;10;8;5.1;2.3;6.2;2;3.8;6.7;4.6;9.8;8.7;10.5;6.8;6.1
pesca;fishing;-56;-78.2;-12.2;-77.1;-44.9;-54.5;-80.3;-63.3;-30;1.4;25.2;-19.1;13.3;23.5;-43.5
mineria;mining and fuel;6.1;4.4;5.8;6.8;4;-0.3;-0.9;-3.5;-0.1;6.2;5.1;7.7;9.4;6.2;3.7
mineria metalica;mining;11.4;8.9;10;11.5;6.3;5.2;3;-2.2;0.9;6.3;3.9;7.6;10.3;6.4;5.4
mineria no metalica;fuels;-4.1;-3.9;-1.8;-1.7;-0.7;-10.8;-8.4;-5.9;-2.3;6;7.6;8;7.6;6;0.3
manufactura;manufacturing;0;-2.8;6.6;-1.2;1.6;3.7;-14.6;-9.4;-6.5;1.5;4.6;0;-5.8;-2.3;-2.9
procesadores recursos primarios;based on raw materials;-16.8;-32.5;1.2;-27.6;-13.8;-16.3;-44.8;-34.2;-18;-0.1;8.1;-0.4;6.1;4.4;-14.4
resto industria;non primary;8.7;13.4;8.9;9.4;6.7;10.5;1.8;3.1;-1.6;2.1;3.4;0.1;-10;-4.9;1.7
construccion;construction;22.6;23.7;18.9;10.3;2.4;13.2;3;4;16;11.2;13.3;-0.1;-14;-8.9;3.8
comercio;commerce;5.9;7.6;7.3;0.2;2.1;3.7;-1.3;-2.9;0.1;0.4;1.1;-1.2;-8.4;-2;-0.8
otros servicios;other services;5.4;5.6;6.3;1.6;3.8;4;1.6;2;3;2.3;3;2.9;0.2;0.4;2.2
pbi;gdp;4.7;4.4;7.2;0.7;2.5;4.1;-3.7;-4.1;0.5;2;4.7;2.3;-1.8;1.1;0.6
pbi promedio de ultimos doce meses;average gdp for the last twelve months;7.5;7.2;;6.7;6.5;6.4;4.8;3.7;3.2;3;2.9;2.2;1.2;0.9;
pbi desestacionalizado;seasonally adjusted gdp;-2.7;1.5;;-3.6;2.1;-2.5;3.5;-4.7;4.3;0.9;2.6;1.7;-4.1;0.3;
