sectores_economicos;economic_sectors;1993_ene;1993_feb;1993_mar;1993_abr;1993_may;1993_jun;1993_jul;1993_ago;1993_sep;1993_oct;1993_nov;1993_dic;1993_year;1994_ene
agropecuario;agriculture and livestock;-1.3;0.8;-2.7;-1.5;0.8;4.1;9.5;19.1;16.5;11.3;10.6;8.1;6;10.3
agricola;agriculture;5.5;2.7;-3.2;-0.3;2.7;6.9;12.8;29.3;25.8;20.2;19.1;13.1;10.2;10.7
pecuario;livestock;-8.5;-1.6;-2.1;-4.3;-4.4;-3.9;-0.3;0.7;2.8;0.2;0.8;1.6;-1.6;9.9
pesca;fishing;67.8;-37.2;104.7;128.5;15.6;38.8;101.7;0.3;27.8;20.6;12.3;9.8;38;3.2
mineria;mining and fuel;7.2;8.5;9.6;3.4;8.8;8.2;16.4;11.5;13.1;5.9;3.8;9.3;8.8;3
mineria metalica;metals;0.6;9.3;10.8;1.8;7.3;8.1;19.8;13.6;17.2;4.1;2.2;10.7;8.7;0
petroleo crudo;fuels;17;7.5;8.1;5.7;10.7;8.4;11.8;8.8;7.9;8.4;6.3;7.5;9;6.7
manufactura;manufacturing;1.4;-2;11.5;14.1;6.5;10.2;17;15.6;14;6.2;11.8;9.1;9.5;13.5
procesadores recursos primarios;based on raw materials;26.3;-10;33.3;40.3;5.3;8.9;27.5;6.7;12;7.4;14.7;7.2;14.6;4.1
resto industria;non primary;-9.8;1;3.4;3.7;7.1;10.8;12.4;19.1;14.8;5.6;10.3;10.3;7.2;19.4
construccion;construction;-6.8;-1.6;6.3;7;10.1;22.9;18.6;27.9;19.4;11.4;28.8;25.4;14;30.7
gobierno;government;-0.6;0;1.2;0.4;-0.4;1;2.1;0.4;-5;3;-1;0;0.1;0
otros;others;0;-0.2;2.8;7.3;4.3;7.1;8.7;7.6;8.2;2.8;7.5;7.2;5.3;7.4
comercio;commerce;-0.6;-1.7;-1;8.8;2.6;4.1;11.8;3.6;10;2.5;9;6.4;4.6;7.8
resto;remaining;0.2;0.6;4.9;6.5;5.2;8.6;6.9;9.7;7.3;2.9;6.8;7.7;5.6;7.2
pbi;gdp;1.3;0.1;5.9;7.3;4.7;8;11.9;11.8;10.6;5.4;9;8.7;7.1;9.6
