sectores_económicos;economic_sectors;1997_1;1997_2;1997_3;1997_4;1997_year;1998_1;1998_2;1998_3;1998_4;1998_year;1999_1
agropecuario;agriculture and livestock;17.1;4.2;-3.9;6.4;4.9;4.3;-1.9;2.1;15.5;3.6;10.5
agrícola;agriculture;25.5;4.2;-9.5;1.7;3.5;3.3;-4;-1.7;22.9;2;9
pecuario;livestock;5.5;4.3;9;13;8;6.2;6.7;9;6.1;7;12.6
pesca;fishing;-11.7;25;7.8;-55.9;-12.1;-61.9;-66.8;3.7;55.6;-35.6;113.2
minería;mining and fuel;4.6;7.3;6.3;4.9;5.8;3.4;-1.5;7;9.6;4.7;13.4
minería metálica;metals;6.8;10.5;12.3;10.2;10;7.7;0.7;7.1;11.7;6.8;20.2
minería no metálica;fuel;0.8;1.5;-4.4;-4.8;-1.7;-4.7;-5.7;6.7;5.1;0.3;-1.3
manufactura;manufacturing;2.9;12.2;7.6;3.7;6.6;1.3;-9.1;2.3;-5.4;-2.8;2.3
procesadores recursos primarios;based on raw materials;-4.6;16.6;8.4;-13.4;3;-19;-32.6;4.1;11.7;-10.6;36.1
resto industria;non primary;5.9;10.2;7.3;11.7;8.1;9.8;2.9;1.6;-11.7;0.4;-7.4
construcción;construction;9;17.1;23.5;23.7;20.4;9.2;2.5;7;-11.1;1.3;-12.9
comercio;commerce;4.9;8.9;7.6;7.4;7.2;2.2;-1;-2.8;-7.3;-2.2;-7.3
otros servicios;other services;4.4;7.3;7.1;6.3;5.3;3.2;1.3;1.8;0.2;1.6;-0.3
pbi;gdp;5.7;9;7.2;6.6;6.9;2.8;-2.9;2.4;-0.6;0.7;1.1
pbi desestacionalizado;seasonally adjusted gdp;1.8;4.7;-1;1.2;;-1.3;-0.5;3.4;-2;;0.3
