sectores_económicos;economic_sectors;1996_1;1996_2;1996_3;1996_4;1996_year;1997_1;1997_2;1997_3;1997_4;1997_year;1998_1;1998_2;1998_3;1998_4;1998_year
agropecuario;agriculture and livestock;1.2;7.8;3.9;8.1;5.5;17.1;4.2;-3.9;6.5;4.9;4.5;-2.1;2.1;15.4;3.6
agrícola;agriculture;1.8;9;6.1;17;8.2;25.5;4.2;-9.5;1.8;3.5;3.5;-4.6;-1.5;23;2
pecuario;livestock;0.5;3.6;-0.9;-2.1;0.2;5.5;4.3;9;13;8;6.2;6.7;9;6;7
pesca;fishing;-19;1.2;-13.6;23.5;-0.7;-11.8;24.9;7.6;-55.9;-12.2;-63.5;-64.2;0.6;52.3;-35.7
minería;mining and fuel;1.4;2.7;3.2;4.2;2.9;4.6;7.3;6.3;4.9;5.8;3.5;-1.4;7.1;9.8;4.8
minería metálica;metals;4.9;7.4;5.2;4.5;5.5;6.8;10.5;12.3;10.2;10;7.7;0.7;7.1;11.7;6.8
minería no metálica;fuel;-4.4;-4.8;-0.1;3.8;-1.4;0.8;1.5;-4.4;-4.7;-1.8;-4.6;-5.5;7.2;5.5;0.6
manufactura;manufacturing;0.9;1.4;2;5.7;2.5;2.9;12.2;7.6;3.7;6.6;1.2;-10.3;2;-4.1;-3
procesadores recursos primarios;based on raw materials;-1.6;4.9;8;12.2;5.9;-4.6;16.6;8.4;-14;1.2;-20.1;-33.5;2.4;13.3;-11
resto industria;non primary;2;-0.1;0;2.9;1.2;5.9;10.2;7.3;11.9;8.9;8.9;1.1;1.9;-10.3;0.2
construcción;construction;-2.2;-12.5;-6.3;2.7;-4.5;9;17.1;23.5;25;18.9;8.6;7.5;7.7;-11.2;2.3
comercio;commerce;-0.1;4.2;2.5;4.2;2.7;4.9;8.9;7.6;7.5;7.3;2.2;-1.2;-0.2;-5.9;-1.3
otros servicios;other services;1.1;4;3.6;4;3.2;4.4;7.3;7.1;6.3;6.3;3.2;2.2;2.8;0.2;2.1
pbi;gdp;0.3;2.5;2.1;4.9;2.5;5.7;9;7.2;6.6;7.2;2.7;-2.5;3.1;-0.1;0.7
pbi desestacionalizado;seasonally adjusted gdp;1.2;1.8;0.3;1.7;;1.8;4.7;-1;1.2;;-2.1;-0.7;4.9;-2;
