sectores_económicos;economic_sectors;1997_1;1997_2;1997_3;1997_4;1997_year;1998_1;1998_2;1998_3;1998_4;1998_year;1999_1
agropecuario;agriculture and livestock;17.1;4.2;-3.9;6.5;4.9;4.5;-2.1;2.1;15.4;3.6;10.5
agrícola;agriculture;25.5;4.2;-9.5;1.8;3.5;3.5;-4.6;-1.5;23;2;9.3
pecuario;livestock;5.5;4.3;9;13;8;6.2;6.7;9;6;7;12.6
pesca;fishing;-11.7;25;7.8;-55.9;-12.1;-61.9;-66.8;3.7;55.6;-35.6;113.2
minería;mining and fuel;4.6;7.3;6.3;4.9;5.8;3.5;-1.4;7.1;9.8;4.8;13.5
minería metálica;metals;6.8;10.5;12.3;10.2;10;7.7;0.7;7.1;11.7;6.8;20.2
minería no metálica;fuel;0.8;1.5;-4.4;-4.7;-1.8;-4.6;-5.5;7.2;5.5;0.6;-1
manufactura;manufacturing;2.9;12.2;7.6;3.7;6.6;1.3;-10.3;2;-4.1;-3;2.3
procesadores recursos primarios;based on raw materials;-4.6;16.6;8.4;-14;1.2;-20.1;-33.5;2.4;13.3;-11;38.1
resto industria;non primary;5.9;10.2;7.3;11.9;8.9;8.9;1.1;1.9;-10.3;0.2;-7.2
construcción;construction;9;17.1;23.5;25;18.9;8.6;7.5;7.7;-11.2;2.3;-12.8
comercio;commerce;4.9;8.9;7.6;7.5;7.3;2.4;-1.2;-0.2;-5.8;-1.2;-7.3
otros servicios;other services;4.4;7.3;7.1;6.3;6.3;3.2;2.1;2.8;0.2;2.1;-0.3
pbi;gdp;5.7;9;7.2;6.6;7.2;2.7;-2.5;3.1;-0.1;0.7;1
pbi desestacionalizado;seasonally adjusted gdp;1.8;4.7;-1;1.2;;-2.1;-0.7;4.9;-2;;-0.8
