year;id_ns;delivered_1;delivered_2
1999;50;0;0
2000;1;1;0
2000;2;0;0
2000;3;0;0
2000;4;1;0
2000;5;0;0
2000;6;0;0
2000;7;1;1
2000;8;0;0
2000;9;0;0
2000;10;0;0
2000;11;1;0
2000;12;0;0
2000;13;0;0
2000;14;1;0
2000;15;0;0
2000;16;0;0
2000;17;0;0
2000;18;0;0
2000;19;1;1
2000;20;0;1
2000;21;0;0
2000;22;1;0
2000;23;0;0
2000;24;0;0
2000;25;0;0
2000;26;0;0
2000;27;0;0
2000;28;1;0
2000;29;0;0
2000;30;0;0
2000;31;0;0
2000;32;1;1
2000;33;0;0
2000;34;0;0
2000;35;0;0
2000;36;0;0
2000;37;0;0
2000;38;1;0
2000;39;0;0
2000;40;0;0
2000;41;0;0
2000;42;1;0
2000;43;0;0
2000;44;0;0
2000;45;0;0
2000;46;1;0
2000;47;0;0
2000;48;0;1
2000;49;1;0
2001;1;1;0
2001;2;0;0
2001;3;0;0
2001;4;0;0
2001;5;1;0
2001;6;1;0
2001;7;0;1
2001;8;1;0
2001;9;0;0
2001;10;1;0
2001;11;0;0
2001;12;0;0
2001;13;0;0
2001;14;0;0
2001;15;0;0
2001;16;1;0
2001;17;0;0
2001;18;1;0
2001;19;0;1
2001;20;0;0
2001;21;0;0
2001;22;0;0
2001;23;0;0
2001;24;0;0
2001;25;1;1
2001;26;1;1
2001;27;0;0
2001;28;0;0
2001;29;0;0
2001;30;0;0
2001;31;0;0
2001;32;1;1
2001;33;0;0
2001;34;1;0
2001;35;0;0
2001;36;0;0
2001;37;0;0
2001;38;0;0
2001;39;1;0
2001;40;0;0
2001;41;0;0
2001;42;0;0
2001;43;1;0
2001;44;0;1
2001;45;0;0
2001;46;0;0
2001;47;0;0
2001;48;1;0
2002;1;0;0
2002;2;0;0
2002;3;0;0
2002;4;0;0
2002;5;0;0
2002;6;0;0
2002;7;0;0
2002;8;0;0
2002;9;0;0
2002;10;0;0
2002;11;0;0
2002;12;0;0
2002;13;0;0
2002;14;0;0
2002;15;0;0
2002;16;0;0
2002;17;0;0
2002;18;0;0
2002;19;0;0
2002;20;0;0
2002;21;0;0
2002;22;0;0
2002;23;0;0
2002;24;0;0
2002;25;0;0
2002;26;0;0
2002;27;0;0
2002;28;0;0
2002;29;0;0
2002;30;0;0
2002;31;0;0
2002;32;0;0
2002;33;0;0
2002;34;0;0
2002;35;0;0
2002;36;0;0
2002;37;0;0
2002;38;0;0
2002;39;0;0
2002;40;0;0
2002;41;0;0
2002;42;0;0
2002;43;0;0
2002;44;0;0
2002;45;0;0
2002;46;0;0
2002;47;0;0
2002;48;0;0
2002;49;0;0
2002;50;0;0
2002;51;0;0
2003;1;0;0
2003;2;0;0
2003;3;0;0
2003;4;0;0
2003;5;0;0
2003;6;0;0
2003;7;0;0
2003;8;0;0
2003;9;0;0
2003;10;0;0
2003;11;0;0
2003;12;0;0
2003;13;0;0
2003;14;0;0
2003;15;0;0
2003;16;0;0
2003;17;0;0
2003;18;0;0
2003;19;0;0
2003;20;0;0
2003;21;0;0
2003;22;0;0
2003;23;0;0
2003;24;0;0
2003;25;0;0
2003;26;0;0
2003;27;0;0
2003;28;0;0
2003;29;0;0
2003;30;0;0
2003;31;0;0
2003;32;0;0
2003;33;0;0
2003;34;0;0
2003;35;0;0
2003;36;0;0
2003;37;0;0
2003;38;0;0
2003;39;0;0
2003;40;0;0
2003;41;0;0
2003;42;0;0
2003;43;0;0
2003;44;0;0
2003;45;0;0
2003;46;0;0
2003;47;0;0
2003;48;0;0
2003;49;0;0
2004;1;0;0
2004;2;0;0
2004;3;0;0
2004;4;0;0
2004;5;0;0
2004;6;0;0
2004;7;0;0
2004;8;0;0
2004;9;0;0
2004;10;0;0
2004;11;0;0
2004;12;0;0
2004;13;0;0
2004;14;0;0
2004;15;0;0
2004;16;0;0
2004;17;0;0
2004;18;0;0
2004;19;0;0
2004;20;0;0
2004;21;0;0
2004;22;0;0
2004;23;0;0
2004;24;0;0
2004;25;0;0
2004;26;0;0
2004;27;0;0
2004;28;0;0
2004;29;0;0
2004;30;0;0
2004;31;0;0
2004;32;0;0
2004;33;0;0
2004;34;0;0
2004;35;0;0
2004;36;0;0
2004;37;0;0
2004;38;0;0
2004;39;0;0
2004;40;0;0
2004;41;0;0
2004;42;0;0
2004;43;0;0
2004;44;0;0
2004;45;0;0
2004;46;0;0
2004;47;0;0
2004;48;0;0
2004;49;0;0
2005;1;0;0
2005;2;0;0
2005;3;0;0
2005;4;0;0
2005;5;0;0
2005;6;0;0
2005;7;0;0
2005;8;0;0
2005;9;0;0
2005;10;0;0
2005;11;0;0
2005;12;0;0
2005;13;0;0
2005;14;0;0
2005;15;0;0
2005;16;0;0
2005;17;0;0
2005;18;0;0
2005;19;0;0
2005;20;0;0
2005;21;0;0
2005;22;0;0
2005;23;0;0
2005;24;0;0
2005;25;0;0
2005;26;0;0
2005;27;0;0
2005;28;0;0
2005;29;0;0
2005;30;0;0
2005;31;0;0
2005;32;0;0
2005;33;0;0
2005;34;0;0
2005;35;0;0
2005;36;0;0
2005;37;0;0
2005;38;0;0
2005;39;0;0
2005;40;0;0
2005;41;0;0
2005;42;0;0
2005;43;0;0
2005;44;0;0
2005;45;0;0
2005;46;0;0
2005;47;0;0
2005;48;0;0
2005;49;0;0
2006;1;0;0
2006;2;0;0
2006;3;0;0
2006;4;0;0
2006;5;0;0
2006;6;0;0
2006;7;0;0
2006;8;0;0
2006;9;0;0
2006;10;0;0
2006;11;0;0
2006;12;0;0
2006;13;0;0
2006;14;0;0
2006;15;0;0
2006;16;0;0
2006;17;0;0
2006;18;0;0
2006;19;0;0
2006;20;0;0
2006;21;0;0
2006;22;0;0
2006;23;0;0
2006;24;0;0
2006;25;0;0
2006;26;0;0
2006;27;0;0
2006;28;0;0
2006;29;0;0
2006;30;0;0
2006;31;0;0
2006;32;0;0
2006;33;0;0
2006;34;0;0
2006;35;0;0
2006;36;0;0
2006;37;0;0
2006;38;0;0
2006;39;0;0
2006;40;0;0
2006;41;0;0
2006;42;0;0
2006;43;0;0
2006;44;0;0
2006;45;0;0
2006;46;0;0
2006;47;0;0
2006;48;0;0
2006;49;0;0
2007;1;0;0
2007;2;0;0
2007;3;0;0
2007;4;0;0
2007;5;0;0
2007;6;0;0
2007;7;0;0
2007;8;0;0
2007;9;0;0
2007;10;0;0
2007;11;0;0
2007;12;0;0
2007;13;0;0
2007;14;0;0
2007;15;0;0
2007;16;0;0
2007;17;0;0
2007;18;0;0
2007;19;0;0
2007;20;0;0
2007;21;0;0
2007;22;0;0
2007;23;0;0
2007;24;0;0
2007;25;0;0
2007;26;0;0
2007;27;0;0
2007;28;0;0
2007;29;0;0
2007;30;0;0
2007;31;0;0
2007;32;0;0
2007;33;0;0
2007;34;0;0
2007;35;0;0
2007;36;0;0
2007;37;0;0
2007;38;0;0
2007;39;0;0
2007;40;0;0
2007;41;0;0
2007;42;0;0
2007;43;0;0
2007;44;0;0
2007;45;0;0
2007;46;0;0
2007;47;0;0
2007;48;0;0
2007;49;0;0
2008;1;0;0
2008;2;0;0
2008;3;0;0
2008;4;0;0
2008;5;0;0
2008;6;0;0
2008;7;0;0
2008;8;0;0
2008;9;0;0
2008;10;0;0
2008;11;0;0
2008;12;0;0
2008;13;0;0
2008;14;0;0
2008;15;0;0
2008;16;0;0
2008;17;0;0
2008;18;0;0
2008;19;0;0
2008;20;0;0
2008;21;0;0
2008;22;0;0
2008;23;0;0
2008;24;0;0
2008;25;0;0
2008;26;0;0
2008;27;0;0
2008;28;0;0
2008;29;0;0
2008;30;0;0
2008;31;0;0
2008;32;0;0
2008;33;0;0
2008;34;0;0
2008;35;0;0
2008;36;0;0
2008;37;0;0
2008;38;0;0
2008;39;0;0
2008;40;0;0
2008;41;0;0
2008;42;0;0
2008;43;0;0
2008;44;0;0
2008;45;0;0
2008;46;0;0
2008;47;0;0
2008;48;0;0
2008;49;0;0
2008;50;0;0
2009;1;0;0
2009;2;0;0
2009;3;0;0
2009;4;0;0
2009;5;0;0
2009;6;0;0
2009;7;0;0
2009;8;0;0
2009;9;0;0
2009;10;0;0
2009;11;0;0
2009;12;0;0
2009;13;0;0
2009;14;0;0
2009;15;0;0
2009;16;0;0
2009;17;0;0
2009;18;0;0
2009;19;0;0
2009;20;0;0
2009;21;0;0
2009;22;0;0
2009;23;0;0
2009;24;0;0
2009;25;0;0
2009;26;0;0
2009;27;0;0
2009;28;0;0
2009;29;0;0
2009;30;0;0
2009;31;0;0
2009;32;0;0
2009;33;0;0
2009;34;0;0
2009;35;0;0
2009;36;0;0
2009;37;0;0
2009;38;0;0
2009;39;0;0
2009;40;0;0
2009;41;0;0
2009;42;0;0
2009;43;0;0
2009;44;0;0
2009;45;0;0
2009;46;0;0
2009;47;0;0
2009;48;0;0
2009;49;0;0
2010;1;0;0
2010;2;0;0
2010;3;1;0
2010;4;1;1
2010;5;0;0
2010;6;0;0
2010;7;1;0
2010;8;1;1
2010;9;0;0
2010;10;0;0
2010;11;1;0
2010;12;0;0
2010;13;0;0
2010;14;0;0
2010;15;1;0
2010;16;0;0
2010;17;0;0
2010;18;0;0
2010;19;1;0
2010;20;0;1
2010;21;0;0
2010;22;0;0
2010;23;1;0
2010;24;0;0
2010;25;0;0
2010;26;0;0
2010;27;0;0
2010;28;1;0
2010;29;0;0
2010;30;0;0
2010;31;1;0
2010;32;0;1
2010;33;0;0
2010;34;0;0
2010;35;0;0
2010;36;1;0
2010;37;0;0
2010;38;0;0
2010;39;0;0
2010;40;1;0
2010;41;0;0
2010;42;0;0
2010;43;0;0
2010;44;1;0
2010;45;0;1
2010;46;0;0
2010;47;0;0
2010;48;1;0
2010;49;0;0
2011;1;0;0
2011;2;0;0
2011;3;1;0
2011;4;0;0
2011;5;0;0
2011;6;0;0
2011;7;1;0
2011;8;1;1
2011;9;0;0
2011;10;0;0
2011;11;1;1
2011;12;0;0
2011;13;0;0
2011;14;0;0
2011;15;0;0
2011;16;1;0
2011;17;0;0
2011;18;0;0
2011;19;1;0
2011;20;0;1
2011;21;0;0
2011;22;0;0
2011;23;1;1
2011;24;1;0
2011;25;0;0
2011;26;0;0
2011;27;0;0
2011;28;1;0
2011;29;0;0
2011;30;0;0
2011;31;1;0
2011;32;0;1
2011;33;0;0
2011;34;0;0
2011;35;0;0
2011;36;1;0
2011;37;0;0
2011;38;0;0
2011;39;0;0
2011;40;1;0
2011;41;0;0
2011;42;0;0
2011;43;0;0
2011;44;1;0
2011;45;0;1
2011;46;0;0
2011;47;0;0
2011;48;0;0
2011;49;1;0
2012;1;0;0
2012;2;0;0
2012;3;1;0
2012;4;0;0
2012;5;0;0
2012;6;0;0
2012;7;0;0
2012;8;1;1
2012;9;0;1
2012;10;0;0
2012;11;0;0
2012;12;1;0
2012;13;0;0
2012;14;0;0
2012;15;1;0
2012;16;0;0
2012;17;0;0
2012;18;0;0
2012;19;1;0
2012;20;0;1
2012;21;0;1
2012;22;0;0
2012;23;0;0
2012;24;1;0
2012;25;1;0
2012;26;0;0
2012;27;0;0
2012;28;1;0
2012;29;0;0
2012;30;0;0
2012;31;1;0
2012;32;0;1
2012;33;0;0
2012;34;0;0
2012;35;0;0
2012;36;1;0
2012;37;0;0
2012;38;0;0
2012;39;0;0
2012;40;1;0
2012;41;0;0
2012;42;0;0
2012;43;0;0
2012;44;0;0
2012;45;1;1
2012;46;0;0
2012;47;0;0
2012;48;0;0
2012;49;1;0
