year,wr,sectores_economicos,economic_sectors,2021_oct,2021_nov,2021_dic,2021_year,2022_ene,2022_feb,2022_mar,2022_abr,2022_may,2022_jun,2022_jul,2022_ago,2022_sep,2022_oct,2022_ene_oct
2022,44,agropecuario,agriculture and livestock,6.4,3.2,10.0,4.6,5.3,2.6,4.2,7.7,9.1,-0.3,0.8,4.5,2.5,5.2,4.2
2022,44,agricola,agriculture,8.5,3.0,15.3,6.2,6.4,1.8,5.6,10.1,12.0,-1.1,0.5,6.8,3.2,7.8,5.4
2022,44,pecuario,livestock,3.4,3.4,2.8,2.0,3.7,3.7,2.1,2.5,2.1,1.6,1.3,1.3,1.5,1.3,2.1
2022,44,pesca,fishing,-25.3,18.3,-10.0,9.9,-34.1,-31.2,-34.0,-40.4,-19.1,15.1,29.0,-14.7,-9.3,1.8,-15.6
2022,44,mineria e hidrocarburos,mining and fuel,1.5,-5.2,-5.4,8.1,4.5,0.0,-1.0,-0.6,-6.0,3.1,-5.7,-4.9,-2.1,1.7,-1.2
2022,44,mineria metalica,metals,0.6,-5.7,-6.4,10.5,3.5,-2.1,-2.9,-4.6,-9.9,1.3,-6.0,-4.2,0.1,3.5,-2.1
2022,44,hidrocarburos,fuel,7.2,-1.9,0.6,-4.6,9.8,13.1,12.3,26.2,20.3,14.2,-3.4,-10.4,-15.0,-9.2,5.0
2022,44,manufactura,manufacturing,0.5,5.0,2.6,18.6,-1.6,2.7,4.2,3.2,1.7,5.9,2.4,-0.2,-0.9,-0.6,1.7
2022,44,procesadores recursos primarios,based on raw materials,-14.4,-6.6,-11.8,3.2,-6.5,-7.2,-15.2,-9.7,-11.4,5.8,12.1,-2.4,-1.4,2.0,-3.6
2022,44,manufactura no primaria,nonprimary,5.4,9.7,10.1,25.2,0.3,6.0,10.7,7.7,8.7,5.9,-0.7,0.4,-0.8,-1.3,3.5
2022,44,electricidad y agua,electricity and water,3.3,3.1,2.5,8.5,3.3,4.3,2.8,2.8,2.0,3.1,5.0,3.4,4.6,4.2,3.5
2022,44,construccion,construction,-2.0,-5.6,-8.9,34.5,-0.6,-2.5,1.4,4.9,0.2,5.1,1.0,4.7,3.1,4.2,2.3
2022,44,comercio,commerce,5.1,3.8,2.7,17.8,2.3,7.5,8.1,2.6,2.8,2.5,2.8,2.3,2.1,2.8,3.4
2022,44,otros servicios,other services,8.2,7.2,4.7,10.4,4.1,8.0,4.6,5.2,5.0,2.7,2.7,2.1,2.2,2.2,3.8
2022,44,derechos de importacion y otros impuestos,import duties and other taxes,8.8,5.7,5.7,19.2,5.7,4.8,4.8,5.2,1.8,7.3,3.0,7.7,5.7,0.4,4.6
2022,44,pbi,gdp,5.0,3.7,1.9,13.6,2.9,4.8,3.8,4.0,2.5,3.5,1.6,1.7,1.7,2.0,2.8
2022,44,sectores primarios,primary sectors,-0.1,-2.7,-3.5,6.4,1.6,-1.1,-2.4,0.1,-2.8,2.7,-0.8,-2.3,-0.8,2.6,-0.3
2022,44,sectores no primarios,non primary sectors,6.4,5.6,3.4,15.7,3.2,6.4,5.4,5.1,4.3,3.8,2.2,2.7,2.3,1.9,3.7
2022,44,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2022,44,variacion porcentual mensual,monthly percent change,-0.9,0.1,0.5,,-0.1,-0.7,-1.0,0.0,1.3,1.6,-1.7,1.8,0.8,-0.5,
2022,44,variacion porcentual promedio movil  meses,threemonth moving average percent change,0.5,0.0,-0.1,,0.2,-0.1,-0.6,-0.5,0.1,1.0,0.4,0.5,0.3,0.7,
2022,44,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2022,44,demanda interna sin inventarios,domestic demand without inventories,2.6,3.7,-0.9,17.0,5.0,7.1,3.8,5.2,2.4,1.5,1.3,2.3,1.6,0.4,3.0
2022,44,demanda interna,domestic demand,9.3,1.7,0.7,14.7,2.7,1.7,2.1,4.3,1.1,-0.2,3.2,3.9,1.8,1.7,2.2
