year,wr,sectores_economicos,economic_sectors,2021_ene,2021_feb,2021_mar,2021_abr,2021_may,2021_jun,2021_jul,2021_ago,2021_sep,2021_oct,2021_nov,2021_dic,2021_year,2022_ene
2022,12,agropecuario,agriculture and livestock,1.4,-0.7,-1.4,-4.4,-4.8,11.9,11.8,7.5,12.0,5.2,2.5,9.2,3.8,5.0
2022,12,agricola,agriculture,2.6,-0.3,-2.1,-6.6,-7.5,16.1,17.4,10.5,18.6,6.4,1.9,13.9,5.0,6.2
2022,12,pecuario,livestock,-0.1,-1.2,-0.4,0.3,2.2,2.4,3.1,3.7,3.4,3.5,3.3,2.8,1.9,3.3
2022,12,pesca,fishing,70.6,6.8,35.7,141.1,97.6,-37.7,-41.4,-29.9,-39.2,-33.1,13.0,-12.6,2.8,-30.3
2022,12,mineria e hidrocarburos,mining and fuel,-8.4,-4.4,15.5,58.0,67.1,7.9,-0.9,3.2,11.0,1.5,-5.2,-6.1,7.4,4.5
2022,12,mineria metalica,metals,-7.1,-1.0,20.6,76.7,82.7,7.2,1.4,5.2,12.2,0.5,-5.8,-7.1,9.7,3.6
2022,12,hidrocarburos,fuel,-15.6,-20.8,-10.1,-8.1,6.7,11.9,-13.6,-8.4,4.0,7.2,-1.9,0.6,-4.6,9.8
2022,12,manufactura,manufacturing,7.4,0.1,51.2,115.6,84.0,18.5,7.2,11.2,6.7,-1.4,4.0,1.4,17.8,-1.6
2022,12,procesadores recursos primarios,based on raw materials,26.2,-4.8,23.7,32.3,54.1,-11.2,-13.5,0.2,-11.3,-17.7,-8.8,-13.3,1.9,-6.8
2022,12,manufactura no primaria,nonprimary,1.6,1.9,63.0,175.2,105.2,38.7,16.1,14.8,12.4,4.0,9.1,9.1,24.6,0.5
2022,12,electricidad y agua,electricity and water,-0.1,-4.6,14.0,34.0,28.5,15.1,6.9,6.0,5.9,3.3,3.1,2.5,8.6,3.0
2022,12,construccion,construction,16.3,14.9,134.2,990.0,258.1,90.3,36.5,25.2,13.0,-2.0,-5.6,-8.9,34.9,-0.6
2022,12,comercio,commerce,-0.2,-5.7,12.5,158.3,104.1,38.1,13.3,9.9,7.4,5.1,3.8,2.7,17.8,2.3
2022,12,otros servicios,other services,-3.0,-7.1,8.4,32.9,25.9,21.4,15.3,12.8,10.2,8.2,7.4,5.0,10.4,4.0
2022,12,derechos de importacion y otros impuestos,import duties and other taxes,-4.8,-1.1,34.5,70.8,63.2,42.0,21.9,19.0,13.2,7.8,5.7,5.0,19.2,5.6
2022,12,pbi,gdp,-0.8,-3.6,20.1,59.1,48.4,23.6,12.9,11.7,9.8,4.5,3.5,1.7,13.3,2.9
2022,12,sectores primarios,primary sectors,-0.2,-3.4,11.9,28.6,35.2,3.7,-0.6,3.4,7.3,-1.0,-3.5,-4.5,5.5,1.7
2022,12,sectores no primarios,non primary sectors,-1.0,-3.7,22.4,70.5,53.3,31.5,17.1,14.0,10.5,6.1,5.6,3.5,15.6,3.2
2022,12,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,
2022,12,variacion porcentual mensual,monthly percent change,-1.1,-2.6,0.1,-0.6,3.0,0.7,-0.5,1.8,1.0,-1.1,0.3,0.9,,0.0
2022,12,variacion porcentual promedio movil  meses,month moving average percent change,0.9,-0.3,-1.2,-1.1,0.8,1.0,1.0,0.7,0.8,0.6,0.0,0.0,,0.4
2022,12,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,
2022,12,demanda interna sin inventarios,domestic demand without inventories,1.4,0.0,29.8,68.4,55.5,31.1,19.6,15.5,11.3,3.5,3.8,-1.0,16.6,5.6
2022,12,demanda interna,domestic demand,-1.5,-1.2,23.4,51.6,44.6,28.2,17.2,12.6,12.4,8.9,1.4,0.6,14.4,3.7
