year,wr,sectores_economicos,economic_sectors,2021_jul,2021_ago,2021_sep,2021_oct,2021_nov,2021_dic,2021_year,2022_ene,2022_feb,2022_mar,2022_abr,2022_may,2022_jun,2022_jul,2022_ene_jul
2022,33,agropecuario,agriculture and livestock,12.6,8.1,13.2,6.5,3.0,9.8,4.5,5.0,2.7,3.8,7.2,8.9,-1.6,-1.5,3.5
2022,33,agricola,agriculture,18.6,11.2,20.5,8.6,2.8,15.0,6.1,6.1,2.2,5.1,9.6,11.8,-2.9,-3.0,4.2
2022,33,pecuario,livestock,3.5,4.0,3.6,3.4,3.4,2.8,2.0,3.6,3.5,2.1,2.4,1.9,1.5,1.2,2.3
2022,33,pesca,fishing,-34.9,-19.9,-26.3,-25.3,18.3,-9.9,9.9,-34.1,-31.2,-34.0,-40.4,-19.1,15.1,29.0,-17.1
2022,33,mineria e hidrocarburos,mining and fuel,3.4,5.4,11.0,1.5,-5.2,-5.4,8.1,4.4,0.1,-1.0,-0.7,-6.1,3.0,-5.8,-1.0
2022,33,mineria metalica,metals,6.5,7.7,12.2,0.5,-5.8,-6.4,10.5,3.4,-2.0,-3.0,-4.7,-10.1,1.1,-6.2,-3.2
2022,33,hidrocarburos,fuel,-13.6,-8.4,4.0,7.2,-1.9,0.6,-4.6,9.8,13.1,12.3,26.2,20.3,14.2,-3.4,13.0
2022,33,manufactura,manufacturing,7.7,11.9,8.4,0.5,5.0,2.6,18.6,-1.2,2.7,4.2,3.3,1.5,5.7,1.6,2.5
2022,33,procesadores recursos primarios,based on raw materials,-13.4,0.6,-6.7,-14.4,-6.6,-11.8,3.2,-6.5,-7.2,-15.3,-9.7,-11.4,5.7,12.1,-4.6
2022,33,manufactura no primaria,nonprimary,16.8,15.4,13.2,5.4,9.7,10.1,25.2,0.8,6.0,10.6,7.8,8.3,5.6,-1.8,5.3
2022,33,electricidad y agua,electricity and water,6.9,6.0,5.9,3.3,3.1,2.5,8.5,3.3,4.3,2.8,2.8,2.0,3.1,4.9,3.3
2022,33,construccion,construction,36.5,25.2,13.0,-2.0,-5.6,-8.9,34.5,-0.6,-2.5,1.4,4.9,0.2,6.0,2.1,1.7
2022,33,comercio,commerce,13.3,9.9,7.4,5.1,3.8,2.7,17.8,2.3,7.5,8.1,2.6,2.8,2.5,2.9,4.0
2022,33,otros servicios,other services,15.1,12.7,10.2,8.3,7.2,4.7,10.4,4.1,8.0,4.6,5.3,5.0,2.8,2.7,4.6
2022,33,derechos de importacion y otros impuestos,import duties and other taxes,21.9,19.1,14.3,8.8,5.7,5.7,19.2,5.8,4.8,4.7,5.2,1.7,7.2,2.9,4.6
2022,33,pbi,gdp,13.6,12.1,10.2,5.0,3.7,1.9,13.6,2.9,4.8,3.7,4.0,2.5,3.4,1.4,3.2
2022,33,sectores primarios,primary sectors,2.2,5.1,8.4,-0.1,-2.8,-3.5,6.3,1.5,-1.1,-2.5,-0.1,-2.9,2.2,-1.5,-0.6
2022,33,sectores no primarios,non primary sectors,17.0,14.1,10.7,6.4,5.6,3.4,15.7,3.3,6.4,5.4,5.1,4.2,3.8,2.2,4.3
2022,33,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2022,33,variacion porcentual mensual,monthly percent change,0.1,1.6,0.9,-0.9,0.0,0.5,,-0.1,-0.7,-1.0,0.0,1.3,1.6,-1.9,
2022,33,variacion porcentual promedio movil  meses,threemonth moving average percent change,1.2,0.8,0.9,0.6,0.0,-0.1,,0.1,-0.1,-0.6,-0.6,0.1,1.0,0.3,
2022,33,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2022,33,demanda interna sin inventarios,domestic demand without inventories,19.6,15.5,11.2,3.5,3.9,-0.7,16.6,5.1,7.1,3.8,5.2,2.4,1.6,1.4,3.7
2022,33,demanda interna,domestic demand,18.0,13.1,12.9,9.4,1.7,0.7,14.7,3.2,1.5,1.4,4.6,1.4,0.2,3.6,2.2
