year,wr,sectores_economicos,economic_sectors,2021_may,2021_jun,2021_jul,2021_ago,2021_sep,2021_oct,2021_nov,2021_dic,2021_year,2022_ene,2022_feb,2022_mar,2022_abr,2022_may,2022_ene_may
2022,26,agropecuario,agriculture and livestock,-4.5,12.4,12.5,8.0,12.5,5.5,2.8,9.6,4.2,5.1,3.0,2.9,4.8,7.4,4.9
2022,26,agricola,agriculture,-7.1,16.7,18.4,11.1,19.3,6.9,2.4,14.6,5.6,6.5,2.7,3.7,5.9,9.8,6.3
2022,26,pecuario,livestock,2.4,2.7,3.5,4.0,3.6,3.4,3.4,2.8,2.0,3.2,3.4,1.8,1.9,1.7,2.4
2022,26,pesca,fishing,97.6,-37.7,-41.4,-29.9,-39.2,-33.1,13.0,-12.6,2.8,-30.3,-21.1,-25.1,-37.5,-16.6,-24.5
2022,26,mineria e hidrocarburos,mining and fuel,67.1,7.9,-0.9,3.2,11.0,1.5,-5.2,-5.4,7.5,4.4,0.1,-1.2,-0.8,-6.6,-0.9
2022,26,mineria metalica,metals,82.7,7.2,1.4,5.2,12.2,0.5,-5.8,-6.4,9.8,3.4,-2.0,-3.2,-4.7,-10.7,-3.6
2022,26,hidrocarburos,fuel,6.7,11.9,-13.6,-8.4,4.0,7.2,-1.9,0.6,-4.6,9.8,13.1,12.3,26.2,20.3,16.1
2022,26,manufactura,manufacturing,83.5,20.0,7.7,11.9,8.4,0.5,5.1,2.6,18.6,-1.4,2.7,4.7,2.7,1.2,1.9
2022,26,procesadores recursos primarios,based on raw materials,52.4,-8.1,-13.4,0.6,-6.7,-14.4,-6.6,-11.8,3.2,-6.5,-7.1,-11.9,-11.3,-11.7,-9.8
2022,26,manufactura no primaria,nonprimary,105.5,39.3,16.8,15.4,13.2,5.5,9.7,10.2,25.2,0.5,6.0,10.1,7.5,8.1,6.5
2022,26,electricidad y agua,electricity and water,28.5,15.1,6.9,6.0,5.9,3.3,3.1,2.5,8.5,3.2,4.4,2.7,2.8,2.0,3.0
2022,26,construccion,construction,258.1,90.3,36.5,25.2,13.0,-2.0,-5.6,-8.9,34.5,-0.6,-2.5,1.4,4.9,0.2,0.7
2022,26,comercio,commerce,104.1,38.1,13.3,9.9,7.4,5.1,3.8,2.7,17.8,2.3,7.5,8.1,2.6,2.8,4.6
2022,26,otros servicios,other services,26.5,21.4,15.1,12.7,10.2,8.1,7.2,4.7,10.4,4.1,7.9,4.5,5.3,5.0,5.3
2022,26,derechos de importacion y otros impuestos,import duties and other taxes,62.9,43.4,21.8,19.1,14.3,8.8,5.7,5.7,19.5,5.6,4.8,5.1,4.7,1.7,4.3
2022,26,pbi,gdp,48.4,23.9,13.0,11.8,10.2,4.9,3.7,1.9,13.5,2.9,4.9,3.8,3.7,2.3,3.5
2022,26,sectores primarios,primary sectors,34.2,4.4,-0.3,3.6,8.0,-0.5,-3.0,-3.7,5.8,1.7,-0.7,-2.1,-1.1,-3.6,-1.3
2022,26,sectores no primarios,non primary sectors,53.6,31.6,17.0,14.1,10.7,6.3,5.6,3.4,15.7,3.2,6.3,5.3,5.0,4.2,4.8
2022,26,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2022,26,variacion porcentual mensual,monthly percent change,2.8,0.9,-0.6,1.9,1.1,-0.9,0.1,0.5,,-0.1,-0.6,-1.0,-0.3,1.3,
2022,26,variacion porcentual promedio movil  meses,threemonth moving average percent change,0.8,1.2,1.0,0.7,0.8,0.7,0.1,-0.1,,0.2,-0.1,-0.6,-0.6,0.0,
2022,26,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2022,26,demanda interna sin inventarios,domestic demand without inventories,55.5,31.1,19.6,15.5,11.2,3.5,3.9,-0.7,16.6,5.2,7.1,3.9,6.0,2.7,4.9
2022,26,demanda interna,domestic demand,44.6,28.7,17.4,12.8,12.8,9.2,1.6,0.7,14.6,3.0,1.5,1.7,4.7,2.0,2.6
