target_period,agriculture_2017_11,fishing_2017_11,mining_2017_11,manufacturing_2017_11,electricity_2017_11,construction_2017_11,commerce_2017_11,services_2017_11,gdp_2017_11
2015q1,1.2,-9.2,4.4,-5.2,4.5,-6.8,3.6,4.3,1.9
2015q2,4.1,36.6,7.6,0.1,5.1,-8.6,3.8,4.0,3.2
2015q3,4.7,-21.6,10.3,-2.0,6.0,-6.8,4.1,4.2,3.3
2015q4,3.5,43.8,15.1,1.2,8.1,-2.1,3.9,4.1,4.6
2015,3.5,15.9,9.5,-1.5,5.9,-5.8,3.9,4.1,3.3
2016q1,2.6,1.8,15.7,-2.6,10.3,2.1,2.8,4.6,4.6
2016q2,1.7,-59.6,23.6,-8.0,7.2,0.9,2.3,4.3,3.9
2016q3,2.4,68.3,16.0,2.2,6.6,-3.6,1.4,4.2,4.7
2016q4,4.2,27.6,10.7,2.9,5.3,-9.2,0.9,3.0,3.1
2016,2.6,-10.1,16.3,-1.4,7.3,-3.1,1.8,4.0,4.0
2017q1,-0.4,37.9,4.1,2.0,1.1,-5.3,0.1,3.1,2.2
2017q2,0.0,128.8,1.8,3.8,1.7,-3.0,0.9,2.8,2.4
2017q3,5.5,-42.8,4.2,-3.0,1.7,5.6,1.4,3.4,2.5
