target_period,agriculture_2017_2,fishing_2017_2,mining_2017_2,manufacturing_2017_2,electricity_2017_2,construction_2017_2,commerce_2017_2,services_2017_2,gdp_2017_2
2014q1,1.1,-4.8,4.8,3.5,5.7,5.1,5.2,5.9,5.0
2014q2,0.9,-8.9,-4.3,-3.3,4.9,0.1,4.4,5.0,1.9
2014q3,2.8,-15.2,-3.0,-3.7,4.5,0.1,4.0,4.5,1.8
2014q4,3.0,-60.8,-0.4,-9.9,4.5,2.7,4.2,4.8,1.2
2014,1.9,-27.9,-0.9,-3.6,4.9,1.9,4.4,5.0,2.4
2015q1,1.5,-9.2,4.4,-5.2,4.5,-6.8,3.6,4.1,1.9
2015q2,4.2,36.6,7.6,0.1,5.1,-8.6,3.8,4.0,3.2
2015q3,4.7,-21.6,10.3,-2.0,6.0,-6.8,4.1,4.4,3.3
2015q4,2.9,43.8,15.1,1.2,8.1,-2.1,3.9,4.4,4.7
2015,3.4,15.9,9.5,-1.5,5.9,-5.8,3.9,4.2,3.3
2016q1,1.8,1.8,15.8,-2.6,10.3,2.1,2.8,4.5,4.5
2016q2,0.9,-59.6,23.6,-8.2,7.2,0.9,2.3,4.2,3.7
2016q3,0.9,68.3,15.8,2.0,6.7,-3.6,1.4,3.9,4.4
