SECTORES ECONÓMICOS;2007;;;;;2008;;;;;2009;;;;;ECONOMIC SECTORS
;I;II;III;IV;AÑO;I;II;III;IV;AÑO;I;II;III;IV;AÑO;
;;;;;;;;;;;;;;;;
Agropecuario;8.193506416;2.284101494;-1.448867011;5.012741027;3.248817155;4.048808877;8.013706611;9.434138024;7.10408736;7.246667762;4.429367133;1.143813637;2.30932233;1.907131825;2.29442892;Agriculture and Livestock
  Agrícola;5.967716367;1.132601373;-4.542544163;7.099641476;1.976145502;4.633263727;8.364017576;10.41574376;5.137462593;7.359216634;3.553277809;-0.211657098;0.440828012;0.782991998;0.906907626;  Agriculture
  Pecuario;10.72572697;5.139037185;2.765906141;2.909444829;5.27291312;1.976657842;6.266482849;7.251445521;8.517343642;6.015017884;5.57348479;4.230426229;4.705894361;3.188107583;4.404016489;  Livestock
;;;;;;;;;;;;;;;;
Pesca;13.67712356;8.775447544;-3.748566401;6.023655797;6.864074163;3.87065036;1.920163372;21.12349321;4.550143974;6.309650901;-14.23795401;1.390173094;-6.072368926;-14.61974217;-7.900522026;Fishing
;;;;;;;;;;;;;;;;
Minería e Hidrocarburos;-0.999062211;-1.363112271;5.238567768;7.815090767;2.712669687;6.111596468;9.916995028;7.701350223;6.877406647;7.638185114;3.706296166;0.533098767;0.105810417;-1.582703632;0.601765922;Mining and fuel
  Minería metálica;-2.655105219;-2.891932254;5.487734419;6.895739904;1.730431885;6.696864092;10.62198105;7.235508207;4.864354413;7.284922073;0.867342541;-1.033691986;-2.027801891;-3.229518461;-1.413992054;  Metals
  Hidrocarburos;10.60443043;5.795877982;0.632804129;9.730387644;6.465959808;2.004173967;4.917874634;9.949940032;22.79951118;10.27969953;30.36294844;16.72368159;18.42922653;3.366432835;16.1374716;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;10.00237168;11.42483492;10.56989381;12.12904864;11.06030591;10.79859959;11.35351156;10.48184652;4.033241028;9.058483633;-4.203156627;-11.5648928;-10.32764827;-2.334062623;-7.151212642;Manufacturing
  De procesamiento de recursos primarios;-2.453285243;1.237832363;-6.267992417;-3.778026648;-2.681849566;12.49075378;5.406127985;3.370316956;9.390658188;7.612445659;3.914321828;2.164164139;0.696016588;-6.273416533;0.034927416;  Based on raw materials 2/
  No primaria;12.16457481;15.53939632;13.94561445;14.31478008;14.00513734;10.24347077;12.32532361;11.08252969;2.264272639;8.859329052;-5.670936315;-14.35406735;-12.0681673;-1.568252188;-8.514451344;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;8.129934425;9.737285703;8.146010382;7.921551771;8.472306866;9.267650198;8.404751462;8.768105625;4.605118417;7.72042599;1.21127128;0.307586416;-0.257726823;3.420314773;1.174758957;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;8.986229352;20.1307334;17.83417937;19.14681214;16.62020497;19.23837376;21.22070732;15.96515664;10.74956818;16.45705256;5.139937412;-1.062717134;4.895165855;14.79938788;6.143583284;Construction
;;;;;;;;;;;;;;;;
Comercio;11.63142729;6.456460901;11.4941799;9.649483655;9.66779199;12.00846652;15.71583099;15.16508493;8.921223429;12.99534964;0.397772979;-2.120618153;-1.766998048;2.173207452;-0.400167855;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;8.467205816;9.058795348;9.106385742;9.173038671;8.964864438;10.2156226;10.73547937;9.764795512;6.071457696;9.107733512;3.651762121;1.734509812;1.771659438;5.188822732;3.101776509;Other services 2/
;;;;;;;;;;;;;;;;
PBI;8.582226261;8.176413115;8.990334654;9.840063122;8.90529015;10.29208948;11.69831267;10.88759246;6.499821277;9.803707129;1.900713323;-1.198364301;-0.5882456;3.444036939;0.86157177;GDP
;;;;;;;;;;;;;;;;
PBI de los sectores primarios;3.099519451;1.258925032;0.04577143;4.341967482;2.120056239;6.186292377;7.920715529;8.053433231;7.351618275;7.414540443;3.504378176;1.140274107;1.04076583;-1.41362284;1.035616744;Primary sectors gross domestic product
PBI de los sectores no primarios;9.773096871;9.979750488;10.92145498;10.933015;10.41808404;11.12967231;12.60501511;11.43948893;6.34055528;10.29635003;1.588118116;-1.736335848;-0.895824803;4.360940635;0.826621608;Non- primary sectors gross domestic product
