SECTORES ECONÓMICOS;2007;;;;;2008;;;;;2009;;;ECONOMIC SECTORS
;I;II;III;IV;TOTAL;I;II;III;IV;TOTAL;I;II;III;
;;;;;;;;;;;;;;
Agropecuario;8.354957256;2.284101494;-1.448867011;5.012741027;3.283438973;3.893475841;8.013706611;9.434138024;7.10408736;7.210650283;4.140600429;1.348842262;2.469252877;Agriculture and Livestock
  Agrícola;5.967716367;1.132601373;-4.542544163;7.099641476;1.976145502;4.633263727;8.37903945;10.43667636;5.135850235;7.368974133;2.883966742;0.350115368;1.037047925;  Agriculture
  Pecuario;10.72572697;5.139037185;2.765906141;2.909444829;5.27291312;2.945428669;7.205260893;8.177815384;9.456773529;6.95827139;5.77107241;3.590255218;4.292209419;  Livestock
;;;;;;;;;;;;;;
Pesca;14.49614142;9.430250169;-5.308493851;5.628280175;6.870039683;6.566013316;4.367043048;14.97827389;2.520467501;6.192465383;-15.69585673;-0.642292795;-6.038907036;Fishing
;;;;;;;;;;;;;;
Minería e Hidrocarburos;-0.999071169;-1.36310387;5.238654452;7.815027662;2.712675236;6.219059728;10.03406083;7.497659118;6.648478102;7.57836306;3.650044858;0.71104005;0.137196193;Mining and fuel
  Minería metálica;-2.655105219;-2.891932254;5.487734419;6.687416385;1.677537339;6.696864092;10.62198105;7.225220274;4.841649766;7.277484849;0.867342541;-1.033691986;-1.986258853;  Metals
  Hidrocarburos;10.60443043;5.795877982;0.632804129;9.730387644;6.465959808;2.004173967;4.917874634;9.949940032;22.79951118;10.27969953;30.3629465;16.72368159;18.41315129;  Fuel
;;;;;;;;;;;;;;
Manufactura;9.73080943;11.16723988;10.31029053;11.88446787;10.80232661;10.59614442;11.10574516;10.01186034;3.37645877;8.657250968;-4.446934061;-11.69715776;-10.78229814;Manufacturing
  De procesamiento de recursos primarios;0.885239833;4.57136772;-2.877091718;-0.469065398;0.662712521;12.4907538;5.406128032;3.370342504;9.390662235;7.612452479;3.657499066;3.178789186;0.205695433;  Based on raw materials 2/
  No primaria;11.23061031;14.45256537;12.97655681;13.31727365;13.00865268;10.24347076;12.3253236;11.08253398;2.264275444;8.859330871;-5.889296122;-14.69854073;-12.50032601;  Non-primary
;;;;;;;;;;;;;;
Electricidad y agua;8.129883263;9.737345238;8.146007409;7.921606996;8.472322501;9.267672199;8.404658642;8.768121716;4.605021472;7.720386769;1.204654005;0.302961735;-0.267289324;Electricity and water 
;;;;;;;;;;;;;;
Construcción;8.986229352;20.13073376;17.83417937;19.14682577;16.6202088;19.23837376;21.22072818;15.96515664;10.74959606;16.4570651;5.168102255;-1.023741059;4.914687644;Construction
;;;;;;;;;;;;;;
Comercio;11.63142746;6.456460901;11.4941799;9.649483655;9.667792036;12.00846645;15.71583099;15.16508493;8.921223429;12.99534962;0.397772979;-2.120618153;-1.766998048;Commerce
;;;;;;;;;;;;;;
Otros servicios 2/;8.44088979;9.032526737;9.080406384;9.152279152;8.940150629;10.37323644;10.89682896;10.02624181;6.337366474;9.321429866;4.055139466;1.890360227;2.247977815;Other services 2/
;;;;;;;;;;;;;;
PBI;8.543735105;8.130388467;8.931432789;9.789746732;8.856734227;10.34275238;11.75723432;10.90639614;6.50462784;9.836600314;2.025725915;-1.117878445;-0.402844191;GDP
;;;;;;;;;;;;;;
PBI de los sectores primarios;3.80249589;1.811524909;0.617405973;5.013890755;2.739379037;6.23830919;8.033033613;7.845176831;7.202119986;7.374031162;3.247085557;1.395952365;1.061063203;Primary sectors gross domestic product
PBI de los sectores no primarios;9.566194849;9.766819377;10.71329705;10.73172102;10.21083866;11.18132334;12.65181113;11.50264968;6.374160488;10.3447475;1.787286301;-1.696959787;-0.67862592;Non- primary sectors gross domestic product
