SECTORES ECONÓMICOS;2008;;;;;2009;;;;;2010;;;ECONOMIC SECTORS
;I;II;III;IV;AÑO;I;II;III;IV;AÑO;I;II;III;
;;;;;;;;;;;;;;
Agropecuario;4.048808877;8.013706611;9.434138024;7.10408736;7.246667762;4.429367133;1.143813637;2.30932233;1.907131825;2.29442892;4.190242427;5.198936796;2.796520807;Agriculture and Livestock
  Agrícola;4.633263727;8.364017576;10.41574376;5.137462593;7.359216634;3.553277809;-0.211657098;0.440828012;0.782991998;0.906907626;4.027443375;4.505705146;1.811866921;  Agriculture
  Pecuario;1.976657842;6.266482849;7.251445521;8.517343642;6.015017884;5.57348479;4.230426229;4.705894361;3.188107583;4.404016489;4.389024476;6.653185273;3.999700131;  Livestock
;;;;;;;;;;;;;;
Pesca;3.87065036;1.920163372;21.12349321;4.550143974;6.309650901;-14.23795401;1.390173094;-6.072368926;-14.61974217;-7.900522026;-8.466824033;-10.15495834;-28.21345711;Fishing
;;;;;;;;;;;;;;
Minería e Hidrocarburos;6.111596492;9.917115925;7.672650616;6.877406619;7.630877106;3.706610813;0.531497076;0.109455396;-1.582703642;0.602392827;0.480732881;0.843519892;-2.570279746;Mining and fuel
  Minería metálica;6.696864121;10.62210066;7.201402084;4.864354383;7.276207004;0.867715144;-1.035524597;-2.023763251;-3.229518474;-1.413293285;-0.996566016;-1.960744141;-8.187250262;  Metals
  Hidrocarburos;2.004173967;4.917874634;9.949940032;22.79951118;10.27969953;30.36294844;16.72368159;18.42922653;3.366432835;16.1374716;11.1880877;22.33427918;37.23887216;  Fuel
;;;;;;;;;;;;;;
Manufactura;10.79859959;11.35351156;10.48184652;4.033241028;9.058483633;-4.203156627;-11.5648928;-10.32764827;-2.334062623;-7.151212642;7.63047857;17.39702556;17.96610284;Manufacturing
  De procesamiento de recursos primarios;12.49075378;5.406127985;3.370316956;9.390658188;7.612445659;3.914321828;2.164164139;0.696016588;-6.273416533;0.034927416;-5.389761235;-1.408926844;2.478951136;  Based on raw materials 2/
  No primaria;10.24347077;12.32532361;11.08252969;2.264272639;8.859329052;-5.670936315;-14.35731386;-12.0681673;-1.568252188;-8.515280074;10.24654443;21.99194337;20.75966969;  Non-primary
;;;;;;;;;;;;;;
Electricidad y agua;9.269914016;8.415127544;8.783841327;5.061918743;7.846561044;1.211372688;0.307371746;-0.257763115;3.42352541;1.177775521;6.46089091;8.639014262;8.435816521;Electricity and water 
;;;;;;;;;;;;;;
Construcción;19.23848655;21.22070732;15.96515664;10.74956818;16.45707697;5.140087813;-1.070500051;4.895381755;14.81984396;6.147241617;16.77208228;21.52393704;16.56296436;Construction
;;;;;;;;;;;;;;
Comercio;12.00846652;15.71583099;15.16508493;8.921223429;12.99534964;0.399550391;-2.121059499;-1.766998048;2.173222804;-0.399862142;8.130247947;10.97958235;9.600303423;Commerce
;;;;;;;;;;;;;;
Otros servicios 2/;10.21552083;10.73497554;9.764066811;6.052654217;9.102269286;3.651468027;1.73491917;1.773629404;5.186119242;3.101497735;4.960388905;8.953333623;9.197761696;Other services 2/
;;;;;;;;;;;;;;
PBI;10.29209504;11.69831569;10.88581073;6.499821275;9.803274543;1.90087279;-1.198745338;-0.587035329;3.443933205;0.861783988;6.199850994;10.17299622;9.663254433;GDP
;;;;;;;;;;;;;;
PBI de los sectores primarios;6.186292386;7.920770029;8.042682853;7.351618264;7.412045365;3.504488542;1.139809425;1.042157136;-1.413622844;1.035833849;0.848142117;2.414792353;0.08485595;Primary sectors gross domestic product
PBI de los sectores no primarios;11.12967905;12.60501511;11.43948893;6.34055528;10.29635158;1.588287155;-1.736703454;-0.894637699;4.360817322;0.826833029;7.262712625;12.00992749;11.50705096;Non- primary sectors gross domestic product
