year,wr,sectores_economicos,economic_sectors,2012_mar,2012_abr,2012_may,2012_jun,2012_jul,2012_ago,2012_sep,2012_oct,2012_nov,2012_dic,2012_year,2013_ene,2013_feb,2013_mar,2013_ene_mar
2013,21,agropecuario,agriculture and livestock,2.2,1.3,10.8,11.3,3.2,4.4,4.8,3.2,3.9,7.4,5.1,7.5,6.5,5.8,6.6
2013,21,agricola,agriculture,-0.2,-1.7,14.0,15.5,0.8,2.5,3.8,3.8,4.4,11.0,5.2,10.7,9.3,8.8,9.6
2013,21,pecuario,livestock,5.5,7.8,3.8,3.6,6.9,6.8,5.8,2.5,3.3,3.4,4.9,3.9,3.5,2.0,3.1
2013,21,pesca,fishing,-4.7,-44.9,5.2,20.4,0.6,-12.0,18.9,15.4,-15.8,-47.2,-11.9,6.5,1.3,-20.4,-4.5
2013,21,mineria e hidrocarburos,mining and fuel,7.3,6.8,1.3,4.9,4.5,0.6,5.1,-3.2,-1.4,-1.6,2.2,-4.4,-1.7,3.4,-0.8
2013,21,mineria metalica,metals,5.7,8.8,1.8,4.7,4.7,0.2,4.7,-5.2,0.4,-2.6,2.1,-8.6,-3.2,3.3,-2.8
2013,21,hidrocarburos,fuel,15.3,-1.9,-0.6,6.1,3.6,2.7,7.1,5.3,-9.1,3.1,2.3,16.3,4.7,3.9,8.1
2013,21,manufactura,manufacturing,-2.7,-4.1,2.9,1.5,5.0,4.4,1.6,4.5,4.2,-2.0,1.3,3.1,0.2,-3.6,-0.2
2013,21,de recursos primarios,based on raw materials,-8.9,-20.9,-9.0,-2.0,-1.1,-5.1,-4.4,6.9,-3.3,-20.5,-6.5,-2.4,0.5,-5.6,-2.6
2013,21,no primaria,nonprimary,-1.6,-0.3,5.4,2.2,6.1,6.1,2.5,4.2,5.4,2.1,2.8,4.1,0.1,-3.3,0.2
2013,21,electricidad y agua,electricity and water,5.8,5.1,5.3,4.7,5.7,5.3,4.1,3.7,5.6,4.3,5.2,6.3,4.0,4.1,4.8
2013,21,construccion,construction,14.7,14.6,15.8,19.7,21.4,17.4,19.2,16.1,16.8,5.3,15.2,18.4,14.3,3.8,11.9
2013,21,comercio,commerce,7.2,6.1,6.5,6.7,6.9,6.5,5.3,5.9,6.3,7.0,6.7,5.5,5.6,4.0,5.0
2013,21,otros servicios,other services,7.3,6.8,7.5,7.6,7.9,6.7,6.5,8.0,7.6,6.0,7.3,7.0,5.7,4.3,5.6
2013,21,pbi,gdp,5.7,4.6,7.1,7.4,7.5,6.5,6.3,6.8,6.8,4.3,6.3,6.4,5.1,3.0,4.8
2013,21,sectores primarios,primary sectors,1.6,-3.1,4.9,7.6,2.8,1.0,3.6,1.7,0.4,-3.5,1.7,1.5,2.6,2.5,2.2
2013,21,sectores no primarios,non primary sectors,6.4,6.3,7.6,7.4,8.4,7.4,6.7,7.6,7.8,5.6,7.1,7.2,5.5,3.1,5.2
2013,21,pbi desestacionalizado,seasonally adjusted gdp,0.7,0.0,1.4,0.5,0.6,0.2,0.2,0.7,0.4,-0.3,,1.2,0.5,0.2,
2013,21,indicador de demanda interna,domestic demand indicator,5.5,5.1,9.7,7.5,12.8,9.7,6.7,9.7,7.2,6.0,7.4,11.6,9.2,4.5,4.4
2013,21,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,1.1,1.0,1.5,1.0,1.3,0.1,0.0,0.4,0.4,0.7,,1.3,0.6,0.4,
