year,wr,sectores_economicos,economic_sectors,2011_nov,2011_dic,2011_year,2012_ene,2012_feb,2012_mar,2012_abr,2012_may,2012_jun,2012_jul,2012_ago,2012_sep,2012_oct,2012_nov,2012_ene_nov
2013,04,agropecuario,agriculture and livestock,4.1,-1.3,3.8,2.9,2.9,2.2,0.9,10.1,10.1,2.0,3.6,4.1,2.4,2.8,4.3
2013,04,agricola,agriculture,3.3,-4.2,3.1,2.2,1.2,0.0,-2.0,13.2,13.7,-0.9,0.8,2.2,2.1,3.2,4.0
2013,04,pecuario,livestock,5.1,2.1,5.2,3.6,4.7,5.2,7.2,3.3,3.4,6.6,6.9,5.9,2.6,2.4,4.7
2013,04,pesca,fishing,0.3,74.5,29.7,-15.5,-10.9,-4.5,-44.7,5.4,20.6,0.8,-11.9,19.1,20.2,-12.0,-6.2
2013,04,mineria e hidrocarburos,mining and fuel,-1.1,4.2,-0.2,-0.3,3.7,7.2,6.7,1.2,4.8,4.3,0.6,5.0,-3.3,-1.4,2.5
2013,04,mineria metalica,metals,-1.7,4.4,-3.6,1.4,3.4,5.6,8.7,1.6,4.5,4.5,0.1,4.5,-5.2,0.4,2.6
2013,04,hidrocarburos,fuel,1.9,3.1,18.1,-8.0,5.0,15.3,-1.9,-0.6,6.1,3.6,2.7,7.1,5.3,-9.1,2.2
2013,04,manufactura,manufacturing,-0.2,3.7,5.6,-1.0,1.8,-2.7,-4.1,2.9,1.6,5.0,4.3,1.3,4.5,4.8,1.7
2013,04,de recursos primarios,based on raw materials,-0.6,34.9,12.3,1.1,-1.4,-8.9,-21.1,-9.1,-2.1,-0.4,-5.1,-4.5,6.9,2.1,-4.5
2013,04,no primaria,nonprimary,-0.2,-1.3,4.4,-1.3,2.3,-1.6,-0.3,5.4,2.4,6.1,5.9,2.2,4.2,5.3,2.8
2013,04,electricidad y agua,electricity and water,6.9,7.3,7.4,5.7,7.4,5.8,5.1,5.3,4.7,5.7,5.3,4.2,4.0,6.1,5.4
2013,04,construccion,construction,3.2,3.8,3.4,12.5,10.1,14.7,14.6,15.8,19.7,21.4,17.4,19.2,16.3,16.8,16.3
2013,04,comercio,commerce,7.0,7.0,8.8,7.7,8.9,7.2,6.1,6.5,6.7,6.9,6.5,5.3,5.9,6.3,6.7
2013,04,otros servicios,other services,7.4,7.2,8.3,7.1,8.6,7.1,6.6,7.4,7.5,7.8,6.5,5.9,7.8,7.6,7.3
2013,04,pbi,gdp,5.1,6.0,6.9,5.5,6.9,5.7,4.5,7.0,7.3,7.4,6.3,5.9,6.7,6.8,6.4
2013,04,sectores primarios,primary sectors,1.4,8.1,4.4,1.0,2.1,1.6,-3.4,4.4,6.8,2.3,0.7,3.2,1.4,0.9,1.9
2013,04,sectores no primarios,non primary sectors,5.8,5.6,7.4,6.3,7.8,6.4,6.2,7.6,7.4,8.3,7.3,6.4,7.5,7.8,7.2
2013,04,pbi desestacionalizado,seasonally adjusted gdp,0.5,0.8,,0.5,0.4,0.6,0.1,1.4,0.5,0.6,0.3,0.3,0.7,0.6,
2013,04,indicador de demanda interna,domestic demand indicator,6.2,5.4,7.2,3.2,5.9,5.8,5.0,9.6,7.4,12.6,9.5,6.4,9.6,7.4,7.5
2013,04,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,0.7,0.3,,0.2,0.5,0.9,1.0,1.5,0.9,1.3,0.1,0.0,0.7,-0.1,
