year,wr,sectores_economicos,economic_sectors,2020_feb,2020_mar,2020_abr,2020_may,2020_jun,2020_jul,2020_ago,2020_sep,2020_oct,2020_nov,2020_dic,2020_year,2021_ene,2021_feb,2021_ene_feb
2021,16,agropecuario,agriculture and livestock,5.7,1.1,2.5,5.0,-0.8,-4.3,-2.5,3.2,2.3,1.3,-2.4,1.3,1.2,0.8,1.0
2021,16,agricola,agriculture,8.2,1.1,3.8,8.2,0.2,-5.3,-0.3,8.5,6.3,4.0,-2.5,3.1,2.5,2.0,2.2
2021,16,pecuario,livestock,2.7,1.2,-0.1,-2.8,-3.0,-2.8,-5.1,-3.1,-2.9,-2.4,-2.2,-1.6,-0.4,-0.8,-0.6
2021,16,pesca,fishing,7.1,-18.5,-51.7,-46.3,46.2,23.0,-3.9,10.8,4.0,-2.2,108.5,2.1,74.9,8.1,40.4
2021,16,mineria e hidrocarburos,mining and fuel,3.6,-21.7,-42.1,-45.6,-14.2,-5.9,-11.1,-12.2,-2.8,-4.7,-3.7,-13.2,-8.5,-5.3,-7.0
2021,16,mineria metalica,metals,2.5,-22.9,-47.1,-49.7,-13.2,-6.1,-10.2,-10.9,-1.1,-3.1,-2.5,-13.5,-7.1,-2.2,-4.8
2021,16,hidrocarburos,fuel,9.0,-14.8,-13.4,-20.7,-19.7,-5.1,-16.4,-19.1,-12.4,-13.9,-10.9,-11.0,-15.6,-20.8,-18.2
2021,16,manufactura,manufacturing,4.1,-33.5,-53.1,-44.4,-12.8,-9.3,-10.9,-3.7,-2.6,-3.2,9.2,-13.4,7.0,-1.3,2.9
2021,16,procesadores recursos primarios,based on raw materials,23.5,-21.5,-27.2,-29.9,9.7,5.2,-10.5,-1.6,-3.9,-6.2,40.4,-2.6,26.4,-2.7,11.1
2021,16,manufactura no primaria,nonprimary,-1.6,-37.6,-62.5,-51.5,-23.6,-14.3,-11.0,-4.3,-2.2,-1.9,-2.1,-17.3,0.9,-0.7,0.1
2021,16,electricidad y agua,electricity and water,5.1,-11.8,-25.5,-21.7,-10.6,-5.0,-2.6,-1.7,-0.1,-0.4,-0.3,-6.1,-0.1,-4.6,-2.3
2021,16,construccion,construction,6.0,-46.1,-90.2,-66.3,-42.9,-12.5,-5.9,4.6,14.5,18.4,23.1,-13.9,15.2,14.3,14.8
2021,16,comercio,commerce,2.6,-25.1,-63.6,-49.6,-27.8,-10.5,-7.7,-6.1,-3.8,-2.5,-1.6,-16.0,-0.8,-5.7,-3.4
2021,16,otros servicios,other services,3.6,-6.2,-28.4,-22.2,-17.9,-13.6,-9.9,-7.6,-6.3,-5.4,-4.7,-9.6,-3.1,-7.9,-5.5
2021,16,derechos de importacion y otros impuestos,import duties and other taxes,3.0,-21.9,-40.0,-36.6,-27.4,-19.3,-11.2,-8.5,-7.6,-1.8,1.6,-13.9,-4.1,-1.0,-2.6
2021,16,pbi,gdp,3.8,-16.8,-39.1,-32.6,-18.3,-11.3,-9.3,-6.2,-3.3,-2.5,0.5,-11.1,-1.0,-4.2,-2.6
2021,16,sectores primarios,primary sectors,6.8,-16.0,-26.6,-28.3,-4.8,-3.4,-9.0,-7.0,-1.7,-3.6,5.1,-7.7,-0.3,-3.2,-1.7
2021,16,sectores no primarios,non primary sectors,3.0,-17.0,-42.7,-34.1,-22.7,-13.5,-9.4,-6.0,-3.7,-2.2,-0.7,-12.1,-1.2,-4.4,-2.8
2021,16,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2021,16,variacion porcentual mensual,monthly percent change,-0.5,-18.2,-26.4,11.5,20.1,9.0,3.5,2.7,3.9,1.0,2.5,,-0.3,-2.7,
2021,16,variacion porcentual promedio movil  meses,threemonth moving average percent change,-0.2,-6.0,-14.3,-13.6,-0.6,13.3,10.1,4.9,3.4,2.5,2.4,,1.1,-0.2,
2021,16,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2021,16,demanda interna sin inventarios,domestic demand without inventories,3.3,-15.8,-37.2,-32.0,-19.2,-12.0,-7.6,-4.3,2.1,3.0,9.7,-8.7,0.6,-0.5,0.0
2021,16,demanda interna,domestic demand,3.7,-15.4,-34.1,-29.5,-16.2,-11.9,-10.1,-7.5,-5.3,0.2,5.4,-9.7,-2.6,-1.3,-1.9
