year,wr,sectores_economicos,economic_sectors,2020_ago,2020_sep,2020_oct,2020_nov,2020_dic,2020_year,2021_ene,2021_feb,2021_mar,2021_abr,2021_may,2021_jun,2021_jul,2021_ago,2021_ene_ago
2021,38,agropecuario,agriculture and livestock,-2.5,2.9,2.3,0.9,-0.8,1.4,1.7,0.2,-1.9,-5.0,-4.0,8.9,11.1,6.0,1.8
2021,38,agricola,agriculture,0.0,8.5,6.6,3.6,0.6,3.4,3.3,1.0,-3.0,-7.4,-6.1,11.9,16.5,8.8,2.3
2021,38,pecuario,livestock,-5.4,-3.5,-3.2,-2.7,-2.7,-1.8,-0.4,-0.8,-0.3,0.3,1.8,2.2,2.7,2.5,1.0
2021,38,pesca,fishing,2.6,9.3,9.0,-0.3,113.6,4.2,70.6,6.8,35.7,141.1,97.6,-37.7,-41.4,-29.9,12.3
2021,38,mineria e hidrocarburos,mining and fuel,-11.5,-12.6,-2.9,-4.9,-3.9,-13.4,-8.5,-4.4,15.4,57.9,66.9,7.8,-0.9,3.1,12.0
2021,38,mineria metalica,metals,-10.6,-11.3,-1.1,-3.2,-2.8,-13.8,-7.1,-1.1,20.5,76.6,82.5,7.1,1.4,5.1,16.0
2021,38,hidrocarburos,fuel,-16.4,-19.1,-12.4,-13.9,-10.9,-11.0,-15.6,-20.8,-10.1,-8.1,6.7,11.9,-13.6,-8.4,-8.3
2021,38,manufactura,manufacturing,-9.9,-2.4,-1.4,-2.4,9.9,-12.5,7.7,1.0,51.2,115.3,83.6,19.1,6.7,11.6,28.0
2021,38,procesadores recursos primarios,based on raw materials,-9.7,0.0,-2.7,-5.8,41.3,-2.0,26.2,-2.7,23.0,29.3,50.5,-11.1,-14.7,0.2,9.9
2021,38,manufactura no primaria,nonprimary,-10.0,-3.2,-1.0,-1.0,-1.5,-16.4,1.9,2.3,63.4,176.8,107.1,39.7,15.9,15.2,36.1
2021,38,electricidad y agua,electricity and water,-2.6,-1.7,-0.1,-0.4,-0.3,-6.1,-0.2,-4.6,13.9,33.9,28.4,15.2,7.1,5.9,11.2
2021,38,construccion,construction,-6.0,4.6,14.5,18.4,23.1,-13.9,16.2,14.6,133.2,988.6,257.3,90.7,37.4,25.5,75.2
2021,38,comercio,commerce,-7.7,-6.1,-3.8,-2.5,-1.6,-16.0,-0.2,-5.7,12.5,158.3,104.1,38.1,13.3,9.9,26.5
2021,38,otros servicios,other services,-9.7,-7.3,-6.4,-5.2,-4.2,-9.8,-3.0,-7.2,8.5,33.8,26.0,21.5,15.7,13.1,12.2
2021,38,derechos de importacion y otros impuestos,import duties and other taxes,-11.1,-8.3,-7.6,1.4,2.7,-12.9,-4.9,-0.5,34.2,70.1,61.6,42.3,21.6,19.2,26.0
2021,38,pbi,gdp,-9.1,-6.0,-3.2,-2.1,1.0,-11.0,-0.8,-3.5,20.0,59.4,48.3,23.4,12.9,11.8,18.6
2021,38,sectores primarios,primary sectors,-9.0,-7.1,-1.5,-3.6,5.5,-7.7,-0.2,-2.9,11.6,27.9,34.7,2.7,-1.0,3.0,8.6
2021,38,sectores no primarios,non primary sectors,-9.2,-5.7,-3.7,-1.6,-0.3,-12.0,-1.0,-3.6,22.5,71.2,53.3,31.7,17.3,14.3,21.7
2021,38,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2021,38,variacion porcentual mensual,monthly percent change,3.5,2.7,3.7,1.3,2.5,,-0.5,-2.0,-1.6,-0.8,3.5,0.4,-0.1,2.3,
2021,38,variacion porcentual promedio movil  meses,threemonth moving average percent change,10.1,4.9,3.3,2.6,2.5,,1.1,0.0,-1.3,-1.5,0.3,1.0,1.2,0.9,
2021,38,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2021,38,demanda interna sin inventarios,domestic demand without inventories,-7.7,-3.9,1.9,3.0,9.7,-8.7,0.8,-0.1,28.8,65.9,53.3,29.6,18.8,15.1,23.7
2021,38,demanda interna,domestic demand,-9.7,-7.4,-5.0,1.6,7.4,-9.4,-2.1,-0.9,23.5,52.2,44.6,27.0,16.9,13.6,19.7
