year,wr,sectores_economicos,economic_sectors,2020_mar,2020_abr,2020_may,2020_jun,2020_jul,2020_ago,2020_sep,2020_oct,2020_nov,2020_dic,2020_year,2021_ene,2021_feb,2021_mar,2021_ene_mar
2021,20,agropecuario,agriculture and livestock,1.1,2.5,5.0,-0.8,-4.3,-2.5,3.2,2.3,1.3,-2.4,1.3,2.1,0.6,-1.9,0.2
2021,20,agricola,agriculture,2.4,3.8,8.2,0.2,-5.3,-0.3,8.5,6.3,4.0,-2.5,3.3,4.0,1.7,-2.8,0.7
2021,20,pecuario,livestock,1.3,-0.1,-2.8,-3.0,-2.8,-5.1,-3.1,-2.9,-2.4,-2.2,-1.6,-0.4,-0.8,-0.5,-0.5
2021,20,pesca,fishing,-18.5,-51.7,-46.3,46.2,23.0,-3.9,10.8,4.0,-2.2,108.5,2.1,74.9,8.1,33.6,38.6
2021,20,mineria e hidrocarburos,mining and fuel,-21.9,-42.3,-45.8,-14.5,-6.2,-11.4,-12.5,-2.9,-5.0,-3.9,-13.4,-8.5,-4.6,15.4,-0.1
2021,20,mineria metalica,metals,-23.3,-47.3,-49.9,-13.7,-6.5,-10.6,-11.3,-1.2,-3.4,-2.8,-13.9,-7.1,-1.1,20.4,3.0
2021,20,hidrocarburos,fuel,-14.8,-13.4,-20.7,-19.7,-5.1,-16.4,-19.1,-12.4,-13.9,-10.9,-11.0,-15.6,-20.8,-10.1,-15.8
2021,20,manufactura,manufacturing,-33.4,-53.1,-44.3,-12.5,-8.8,-10.5,-3.3,-2.5,-2.9,9.4,-13.0,5.8,0.8,50.3,15.6
2021,20,procesadores recursos primarios,based on raw materials,-21.4,-27.2,-29.9,9.7,5.2,-10.5,-1.6,-3.9,-6.2,40.7,-2.6,26.4,-2.7,23.1,14.7
2021,20,manufactura no primaria,nonprimary,-37.6,-62.5,-51.5,-23.2,-13.7,-10.5,-3.8,-2.0,-1.6,-2.0,-16.7,-0.4,2.0,62.1,15.9
2021,20,electricidad y agua,electricity and water,-11.8,-25.5,-21.7,-10.6,-5.0,-2.6,-1.7,-0.1,-0.4,-0.3,-6.1,-0.1,-4.6,14.0,2.8
2021,20,construccion,construction,-46.1,-90.2,-66.3,-42.9,-12.5,-5.9,4.6,14.5,18.4,23.1,-13.9,15.2,14.3,133.1,40.6
2021,20,comercio,commerce,-25.1,-63.6,-49.6,-27.8,-10.5,-7.7,-6.1,-3.8,-2.5,-1.6,-16.0,-0.8,-5.7,6.8,-0.5
2021,20,otros servicios,other services,-5.9,-28.4,-22.2,-18.0,-13.7,-9.9,-7.6,-6.3,-5.5,-4.5,-9.6,-3.0,-7.7,7.1,-1.3
2021,20,derechos de importacion y otros impuestos,import duties and other taxes,-21.9,-40.0,-36.6,-27.4,-19.3,-11.2,-8.5,-7.6,-1.8,1.6,-13.9,-4.1,-1.0,30.8,6.6
2021,20,pbi,gdp,-16.8,-39.1,-32.6,-18.4,-11.3,-9.3,-6.2,-3.3,-2.5,0.6,-11.1,-1.0,-3.8,18.2,3.8
2021,20,sectores primarios,primary sectors,-16.2,-26.6,-28.4,-5.0,-3.5,-9.2,-7.2,-1.8,-3.8,5.0,-7.8,0.0,-2.8,11.6,2.6
2021,20,sectores no primarios,non primary sectors,-16.9,-42.7,-34.1,-22.8,-13.5,-9.3,-6.0,-3.7,-2.2,-0.6,-12.0,-1.3,-4.0,20.1,4.1
2021,20,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2021,20,variacion porcentual mensual,monthly percent change,-18.3,-26.4,11.5,20.0,9.1,3.5,2.7,3.9,0.9,2.6,,-0.2,-2.2,-1.6,
2021,20,variacion porcentual promedio movil  meses,threemonth moving average percent change,-6.0,-14.3,-13.7,-0.6,13.3,10.1,4.9,3.4,2.5,2.5,,1.1,0.0,-1.3,
2021,20,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2021,20,demanda interna sin inventarios,domestic demand without inventories,-15.8,-37.2,-32.0,-19.2,-12.0,-7.7,-3.9,1.8,2.9,9.6,-8.7,0.7,-0.3,29.5,9.5
2021,20,demanda interna,domestic demand,-15.3,-34.1,-29.6,-16.3,-11.9,-10.1,-7.5,-5.3,0.2,5.4,-9.7,-2.7,-1.2,22.5,5.4
