year,wr,sectores_economicos,economic_sectors,2020_may,2020_jun,2020_jul,2020_ago,2020_sep,2020_oct,2020_nov,2020_dic,2020_year,2021_ene,2021_feb,2021_mar,2021_abr,2021_may,2021_ene_may
2021,27,agropecuario,agriculture and livestock,5.0,-0.8,-4.3,-2.5,3.2,2.3,1.3,-2.4,1.3,2.1,0.6,-1.9,-5.2,-4.0,-2.2
2021,27,agricola,agriculture,8.2,0.2,-5.3,-0.3,8.5,6.3,4.0,-2.7,3.3,4.0,1.7,-2.8,-7.5,-6.1,-3.4
2021,27,pecuario,livestock,-2.8,-3.0,-2.8,-5.1,-3.1,-2.9,-2.4,-2.2,-1.6,-0.4,-0.8,-0.5,-0.2,1.4,-0.1
2021,27,pesca,fishing,-46.3,46.2,23.0,-3.9,10.8,4.0,-2.2,108.5,2.1,74.9,8.1,33.6,132.1,102.4,67.3
2021,27,mineria e hidrocarburos,mining and fuel,-45.8,-14.6,-6.3,-11.5,-12.6,-2.9,-5.1,-4.0,-13.5,-8.5,-4.4,15.4,57.8,66.9,18.3
2021,27,mineria metalica,metals,-49.9,-13.8,-6.5,-10.6,-11.4,-1.2,-3.5,-2.8,-13.9,-7.1,-1.1,20.4,76.4,82.5,24.6
2021,27,hidrocarburos,fuel,-20.7,-19.7,-5.1,-16.4,-19.1,-12.4,-13.9,-10.9,-11.0,-15.6,-20.8,-10.1,-8.1,6.7,-10.6
2021,27,manufactura,manufacturing,-44.2,-12.5,-8.8,-10.5,-3.3,-2.5,-2.9,9.4,-12.9,5.8,0.8,50.3,114.1,84.0,39.2
2021,27,procesadores recursos primarios,based on raw materials,-30.1,9.7,5.2,-10.5,-1.6,-3.9,-6.2,40.7,-2.5,26.4,-2.7,23.1,29.0,50.0,25.2
2021,27,manufactura no primaria,nonprimary,-51.3,-23.2,-13.7,-10.5,-3.8,-2.0,-1.6,-2.0,-16.8,-0.4,2.0,62.1,175.2,108.2,45.5
2021,27,electricidad y agua,electricity and water,-21.7,-10.6,-5.0,-2.6,-1.7,-0.1,-0.4,-0.3,-6.1,-0.2,-4.6,14.0,33.6,28.2,12.4
2021,27,construccion,construction,-66.2,-42.9,-12.5,-6.0,4.6,14.5,18.4,23.1,-13.9,16.0,14.5,133.1,987.4,257.0,102.2
2021,27,comercio,commerce,-49.6,-27.8,-10.5,-7.7,-6.1,-3.8,-2.5,-1.6,-16.0,-0.8,-5.7,6.8,158.3,104.1,31.0
2021,27,otros servicios,other services,-22.2,-18.0,-13.6,-9.9,-7.6,-6.3,-5.5,-4.5,-9.6,-3.2,-7.9,6.9,32.6,24.9,8.8
2021,27,derechos de importacion y otros impuestos,import duties and other taxes,-36.6,-27.4,-19.3,-11.2,-8.5,-7.6,-1.7,1.6,-13.9,-3.7,-0.6,30.7,68.8,61.1,24.9
2021,27,pbi,gdp,-32.6,-18.4,-11.3,-9.3,-6.2,-3.3,-2.5,0.6,-11.1,-1.0,-3.8,18.2,58.5,47.8,19.7
2021,27,sectores primarios,primary sectors,-28.4,-5.1,-3.6,-9.2,-7.3,-1.8,-3.8,5.0,-7.8,0.0,-2.7,11.6,27.7,34.7,13.5
2021,27,sectores no primarios,non primary sectors,-34.0,-22.7,-13.5,-9.3,-6.0,-3.7,-2.2,-0.6,-12.0,-1.3,-4.1,20.1,70.0,52.7,21.6
2021,27,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2021,27,variacion porcentual mensual,monthly percent change,11.5,20.0,9.1,3.5,2.7,3.9,0.9,2.6,,-0.2,-2.2,-1.6,-1.1,3.7,
2021,27,variacion porcentual promedio movil  meses,threemonth moving average percent change,-13.7,-0.6,13.3,10.1,4.9,3.4,2.5,2.5,,1.1,0.0,-1.3,-1.6,0.3,
2021,27,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2021,27,demanda interna sin inventarios,domestic demand without inventories,-32.0,-19.2,-12.1,-7.8,-4.0,1.8,2.9,9.6,-8.7,0.7,-0.3,29.1,65.8,53.2,25.5
2021,27,demanda interna,domestic demand,-29.6,-16.3,-11.9,-10.1,-7.5,-5.3,0.2,5.4,-9.7,-2.2,-1.2,21.9,51.3,44.9,19.8
