target_period,agriculture_2023_1,fishing_2023_1,mining_2023_1,manufacturing_2023_1,electricity_2023_1,construction_2023_1,commerce_2023_1,services_2023_1,gdp_2023_1
2019q3,2.2,29.5,0.3,3.8,3.7,3.3,3.3,4.1,3.4
2019q4,5.3,-23.9,2.1,-2.5,2.4,-4.5,3.6,3.7,2.0
2019,3.5,-17.2,0.0,-1.7,3.9,1.4,3.0,3.8,2.2
2020q1,4.0,-16.5,-5.7,-9.3,-1.9,-12.3,-7.1,-1.5,-3.9
2020q2,1.8,-14.4,-34.3,-36.2,-19.4,-66.3,-46.8,-24.9,-29.9
2020q3,-1.9,14.9,-10.2,-6.9,-3.1,-4.4,-8.1,-10.7,-8.8
2020q4,0.2,38.6,-3.9,2.0,-0.2,20.1,-2.6,-4.7,-1.3
2020,1.0,4.2,-13.4,-12.5,-6.1,-13.3,-16.0,-10.4,-11.0
2021q1,1.0,51.6,0.0,16.2,2.8,42.5,1.4,0.5,4.6
2021q2,1.1,26.1,39.0,61.6,25.3,232.5,85.9,31.3,42.0
2021q3,11.1,-28.7,6.6,9.3,6.3,23.9,10.1,13.5,11.9
2021q4,6.6,-3.1,-3.1,2.7,3.0,-5.8,3.9,6.6,3.5
2021,4.6,9.9,8.1,18.6,8.5,34.5,17.8,11.8,13.6
2022q1,4.0,-33.2,1.2,1.7,3.4,-0.5,5.9,5.4,3.8
2022q2,5.3,-12.8,-1.2,3.6,2.6,3.4,2.6,4.4,3.3
2022q3,2.5,5.9,-4.2,0.4,4.3,3.0,2.4,2.8,1.7
