target_period,agriculture_2023_4,fishing_2023_4,mining_2023_4,manufacturing_2023_4,electricity_2023_4,construction_2023_4,commerce_2023_4,services_2023_4,gdp_2023_4
2020q1,4.0,-16.5,-5.7,-9.3,-1.9,-12.3,-7.1,-1.5,-3.9
2020q2,1.8,-14.4,-34.3,-36.2,-19.4,-66.3,-46.8,-24.9,-29.9
2020q3,-1.9,14.9,-10.2,-6.9,-3.1,-4.4,-8.1,-10.7,-8.8
2020q4,0.2,38.6,-3.9,2.0,-0.2,20.1,-2.6,-4.7,-1.3
2020,1.0,4.2,-13.4,-12.5,-6.1,-13.3,-16.0,-10.4,-11.0
2021q1,0.7,51.6,0.0,16.2,2.8,42.5,1.4,0.6,4.6
2021q2,1.3,26.1,39.0,61.6,25.3,232.5,85.9,31.2,42.0
2021q3,11.2,-28.7,6.6,9.3,6.3,23.9,10.1,13.5,12.0
2021q4,6.4,-3.1,-3.1,2.7,3.0,-5.1,3.9,6.7,3.6
2021,4.6,9.9,8.1,18.6,8.5,34.9,17.8,11.9,13.6
2022q1,5.0,-26.8,1.2,1.7,3.4,-0.4,5.9,5.4,3.9
2022q2,5.7,-10.1,-1.2,3.5,2.6,3.4,2.6,4.4,3.4
2022q3,3.8,14.2,-4.2,1.1,4.3,3.6,2.4,2.9,2.0
2022q4,2.4,-18.4,5.4,-2.3,5.2,4.7,2.5,1.2,1.7
2022,4.3,-13.7,0.3,1.0,3.9,3.0,3.3,3.4,2.7
